metal log(age) E_BV dm mass
0.00152 9.47985 0.50164 13.33454 9251.46511
0.00152 9.45517 0.50164 13.48264 9312.56991
0.00152 9.45517 0.50164 13.48264 7101.36264
0.00152 9.45517 0.50164 13.48264 7101.36264
0.00152 9.45139 0.50164 13.47303 7282.44968
0.00152 9.45139 0.50164 13.47303 7091.26732
0.00107 9.47935 0.50340 13.27877 7091.26732
0.00113 9.47543 0.50348 13.38943 5916.51915
0.00113 9.47543 0.50348 13.38943 6014.01815
0.00113 9.47543 0.50348 13.38943 6014.01815
0.00113 9.46724 0.50348 13.39341 6014.01815
0.00113 9.46724 0.50348 13.39341 6014.01815
0.00113 9.46724 0.50348 13.39341 6014.01815
0.00106 9.48108 0.50359 13.34857 6014.01815
0.00106 9.48061 0.50359 13.37309 7101.36264
0.00106 9.35239 0.50359 13.69983 7101.36264
0.00234 9.55269 0.50604 13.31163 7101.36264
0.00184 9.48264 0.50958 13.36287 7101.36264
0.00184 9.48061 0.50958 13.37309 7101.36264
0.00184 9.48061 0.50958 13.37309 7101.36264
0.00184 9.48348 0.50958 13.36448 7777.04914
0.00279 9.48348 0.50441 13.36448 8642.89842
0.00129 9.48348 0.50796 13.36448 6030.50687
0.00192 9.47622 0.50680 13.35049 6774.92314
0.00180 9.32307 0.50943 13.58320 6774.92314
0.00159 9.47911 0.51043 13.30276 7090.91008
0.00168 9.47911 0.50875 13.30276 5918.84823
0.00168 9.47911 0.50875 13.30276 7109.56275
0.00192 9.47911 0.50028 13.30276 7457.14803
0.00192 9.47911 0.50028 13.30276 7513.80198
0.00188 9.47911 0.50968 13.30276 7513.80198
0.00188 9.47911 0.50968 13.30276 7513.80198
0.00145 9.48062 0.51775 13.37324 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.80198
0.00145 9.48133 0.51775 13.37118 7513.15776
0.00145 9.48133 0.51775 13.37118 7513.15776
0.00220 9.48133 0.48382 13.37118 7513.15776
0.00220 9.48133 0.48382 13.37118 6860.14559
0.00268 9.48133 0.50519 13.37118 6860.14559
0.00174 9.48133 0.50820 13.37118 6860.14559
0.00174 9.48133 0.50820 13.37118 6860.14559
0.00174 9.45517 0.50820 13.48264 6860.14559
