#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.5235 0.1237  0.0092  0.0505  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
11      20.5261 0.1382  0.0092  0.0505  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
12      20.5289 0.1536  0.0092  0.0505  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
13      20.5269 0.1424  0.0092  0.0505  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
14      20.7178 0.2530  0.0112  0.0548  0.8720   0.8720   -0.5136  3.6929   4.6151   6.0541  
15      19.9602 0.1079  0.0052  0.0384  0.9901   0.9901   -0.2549  3.7289   4.5561   5.4074  
16      20.3675 0.2000  0.0076  0.0465  0.9249   0.9249   -0.3956  3.7096   4.5896   5.7591  
17      20.2044 0.0924  0.0066  0.0433  0.9480   0.9480   -0.3444  3.7168   4.5782   5.6311  
18      19.9533 0.0576  0.0052  0.0384  0.9901   0.9901   -0.2549  3.7289   4.5561   5.4074  
19      20.3601 0.1554  0.0076  0.0465  0.9249   0.9249   -0.3956  3.7096   4.5896   5.7591  
110     20.2105 0.1328  0.0066  0.0433  0.9480   0.9480   -0.3444  3.7168   4.5782   5.6311  
111     19.3177 0.0625  0.0033  0.0283  1.1093   1.1093   -0.0154  3.7589   4.4862   4.8087  
112     19.4219 0.0501  0.0035  0.0298  1.0882   1.0882   -0.0559  3.7541   4.4993   4.9100  
113     19.3200 0.0820  0.0033  0.0283  1.1093   1.1093   -0.0154  3.7589   4.4862   4.8087  
114     19.3228 0.1065  0.0033  0.0283  1.1093   1.1093   -0.0154  3.7589   4.4862   4.8087  
115     19.6497 0.1162  0.0041  0.0331  1.0462   1.0462   -0.1392  3.7440   4.5245   5.1178  
116     18.9273 0.0717  0.0028  0.0235  1.1886   1.1886   0.1355   3.7766   4.4361   4.4310  
117     19.1904 0.0898  0.0031  0.0266  1.1357   1.1357   0.0349   3.7648   4.4695   4.6828  
118     18.8659 0.0766  0.0027  0.0228  1.2026   1.2026   0.1603   3.7794   4.4274   4.3690  
119     19.1914 0.0989  0.0031  0.0266  1.1357   1.1357   0.0349   3.7648   4.4695   4.6828  
120     18.5657 0.0820  0.0025  0.0198  1.2727   1.2727   0.2811   3.7930   4.3856   4.0674  
121     18.5648 0.0753  0.0025  0.0198  1.2727   1.2727   0.2811   3.7930   4.3856   4.0674  
122     18.7374 0.0385  0.0026  0.0215  1.2307   1.2307   0.2099   3.7850   4.4101   4.2451  
123     18.5629 0.0600  0.0025  0.0198  1.2727   1.2727   0.2811   3.7930   4.3856   4.0674  
124     18.0692 0.0256  0.0023  0.0157  1.3994   1.3994   0.4768   3.8152   4.3197   3.5781  
125     18.2622 0.0381  0.0023  0.0172  1.3465   1.3465   0.4003   3.8062   4.3434   3.7693  
126     18.1668 0.0395  0.0023  0.0164  1.3730   1.3730   0.4386   3.8107   4.3315   3.6737  
127     17.9767 0.0463  0.0022  0.0150  1.4259   1.4258   0.5151   3.8198   4.3079   3.4825  
128     17.8139 0.0157  0.0022  0.0139  1.4712   1.4712   0.5789   3.8275   4.2887   3.3229  
129     17.8664 0.0414  0.0022  0.0142  1.4572   1.4572   0.5593   3.8251   4.2945   3.3720  
130     17.4873 0.0165  0.0021  0.0119  1.5752   1.5752   0.7125   3.8464   4.2602   2.9888  
131     17.6325 0.0254  0.0022  0.0128  1.5273   1.5273   0.6535   3.8371   4.2691   3.1364  
132     17.2402 -0.0026 0.0021  0.0107  1.6587   1.6587   0.8136   3.8631   4.2484   2.7363  
133     17.2848 0.0001  0.0021  0.0109  1.6431   1.6430   0.7950   3.8598   4.2499   2.7827  
134     16.9774 -0.0123 0.0021  0.0094  1.7575   1.7575   0.9247   3.8835   4.2441   2.4580  
135     16.9344 -0.0152 0.0021  0.0093  1.7745   1.7746   0.9431   3.8869   4.2436   2.4123  
136     16.8374 -0.0251 0.0021  0.0089  1.8136   1.8136   0.9845   3.8946   4.2425   2.3086  
137     16.5089 -0.0448 0.0021  0.0076  1.9612   1.9612   1.1310   3.9210   4.2357   1.9425  
138     16.2871 -0.0578 0.0021  0.0069  2.0734   2.0734   1.2344   3.9386   4.2267   1.6841  
139     16.0687 -0.0557 0.0021  0.0063  2.1981   2.1981   1.3431   3.9561   4.2136   1.4121  
140     15.9087 -0.0614 0.0021  0.0059  2.2958   2.2958   1.4243   3.9687   4.2012   1.2087  
141     16.0452 -0.0589 0.0021  0.0062  2.2117   2.2117   1.3545   3.9579   4.2120   1.3837  
142     15.5456 -0.0780 0.0021  0.0050  2.5402   2.5402   1.6162   3.9969   4.1664   0.7300  
143     15.3515 -0.0689 0.0021  0.0046  2.6854   2.6854   1.7237   4.0119   4.1426   0.4608  
144     14.9059 -0.0786 0.0021  0.0038  3.0158   3.0158   1.9564   4.0409   4.0764   -0.1209 
145     14.7630 -0.0822 0.0021  0.0036  3.1212   3.1212   2.0281   4.0485   4.0502   -0.3004 
146     13.8908 -0.0860 0.0021  0.0025  3.7158   3.7158   2.4228   4.0719   3.8248   -1.2874 
