metal log(age) E_BV dm
0.01100 9.75250 0.24449 13.00553
0.01100 9.75250 0.24582 13.00532
0.01100 9.75250 0.24152 13.00548
0.01100 9.75250 0.24257 13.01521
0.01100 9.75250 0.24866 13.00160
0.01100 9.75250 0.25188 13.01701
0.01100 9.75250 0.25188 13.02172
0.01100 9.75250 0.25188 13.01947
0.01100 9.75250 0.25198 13.00105
0.01100 9.75250 0.24662 13.00105
0.01100 9.75250 0.25634 13.00105
0.01100 9.75250 0.25634 13.00105
0.01100 9.75250 0.25685 13.01897
0.01100 9.75250 0.25082 13.00485
0.01100 9.75250 0.25082 13.00482
0.01100 9.75250 0.25082 13.00482
0.01100 9.75250 0.25363 13.00482
0.01100 9.75250 0.25443 13.00350
0.01100 9.75250 0.25443 13.02565
0.01100 9.75250 0.25443 13.00277
0.01100 9.75250 0.25443 13.00089
0.01100 9.75250 0.25442 13.01348
0.01100 9.75250 0.24784 13.00398
0.01100 9.75250 0.25102 13.01339
0.01100 9.75250 0.25085 13.02457
0.01100 9.75250 0.25085 13.02188
0.01100 9.75250 0.25066 13.00540
0.01100 9.75250 0.25383 13.00540
0.01100 9.75250 0.25181 13.00278
0.01100 9.75250 0.25181 13.00278
0.01100 9.75250 0.24224 13.00278
0.01100 9.75250 0.24946 13.00872
0.01100 9.75250 0.24753 13.00872
0.01100 9.75250 0.24753 13.00885
0.01100 9.75250 0.24941 13.00885
0.01100 9.75250 0.24925 13.00245
0.01100 9.75250 0.25074 13.01348
0.01100 9.75250 0.25074 13.01346
0.01100 9.75250 0.25074 13.03013
0.01100 9.75250 0.25074 13.03134
0.01100 9.75250 0.24370 13.00847
0.01100 9.62500 0.30399 13.01609
0.01100 9.75250 0.24860 13.01626
0.01100 9.75250 0.24860 13.00697
0.01100 9.75250 0.25284 13.02904
0.01100 9.75250 0.25284 13.01597
0.01100 9.75250 0.25112 13.02033
0.01100 9.75250 0.24890 13.02570
0.01100 9.75250 0.24860 13.01033
0.01100 9.75250 0.24949 13.01033
0.01100 9.75250 0.25126 13.01033
0.01100 9.75250 0.25108 13.01033
0.01100 9.75250 0.24692 13.01031
0.01100 9.75250 0.24686 13.00726
0.01100 9.75250 0.25138 13.02169
0.01100 9.75250 0.24974 13.02269
0.01100 9.75250 0.25166 13.01065
0.01100 9.75250 0.24975 13.00053
0.01500 9.75250 0.24975 13.00998
0.01100 9.75250 0.24975 13.02535
0.01100 9.75250 0.24996 13.00167
0.01100 9.75250 0.24772 13.00285
0.01100 9.75250 0.24178 13.00018
0.01100 9.75250 0.25274 13.00018
0.01100 9.75250 0.25255 13.00018
0.01100 9.75250 0.25188 13.00018
0.01100 9.75250 0.25188 13.00181
0.01100 9.75250 0.25300 13.00273
0.01100 9.75250 0.25061 13.00273
0.01100 9.75250 0.24812 13.00273
0.01100 9.75250 0.25180 13.01257
0.01100 9.75250 0.25180 13.01475
0.01100 9.75250 0.25192 13.01057
0.01100 9.75250 0.25192 13.01805
0.01100 9.75250 0.24818 13.02617
0.01100 9.75250 0.24786 13.03068
0.01100 9.75250 0.24289 13.00190
0.01500 9.75250 0.24916 13.00159
0.01100 9.75250 0.24909 13.00261
0.01100 9.75250 0.24514 13.00261
0.01100 9.75250 0.24999 13.00261
0.01100 9.75250 0.24999 13.01408
0.01100 9.75250 0.25098 13.01192
0.01100 9.75250 0.25321 13.01171
0.01100 9.75250 0.25117 13.01342
0.01100 9.75250 0.24569 13.00118
0.01100 9.75250 0.25743 13.00372
0.01100 9.75250 0.25163 13.00222
0.01100 9.75250 0.24793 13.00456
0.01100 9.75250 0.24831 13.00053
0.01100 9.75250 0.25004 13.01095
0.01100 9.75250 0.24882 13.00143
0.01100 9.75250 0.25296 13.00143
0.01100 9.75250 0.25004 13.00292
0.01100 9.75250 0.25004 13.01593
0.01100 9.75250 0.24978 13.01593
0.01100 9.75250 0.25427 13.01071
0.01100 9.75250 0.24810 13.01071
0.01100 9.75250 0.25488 13.01733
0.01100 9.75250 0.25488 13.00039
0.00900 9.75250 0.25078 13.00039
0.01100 9.75250 0.24512 13.00453
0.01100 9.75250 0.25071 13.01841
0.01100 9.75250 0.24800 13.01240
0.01100 9.75250 0.25491 13.00364
0.01100 9.75250 0.24652 13.01953
0.01100 9.75250 0.25495 13.00905
0.01100 9.75250 0.25353 13.00259
0.01100 9.75250 0.25018 13.00767
0.01100 9.75250 0.25106 13.01466
0.01100 9.75250 0.25106 13.00827
0.01100 9.75250 0.25008 13.00339
0.01100 9.75250 0.25008 13.00165
0.01100 9.75250 0.25094 13.00932
0.01100 9.75250 0.25094 13.01431
0.01100 9.75250 0.24769 13.01431
0.01100 9.75250 0.25481 13.01324
0.01100 9.75250 0.24684 13.00300
0.01100 9.75250 0.25025 13.01032
0.01100 9.75250 0.25012 13.00517
0.01100 9.75250 0.25012 13.00079
0.01100 9.75250 0.24964 13.00292
0.01100 9.75250 0.25850 13.00292
0.01100 9.75250 0.24926 13.00292
0.01100 9.75250 0.25035 13.00292
0.01100 9.75250 0.25035 13.00165
0.01100 9.75250 0.25411 13.00165
0.01100 9.75250 0.26232 13.00612
0.01100 9.75250 0.25883 13.02160
0.01100 9.75250 0.24366 13.00259
0.01100 9.75250 0.25378 13.00259
0.01100 9.75250 0.25818 13.00259
