#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.3862 0.1158  0.0079  0.0472  0.9039   0.9039   -0.4426  3.7029   4.5998   5.8764  
11      20.5643 0.1510  0.0096  0.0514  0.8769   0.8769   -0.5028  3.6944   4.6127   6.0267  
12      20.3905 0.1412  0.0079  0.0472  0.9039   0.9039   -0.4426  3.7029   4.5998   5.8764  
13      19.8430 0.1728  0.0047  0.0362  0.9943   0.9943   -0.2461  3.7301   4.5540   5.3850  
14      20.2166 0.1313  0.0066  0.0435  0.9308   0.9308   -0.3825  3.7114   4.5868   5.7261  
15      19.9164 0.0946  0.0050  0.0377  0.9800   0.9800   -0.2765  3.7260   4.5615   5.4610  
16      19.7525 0.0873  0.0044  0.0348  1.0086   1.0086   -0.2167  3.7339   4.5459   5.3116  
17      20.0875 0.1240  0.0058  0.0408  0.9514   0.9514   -0.3372  3.7178   4.5765   5.6130  
18      19.8398 0.1484  0.0047  0.0362  0.9943   0.9943   -0.2461  3.7301   4.5540   5.3850  
19      19.5990 0.1314  0.0039  0.0323  1.0372   1.0372   -0.1578  3.7415   4.5297   5.1647  
110     19.6670 0.0380  0.0041  0.0335  1.0229   1.0229   -0.1872  3.7377   4.5378   5.2381  
111     19.2935 0.0968  0.0033  0.0279  1.0943   1.0943   -0.0441  3.7556   4.4957   4.8800  
112     19.4477 0.1367  0.0036  0.0300  1.0657   1.0657   -0.1007  3.7486   4.5128   5.0217  
113     19.3694 0.1064  0.0034  0.0289  1.0800   1.0800   -0.0724  3.7521   4.5043   4.9509  
114     19.1592 0.0848  0.0031  0.0262  1.1212   1.1212   0.0072   3.7616   4.4787   4.7520  
115     19.1624 0.1131  0.0031  0.0262  1.1212   1.1212   0.0072   3.7616   4.4787   4.7520  
116     18.7960 0.0915  0.0026  0.0220  1.1957   1.1957   0.1480   3.7780   4.4318   4.4003  
117     18.8930 0.0833  0.0027  0.0231  1.1751   1.1751   0.1097   3.7736   4.4447   4.4960  
118     18.3722 0.1008  0.0024  0.0180  1.2957   1.2957   0.3191   3.7973   4.3724   3.9720  
119     18.7287 0.0574  0.0026  0.0214  1.2100   1.2100   0.1733   3.7809   4.4230   4.3369  
120     18.3680 0.0694  0.0024  0.0180  1.2957   1.2957   0.3191   3.7973   4.3724   3.9720  
121     18.4845 0.0601  0.0024  0.0190  1.2672   1.2672   0.2717   3.7920   4.3889   4.0906  
122     18.3056 0.0364  0.0023  0.0175  1.3100   1.3100   0.3423   3.7998   4.3639   3.9140  
123     17.9910 0.0107  0.0022  0.0151  1.3925   1.3925   0.4667   3.8141   4.3229   3.6031  
124     17.9938 0.0294  0.0022  0.0151  1.3925   1.3925   0.4667   3.8141   4.3229   3.6031  
125     17.8978 0.0386  0.0022  0.0145  1.4194   1.4194   0.5057   3.8187   4.3108   3.5057  
126     17.6264 0.0197  0.0022  0.0127  1.4972   1.4972   0.6138   3.8320   4.2793   3.2351  
127     17.6338 0.0632  0.0022  0.0127  1.4972   1.4972   0.6138   3.8320   4.2793   3.2351  
128     17.4693 0.0066  0.0021  0.0119  1.5464   1.5464   0.6772   3.8407   4.2652   3.0769  
129     17.3128 0.0212  0.0021  0.0110  1.6003   1.6003   0.7430   3.8513   4.2563   2.9123  
130     17.1819 -0.0076 0.0021  0.0104  1.6431   1.6431   0.7949   3.8599   4.2502   2.7826  
131     17.0946 -0.0015 0.0021  0.0100  1.6749   1.6749   0.8322   3.8664   4.2476   2.6891  
132     16.7733 -0.0298 0.0021  0.0086  1.7979   1.7979   0.9677   3.8916   4.2434   2.3506  
133     16.9395 -0.0200 0.0021  0.0093  1.7322   1.7322   0.8967   3.8783   4.2451   2.5283  
134     16.5254 -0.0396 0.0021  0.0077  1.9062   1.9063   1.0776   3.9118   4.2397   2.0759  
135     16.4704 -0.0543 0.0021  0.0075  1.9301   1.9301   1.1010   3.9159   4.2383   2.0179  
136     16.2455 -0.0535 0.0021  0.0068  2.0429   2.0429   1.2065   3.9342   4.2304   1.7534  
137     16.0966 -0.0513 0.0021  0.0063  2.1251   2.1251   1.2796   3.9462   4.2227   1.5711  
138     15.9175 -0.0615 0.0021  0.0059  2.2286   2.2286   1.3681   3.9603   4.2112   1.3500  
139     15.7982 -0.0757 0.0021  0.0056  2.3000   2.3000   1.4272   3.9694   4.2022   1.2020  
140     15.4197 -0.0778 0.0021  0.0047  2.5612   2.5612   1.6311   3.9995   4.1654   0.6926  
141     15.1402 -0.0842 0.0021  0.0042  2.7669   2.7669   1.7813   4.0201   4.1309   0.3164  
142     14.9007 -0.0840 0.0021  0.0038  2.9483   2.9483   1.9081   4.0359   4.0951   -0.0004 
143     14.5231 -0.0922 0.0021  0.0033  3.2283   3.2283   2.0977   4.0563   4.0264   -0.4741 
144     13.6874 -0.0960 0.0021  0.0024  3.7864   3.7863   2.4651   4.0736   3.7977   -1.3930 
145     13.0842 -0.0798 0.0021  0.0019  4.0723   4.0723   2.6598   4.0509   3.5436   -1.8790 
