metal log(age) E_BV dm
0.04100 8.86000 0.13675 13.54884
0.04100 8.86000 0.13675 13.54884
0.04100 8.86000 0.13675 13.54884
0.04100 8.83750 0.14200 13.53427
0.01900 8.83750 0.15817 13.18364
0.00700 8.83750 0.33811 13.24441
0.00700 8.86000 0.33811 13.24441
0.00700 8.86000 0.34171 13.23466
0.04100 8.89000 0.14425 13.54803
0.04300 8.86000 0.08410 13.35164
0.04300 8.86000 0.08161 13.36131
0.04100 8.89000 0.14680 13.52586
0.04100 8.86000 0.14680 13.52586
0.00700 8.89000 0.31520 13.30414
0.00700 9.00250 0.32566 13.27236
0.01900 8.83750 0.14806 13.22086
0.00700 8.83750 0.33604 13.24598
0.00700 8.83750 0.32919 13.26687
0.02100 8.89000 0.16101 13.30860
0.00700 8.86000 0.33658 13.24435
0.00700 8.86000 0.33658 13.24435
0.00700 8.86000 0.33951 13.23714
0.04100 8.86000 0.14002 13.55415
0.00700 8.86000 0.31970 13.29177
0.00700 8.86000 0.31970 13.29177
0.00700 8.86000 0.31970 13.29177
0.04100 8.86000 0.14402 13.54166
0.04100 8.86000 0.13663 13.55431
0.04100 8.86000 0.14658 13.50723
0.04100 8.86000 0.14658 13.50723
0.02100 8.86000 0.16612 13.25990
0.02100 8.86000 0.16612 13.25990
0.04100 8.86000 0.14938 13.53621
0.00700 9.02500 0.32355 13.28142
0.00700 8.86000 0.32355 13.28142
0.00700 8.86000 0.32355 13.28142
0.00700 8.86000 0.32355 13.28142
0.00700 8.86000 0.32355 13.28142
0.04100 8.86000 0.14591 13.53663
0.04100 8.86000 0.14591 13.53663
0.04100 8.86000 0.14591 13.53663
0.04100 8.86000 0.14482 13.54393
0.00700 8.86000 0.33244 13.25943
0.04100 8.86000 0.14886 13.51164
0.01300 8.86000 0.33124 13.47925
0.04100 8.98000 0.14615 13.51677
0.04100 8.86000 0.14859 13.52655
0.04100 8.86000 0.14859 13.52655
0.00700 8.86000 0.33352 13.25408
0.04100 8.86000 0.13807 13.56476
0.03900 8.86000 0.09680 13.33276
0.04100 8.86000 0.14283 13.51285
0.04100 8.86000 0.13891 13.55273
0.00700 8.86000 0.33887 13.24122
0.00700 8.86000 0.32393 13.27946
0.00700 8.86000 0.34119 13.23409
0.02100 8.86000 0.15862 13.27367
0.04100 8.83750 0.15138 13.50657
0.00700 8.83750 0.33327 13.25792
0.00700 8.83750 0.33327 13.25792
0.00700 8.68000 0.33431 13.25148
0.04100 8.86000 0.15402 13.51625
0.04300 8.83750 0.08269 13.35714
0.04100 8.86000 0.14825 13.53056
0.04100 8.86000 0.14339 13.53909
0.04100 8.99500 0.14766 13.53198
0.00700 8.83750 0.33352 13.25408
0.04100 8.83750 0.14825 13.53056
0.04100 8.83750 0.15719 13.50753
0.04100 8.83750 0.13924 13.55425
0.04100 8.83750 0.14436 13.52813
0.04100 8.80750 0.14436 13.52813
0.04100 8.86000 0.13681 13.54933
0.04100 8.69500 0.13555 13.55067
0.05700 8.83750 0.06287 13.29160
0.04100 8.86000 0.14611 13.53638
0.04100 8.86000 0.13756 13.55434
0.04100 8.86000 0.14358 13.54449
0.04100 8.86000 0.14142 13.53709
0.00700 8.83750 0.34141 13.23253
0.04100 8.86000 0.15165 13.51100
0.04100 8.86000 0.14963 13.53601
0.04100 8.83750 0.13681 13.54933
0.00700 8.86000 0.32266 13.28584
0.00700 8.83750 0.32266 13.28584
0.04100 8.83750 0.14652 13.53632
0.00700 8.86000 0.32426 13.27664
0.04300 8.86000 0.08410 13.35164
0.01900 8.86000 0.15461 13.20327
0.04100 8.86000 0.15121 13.52925
0.04100 8.86000 0.15121 13.52925
0.04100 8.83750 0.14113 13.53238
0.04100 8.83750 0.14921 13.52795
0.04100 8.86000 0.14921 13.52795
0.04100 8.86000 0.14921 13.52795
0.02100 9.00250 0.15485 13.33938
0.00700 8.86000 0.33595 13.24692
0.00700 8.86000 0.33595 13.24692
0.00700 8.83750 0.33595 13.24692
0.00700 8.83750 0.33595 13.24692
0.04100 8.83750 0.15458 13.50020
0.01900 8.83750 0.16338 13.17788
0.01900 8.83750 0.16338 13.17788
0.01300 8.86000 0.32192 13.50483
0.04100 8.86000 0.14681 13.52376
0.04100 8.86000 0.13657 13.54968
0.04100 8.83750 0.13775 13.55227
0.04100 8.86000 0.13989 13.55063
0.01900 8.86000 0.16048 13.18663
0.04100 8.86000 0.15289 13.50612
0.01900 8.86000 0.15494 13.20265
0.02100 8.86000 0.15748 13.31992
0.04100 8.86000 0.15240 13.52779
0.00700 8.86000 0.32080 13.28583
0.00700 8.86000 0.32270 13.27952
0.04100 8.86000 0.13739 13.54575
0.00700 8.95750 0.32708 13.27456
0.04100 8.86000 0.13935 13.55905
0.04100 8.86000 0.13644 13.56690
