#ID           G   (G_BP-G_RP)   (iP1-zP1)   e_G   e_(G_BP-G_RP)   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      19.6926 1.3215  0.1606  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
11      19.9657 1.4248  0.1911  0.0055  0.0910  0.0416  0.8681   0.8681   -0.4915  3.6966   4.6066   5.9991  
12      19.7031 1.4925  0.2388  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
13      19.9699 1.4950  0.2232  0.0055  0.0910  0.0416  0.8681   0.8681   -0.4915  3.6966   4.6066   5.9991  
14      19.6983 1.4139  0.2029  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
15      19.8265 1.3571  0.1690  0.0051  0.0836  0.0382  0.8883   0.8883   -0.4445  3.7036   4.5973   5.8815  
16      19.8239 1.3142  0.1494  0.0051  0.0836  0.0382  0.8883   0.8883   -0.4445  3.7036   4.5973   5.8815  
17      19.9642 1.4014  0.1805  0.0055  0.0910  0.0416  0.8681   0.8681   -0.4915  3.6966   4.6066   5.9991  
18      19.9683 1.4680  0.2109  0.0055  0.0910  0.0416  0.8681   0.8681   -0.4915  3.6966   4.6066   5.9991  
19      19.8314 1.4377  0.2059  0.0051  0.0836  0.0382  0.8883   0.8883   -0.4445  3.7036   4.5973   5.8815  
110     19.1967 1.2544  0.1564  0.0037  0.0563  0.0261  0.9890   0.9890   -0.2185  3.7350   4.5434   5.3160  
111     19.6963 1.3820  0.1883  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
112     19.4414 1.3646  0.1936  0.0041  0.0655  0.0301  0.9487   0.9487   -0.3063  3.7231   4.5658   5.5354  
113     19.6949 1.3588  0.1777  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
114     19.1882 1.1235  0.0957  0.0037  0.0563  0.0261  0.9890   0.9890   -0.2185  3.7350   4.5434   5.3160  
115     19.4378 1.3082  0.1677  0.0041  0.0655  0.0301  0.9487   0.9487   -0.3063  3.7231   4.5658   5.5354  
116     19.3166 1.2758  0.1595  0.0039  0.0607  0.0280  0.9688   0.9688   -0.2623  3.7290   4.5546   5.4255  
117     19.1115 1.1750  0.1240  0.0035  0.0535  0.0249  1.0027   1.0027   -0.1888  3.7389   4.5356   5.2418  
118     19.6969 1.3920  0.1929  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
119     19.1087 1.1319  0.1040  0.0035  0.0535  0.0249  1.0027   1.0027   -0.1888  3.7389   4.5356   5.2418  
120     19.1931 1.1992  0.1308  0.0037  0.0563  0.0261  0.9890   0.9890   -0.2185  3.7350   4.5434   5.3160  
121     19.4402 1.3452  0.1847  0.0041  0.0655  0.0301  0.9487   0.9487   -0.3063  3.7231   4.5658   5.5354  
122     19.1151 1.2292  0.1493  0.0035  0.0535  0.0249  1.0027   1.0027   -0.1888  3.7389   4.5356   5.2418  
123     19.5690 1.3766  0.1924  0.0044  0.0710  0.0325  0.9286   0.9286   -0.3521  3.7167   4.5766   5.6502  
124     19.1900 1.1509  0.1084  0.0037  0.0563  0.0261  0.9890   0.9890   -0.2185  3.7350   4.5434   5.3160  
125     19.6903 1.2831  0.1431  0.0047  0.0769  0.0352  0.9084   0.9084   -0.3979  3.7103   4.5874   5.7650  
126     19.0817 1.2294  0.1512  0.0035  0.0523  0.0244  1.0086   1.0086   -0.1761  3.7405   4.5320   5.2104  
127     19.4389 1.3258  0.1758  0.0041  0.0655  0.0301  0.9487   0.9487   -0.3063  3.7231   4.5658   5.5354  
128     19.3236 1.3846  0.2097  0.0039  0.0607  0.0280  0.9688   0.9688   -0.2623  3.7290   4.5546   5.4255  
129     19.2001 1.3063  0.1805  0.0037  0.0563  0.0261  0.9890   0.9890   -0.2185  3.7350   4.5434   5.3160  
130     19.3101 1.1725  0.1118  0.0039  0.0607  0.0280  0.9688   0.9688   -0.2623  3.7290   4.5546   5.4255  
131     18.8243 1.1874  0.1444  0.0031  0.0444  0.0211  1.0551   1.0551   -0.0794  3.7527   4.5035   4.9689  
132     18.7104 1.1490  0.1325  0.0030  0.0412  0.0198  1.0760   1.0760   -0.0366  3.7578   4.4898   4.8618  
133     19.0447 1.1738  0.1270  0.0034  0.0512  0.0240  1.0145   1.0145   -0.1635  3.7422   4.5283   5.1789  
134     18.6660 1.2237  0.1712  0.0029  0.0399  0.0193  1.0857   1.0857   -0.0173  3.7601   4.4835   4.8134  
135     19.0493 1.2429  0.1593  0.0034  0.0512  0.0240  1.0145   1.0145   -0.1635  3.7422   4.5283   5.1789  
136     18.8233 1.1723  0.1372  0.0031  0.0444  0.0211  1.0551   1.0551   -0.0794  3.7527   4.5035   4.9689  
137     18.6080 1.1156  0.1217  0.0029  0.0386  0.0187  1.0954   1.0954   0.0021   3.7624   4.4772   4.7651  
138     18.6587 1.1246  0.1234  0.0029  0.0399  0.0193  1.0857   1.0857   -0.0173  3.7601   4.4835   4.8134  
139     18.8167 1.0798  0.0932  0.0031  0.0444  0.0211  1.0551   1.0551   -0.0794  3.7527   4.5035   4.9689  
140     18.8895 1.1617  0.1286  0.0032  0.0463  0.0219  1.0427   1.0427   -0.1049  3.7496   4.5113   5.0328  
141     19.0831 1.2503  0.1610  0.0035  0.0523  0.0244  1.0086   1.0086   -0.1761  3.7405   4.5320   5.2104  
142     18.5301 1.0938  0.1150  0.0028  0.0367  0.0180  1.1105   1.1105   0.0319   3.7658   4.4670   4.6907  
143     18.7158 1.2227  0.1679  0.0030  0.0412  0.0198  1.0760   1.0760   -0.0366  3.7578   4.4898   4.8618  
144     18.7710 1.2189  0.1627  0.0031  0.0428  0.0204  1.0656   1.0656   -0.0580  3.7553   4.4967   4.9153  
145     18.6083 1.1185  0.1231  0.0029  0.0386  0.0187  1.0954   1.0954   0.0021   3.7624   4.4772   4.7651  
146     18.6636 1.1912  0.1555  0.0029  0.0399  0.0193  1.0857   1.0857   -0.0173  3.7601   4.4835   4.8134  
147     18.5284 1.0710  0.1039  0.0028  0.0367  0.0180  1.1105   1.1105   0.0319   3.7658   4.4670   4.6907  
148     18.7674 1.1687  0.1387  0.0031  0.0428  0.0204  1.0656   1.0656   -0.0580  3.7553   4.4967   4.9153  
149     18.4271 1.0597  0.1033  0.0027  0.0343  0.0170  1.1307   1.1307   0.0712   3.7703   4.4532   4.5924  
150     18.4273 1.0626  0.1047  0.0027  0.0343  0.0170  1.1307   1.1307   0.0712   3.7703   4.4532   4.5924  
151     18.2307 1.0318  0.1019  0.0026  0.0301  0.0153  1.1709   1.1709   0.1486   3.7788   4.4251   4.3987  
152     18.1320 0.9777  0.0816  0.0025  0.0283  0.0146  1.1911   1.1910   0.1866   3.7829   4.4107   4.3033  
153     18.3269 1.0574  0.1074  0.0026  0.0321  0.0161  1.1508   1.1508   0.1105   3.7748   4.4394   4.4942  
154     18.1382 1.0478  0.1177  0.0025  0.0283  0.0146  1.1911   1.1910   0.1866   3.7829   4.4107   4.3033  
155     18.0419 0.9813  0.0911  0.0024  0.0265  0.0139  1.2112   1.2111   0.2235   3.7868   4.3968   4.2109  
156     18.4297 1.0926  0.1196  0.0027  0.0343  0.0170  1.1307   1.1307   0.0712   3.7703   4.4532   4.5924  
157     18.3240 1.0226  0.0900  0.0026  0.0321  0.0161  1.1508   1.1508   0.1105   3.7748   4.4394   4.4942  
158     18.4275 1.0654  0.1061  0.0027  0.0343  0.0170  1.1307   1.1307   0.0712   3.7703   4.4532   4.5924  
159     18.1342 1.0031  0.0947  0.0025  0.0283  0.0146  1.1911   1.1910   0.1866   3.7829   4.4107   4.3033  
160     18.1372 1.0364  0.1119  0.0025  0.0283  0.0146  1.1911   1.1910   0.1866   3.7829   4.4107   4.3033  
161     18.4289 1.0823  0.1145  0.0027  0.0343  0.0170  1.1307   1.1307   0.0712   3.7703   4.4532   4.5924  
162     18.1323 0.9819  0.0837  0.0025  0.0283  0.0146  1.1911   1.1910   0.1866   3.7829   4.4107   4.3033  
163     18.4328 1.1313  0.1387  0.0027  0.0343  0.0170  1.1307   1.1307   0.0712   3.7703   4.4532   4.5924  
164     17.8673 0.9787  0.1061  0.0023  0.0235  0.0127  1.2515   1.2514   0.2954   3.7944   4.3696   4.0316  
165     17.9556 0.9925  0.1051  0.0024  0.0250  0.0133  1.2314   1.2313   0.2595   3.7906   4.3832   4.1211  
166     17.6940 0.9249  0.0901  0.0023  0.0209  0.0117  1.2918   1.2917   0.3639   3.8015   4.3434   3.8600  
167     17.6073 0.8800  0.0701  0.0022  0.0197  0.0113  1.3119   1.3118   0.3972   3.8050   4.3306   3.7768  
168     17.8661 0.9672  0.0999  0.0023  0.0235  0.0127  1.2515   1.2514   0.2954   3.7944   4.3696   4.0316  
169     18.0421 0.9832  0.0921  0.0024  0.0265  0.0139  1.2112   1.2111   0.2235   3.7868   4.3968   4.2109  
170     17.6921 0.9081  0.0806  0.0023  0.0209  0.0117  1.2918   1.2917   0.3639   3.8015   4.3434   3.8600  
171     17.8703 1.0094  0.1227  0.0023  0.0235  0.0127  1.2515   1.2514   0.2954   3.7944   4.3696   4.0316  
172     17.7794 0.9398  0.0916  0.0023  0.0221  0.0122  1.2716   1.2715   0.3296   3.7980   4.3565   3.9458  
173     17.9497 0.9309  0.0724  0.0024  0.0250  0.0133  1.2314   1.2313   0.2595   3.7906   4.3832   4.1211  
174     17.9513 0.9477  0.0813  0.0024  0.0250  0.0133  1.2314   1.2313   0.2595   3.7906   4.3832   4.1211  
175     17.8660 0.9661  0.0993  0.0023  0.0235  0.0127  1.2515   1.2514   0.2954   3.7944   4.3696   4.0316  
176     17.2933 0.8556  0.0750  0.0021  0.0156  0.0098  1.3925   1.3924   0.5239   3.8181   4.2823   3.4607  
177     17.4476 0.8809  0.0802  0.0022  0.0175  0.0105  1.3522   1.3521   0.4622   3.8117   4.3055   3.6146  
178     17.3716 0.8773  0.0831  0.0021  0.0166  0.0101  1.3723   1.3722   0.4930   3.8149   4.2939   3.5376  
179     17.3662 0.8353  0.0575  0.0021  0.0166  0.0101  1.3723   1.3722   0.4930   3.8149   4.2939   3.5376  
180     17.2898 0.8300  0.0590  0.0021  0.0156  0.0098  1.3925   1.3924   0.5239   3.8181   4.2823   3.4607  
181     17.4445 0.8558  0.0652  0.0022  0.0175  0.0105  1.3522   1.3521   0.4622   3.8117   4.3055   3.6146  
182     17.4474 0.8796  0.0794  0.0022  0.0175  0.0105  1.3522   1.3521   0.4622   3.8117   4.3055   3.6146  
183     17.5283 0.8904  0.0808  0.0022  0.0186  0.0109  1.3321   1.3320   0.4298   3.8083   4.3180   3.6955  
184     17.3639 0.8176  0.0467  0.0021  0.0166  0.0101  1.3723   1.3722   0.4930   3.8149   4.2939   3.5376  
185     17.2908 0.8371  0.0634  0.0021  0.0156  0.0098  1.3925   1.3924   0.5239   3.8181   4.2823   3.4607  
186     17.1406 0.8057  0.0544  0.0021  0.0140  0.0092  1.4328   1.4327   0.5836   3.8244   4.2602   3.3108  
187     17.2186 0.8466  0.0750  0.0021  0.0148  0.0095  1.4126   1.4125   0.5540   3.8213   4.2711   3.3853  
188     16.9156 0.7654  0.0446  0.0020  0.0118  0.0084  1.4956   1.4955   0.6739   3.8343   4.2281   3.0855  
189     17.1399 0.8010  0.0513  0.0021  0.0140  0.0092  1.4328   1.4327   0.5836   3.8244   4.2602   3.3108  
190     16.8862 0.7507  0.0364  0.0020  0.0115  0.0083  1.5036   1.5035   0.6850   3.8356   4.2243   3.0577  
