metal log(age) E_BV dm mass
0.01775 9.63943 1.05744 12.22590 2931.63488
0.01775 9.63428 1.05744 12.22590 2931.63488
0.01395 9.63428 1.03793 12.22590 2315.62012
0.01395 9.63428 1.12283 12.22590 1798.78067
0.01395 9.68719 1.12283 12.22590 1798.78067
0.03116 9.68541 1.16827 12.22590 2795.84715
0.01728 9.68541 1.16827 12.22590 2795.84715
0.03116 9.68541 1.08826 12.22590 1363.71337
0.03116 9.68541 1.08826 12.22590 1935.55297
0.03116 9.68541 1.08826 12.22590 1935.55297
0.02408 9.68541 1.10756 12.22590 1935.55297
0.02408 9.64040 1.08614 12.22590 1363.71337
0.01727 9.57693 1.08614 12.22590 1430.83882
0.01727 9.74278 1.08614 12.22590 1866.54555
0.01727 9.73811 1.08614 12.22590 1876.36110
0.01727 9.73811 1.08614 12.22692 1564.50612
0.01727 9.73811 1.08614 12.22692 1798.78067
0.01727 9.73811 1.08614 12.22692 1798.78067
0.01727 9.73811 1.08614 12.22692 1798.78067
0.01727 9.73811 1.08614 12.22692 1798.78067
0.01727 9.73811 1.08614 12.22692 1560.50580
0.01727 9.73811 1.08826 12.22692 1028.19808
0.01727 9.73811 1.03793 12.22692 1028.19808
0.01727 9.73811 1.08826 12.22692 1028.19808
0.01395 9.73811 1.08826 12.22692 1028.19808
0.03769 9.73811 1.08841 12.22692 2455.92664
0.03769 9.73811 1.10837 12.22692 1438.65126
0.03797 9.73811 1.05744 12.22692 1438.65126
0.03797 9.73811 1.08657 12.22692 2795.84715
0.01395 9.73811 1.08657 12.22692 1694.94774
0.01395 9.73811 1.08657 12.22692 1866.54555
0.00908 9.73811 1.08657 12.52958 2315.62012
0.03888 9.73811 1.08657 12.52958 2315.62012
0.01727 9.73811 1.08657 12.48669 2315.62012
0.01728 9.73805 1.12283 12.40810 2315.62012
0.01727 9.73805 1.10837 12.40768 2455.92664
0.03888 9.73805 1.12283 12.01044 2455.92664
0.03888 9.73805 1.12283 12.01044 2455.92664
0.00120 9.73805 1.07166 12.01044 1922.66232
0.01616 9.63375 1.05456 12.01044 1922.66232
0.01616 9.63375 1.10794 12.40903 1922.66232
0.01616 9.68541 1.10794 12.40903 1438.65126
0.01616 9.64275 1.10794 12.42234 1438.65126
0.04299 9.93085 1.10794 12.46071 2860.81930
0.04299 9.93085 1.05629 13.03869 2860.81930
0.04299 9.58829 1.08657 12.40810 2860.81930
0.04299 9.58829 1.05389 12.40810 2860.81930
0.04299 9.58829 1.05389 12.40810 2860.81930
0.04299 9.58829 1.05389 12.40810 2860.81930
0.04299 9.64275 1.11089 12.40810 2860.81930
0.04299 9.64275 1.11089 12.40810 2860.81930
0.04299 9.74278 1.11089 12.40810 2860.81930
0.04299 9.75740 1.22978 12.44790 2860.81930
0.04299 9.75740 1.16827 12.44790 2067.84310
0.04299 9.75740 1.16827 12.44790 2067.84310
0.04299 9.75740 1.05456 12.44790 2067.84310
0.04299 9.75740 1.03689 12.44790 2067.84310
0.04299 9.75740 1.33439 12.44734 2067.84310
0.04299 9.75740 1.07828 12.44734 2070.23824
0.04299 9.75740 1.08657 12.44734 2070.23824
0.04299 9.75740 1.08657 12.44734 2070.23824
0.04294 9.75740 1.08657 12.44734 2070.23824
0.04294 9.75740 1.08657 12.41085 2070.23824
0.04294 9.75740 1.06482 12.45124 2070.23824
0.04294 9.75740 1.06482 12.45124 2070.23824
0.04294 9.75740 1.06482 12.45124 2070.23824
0.01728 9.75740 1.06482 12.70603 2070.23824
0.00124 9.75740 1.06482 12.48670 2070.23824
0.00124 9.75740 1.06428 12.48670 2070.23824
0.01648 9.75740 1.06428 12.48670 2070.23824
0.01395 9.75740 1.06428 12.44805 2070.23824
0.03889 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.44805 2070.23824
0.02367 9.75740 1.06428 12.49008 2070.23824
0.00119 9.75740 1.06428 12.00195 2070.23824
0.01739 9.75740 1.06428 12.00195 2070.23824
0.02366 9.75740 1.06428 12.48670 2070.82654
0.02366 9.75740 1.06428 12.48670 2070.82654
0.02366 9.75740 1.06428 12.22590 2070.82654
0.02366 9.75740 1.06428 12.22590 2070.82654
0.02942 9.75740 1.06428 12.22590 2070.82654
0.03892 9.75740 1.06428 12.28641 2070.82654
0.01395 9.75740 1.06428 12.28641 2070.82654
0.00120 9.75740 1.06428 12.28641 2070.82654
0.00120 9.75740 1.06428 12.28641 2070.82654
0.00120 9.75740 1.05492 12.28641 2070.82654
0.02906 9.75667 1.08658 12.28641 2070.82654
0.01395 9.75667 1.08658 12.28641 2085.36323
0.03113 9.75667 1.08658 12.28641 2085.36323
0.02400 9.75667 1.08658 12.28641 2085.36323
0.02400 9.75667 1.08658 12.28641 2085.36323
0.02400 9.75667 1.08658 12.28724 2085.36323
0.01395 9.75667 1.08658 12.28724 2444.95542
0.01395 9.75667 1.08658 12.42286 2444.95542
0.01395 9.75667 1.03796 12.42286 2458.43506
0.01395 9.75667 1.03796 12.47448 2458.43506
0.00120 9.75667 1.03796 12.47448 2801.64005
0.00120 9.75667 1.05342 12.47448 2801.64005
0.00124 9.75667 1.07800 12.47448 2801.64005
0.00124 9.75667 1.07800 12.70548 2801.64005
0.02378 9.75667 1.07800 12.22666 2801.64005
0.02378 9.75667 1.03792 12.22666 2801.64005
0.03753 9.75667 1.03792 12.22666 2801.64005
0.03753 9.75667 1.03792 12.22666 2801.64005
0.03753 9.75667 1.33113 12.22666 2801.64005
