metal log(age) E_BV dm mass
0.02630 9.55867 0.24764 13.89291 2301.61127
0.02630 9.56091 0.24758 13.60549 2301.61127
0.02630 9.56091 0.24758 13.89291 2301.61127
0.02628 9.37787 0.25288 13.89291 2306.12432
0.02672 9.56091 0.24758 13.92451 2287.08837
0.02672 9.61054 0.23015 13.89084 2287.08837
0.02630 9.56004 0.24769 13.89084 2301.61127
0.02619 9.61094 0.23006 13.89276 2302.91387
0.02630 9.39428 0.25230 13.89291 2301.62488
0.05684 9.56091 0.24758 13.89316 1214.49721
0.02630 9.56096 0.24758 13.89296 2301.61127
0.02630 9.56091 0.24758 13.89084 2301.61127
0.02841 9.78380 0.27604 13.89291 2019.46947
0.02691 9.56097 0.24754 13.90619 2279.80846
0.05696 9.37855 0.25280 13.89291 1209.57463
0.02629 9.37839 0.25281 13.89291 2301.68727
0.02633 9.37839 0.25281 13.89773 2302.43786
0.02633 9.56091 0.24758 13.92451 2302.43786
0.02630 9.56055 0.24744 13.89327 2301.65753
0.05765 9.56119 0.24760 13.89338 1212.05079
0.05748 9.37847 0.25280 13.89089 1215.32525
0.02641 9.61049 0.23037 13.90618 2302.29530
0.02629 9.38013 0.25253 13.92451 2302.01555
0.02629 9.62994 0.22346 13.92451 2302.01555
0.02623 9.39332 0.25247 13.89291 2301.67970
0.05668 9.56084 0.24754 13.89141 1216.85765
0.02616 9.55882 0.24783 13.89326 2304.08453
0.05893 9.56097 0.24758 13.89604 1154.56492
0.05767 9.39428 0.25230 13.89248 1210.59775
0.05679 9.56123 0.24759 13.89391 1214.77122
0.02631 9.39534 0.25226 13.89391 2300.52346
0.05746 9.56113 0.24758 13.89319 1218.81986
0.05681 9.56097 0.24775 13.89316 1214.99392
0.02616 9.61184 0.22981 13.89248 2304.08453
0.05662 9.37826 0.25282 13.89984 1215.37296
0.02620 9.62989 0.22350 13.89286 2308.85664
0.02626 9.39450 0.25229 13.90675 2303.01636
0.02626 9.56073 0.24757 13.90675 2303.01636
0.02650 9.56089 0.24754 13.89855 2298.44124
0.02678 9.56081 0.24739 13.89712 2284.90466
0.02640 9.62994 0.22346 13.89468 2303.23942
