metal log(age) E_BV dm mass
0.01917 9.67736 0.83924 13.54243 2606.31066
0.01917 9.64780 0.83924 13.54243 3256.99894
0.02181 9.64780 0.83924 13.54243 807.46627
0.02053 9.64780 0.83924 13.54243 2235.90282
0.01561 9.64780 0.81615 13.54243 5328.56864
0.01561 9.64780 0.81615 13.54243 5672.95181
0.02129 9.64780 0.81615 13.93806 5672.95181
0.01991 9.64780 0.81615 13.93806 5672.95181
0.01542 9.64780 0.81615 13.93806 5672.95181
0.02050 9.64780 0.82453 13.58083 5672.95181
0.02050 9.64780 0.82453 13.83009 5672.95181
0.02050 9.64780 0.82453 13.60676 5672.95181
0.02050 9.64780 0.82458 13.66566 2301.12894
0.01536 9.64780 0.82458 13.25211 2301.12894
0.02248 9.64780 0.82458 13.61208 2301.12894
0.02248 9.64780 0.82458 13.65012 1476.93799
0.01187 9.64780 0.84090 13.75209 1476.93799
0.01536 9.64780 0.83066 13.75209 2528.63723
0.01536 9.64780 0.83652 13.35332 2022.05138
0.01536 9.64780 0.84406 13.35332 2022.05138
0.01537 9.64780 0.83712 13.78161 2594.57466
0.01246 9.64780 0.83916 13.78211 2436.32355
0.01542 9.64780 0.81815 13.78404 2436.32355
0.00979 9.55920 0.82482 13.78404 1000.99981
0.01854 9.63990 0.82482 13.55328 6338.26579
0.01854 9.63990 0.82610 13.55328 6338.26579
0.01854 9.69601 0.82610 13.58146 1101.90753
0.02163 9.67543 0.82610 13.58146 1101.90753
0.02163 9.69025 0.82610 13.58146 1101.90753
0.01246 9.62172 0.82610 13.58146 1101.90753
0.01651 9.68833 0.85226 13.58146 2461.97868
0.01651 9.68833 0.82458 13.58146 1763.84263
0.01603 9.68833 0.85299 13.58146 3098.06847
0.01967 9.68833 0.82136 13.58146 5637.36379
0.02236 9.68833 0.82554 13.58146 5637.36379
0.01235 9.68833 0.82554 13.30492 1212.96711
0.02597 9.68833 0.82554 13.30492 2235.90282
0.01321 9.73772 0.82554 13.30492 5672.95181
0.02236 9.60775 0.85034 13.30492 5672.95181
0.01235 9.60775 0.84806 13.30492 2448.53232
0.01235 9.60775 0.84806 13.30492 5082.58662
0.01834 9.60775 0.83906 13.65359 5082.58662
0.02050 9.60775 0.84759 13.94575 1271.42582
0.02165 9.69303 0.83906 13.75218 5426.30916
0.01860 9.60258 0.83764 13.75218 2881.09195
0.01409 9.60258 0.83764 13.90230 2375.19093
0.01409 9.69303 0.85226 13.66566 1213.58036
0.02399 9.75181 0.84193 13.94575 5637.36379
0.02236 9.54536 0.84193 13.60580 1591.54820
0.02227 9.54536 0.84861 13.60580 5637.36379
0.02227 9.54536 0.82874 13.60580 3426.70451
0.02495 9.54536 0.82136 13.54883 3426.70451
0.02756 9.54536 0.82136 13.07972 1213.58036
0.02756 9.54536 0.82136 13.71315 1213.58036
0.02756 9.54536 0.82136 13.60580 698.68816
0.02756 9.54536 0.85024 13.60580 4618.94073
0.01854 9.72769 0.83536 13.03923 2301.00976
0.01854 9.57861 0.85024 13.37373 2301.00976
0.01854 9.57861 0.85024 13.76361 3098.06847
0.01854 9.57861 0.84759 13.76361 1995.26545
0.01854 9.87862 0.84759 13.56283 3098.06847
0.01854 9.87862 0.82427 13.56283 5313.94522
0.01854 9.75000 0.82019 13.56283 5515.01912
0.01338 9.75000 0.80106 13.08709 1482.49693
0.01809 9.68909 0.84675 13.64365 3426.70451
0.01071 9.68909 0.84675 13.64365 2301.00976
0.01071 9.61897 0.84675 13.64365 2301.00976
0.01071 9.70831 0.84675 13.90230 1687.86885
0.01071 9.68833 0.84675 13.54883 1687.86885
0.01246 9.67603 0.84675 13.63094 2147.21958
0.00816 9.55281 0.84675 13.46779 2147.21958
0.00816 9.54422 0.82136 13.64721 2147.21958
0.01453 9.57914 0.82136 13.64721 2436.32355
0.01632 9.57914 0.82657 13.60882 2436.32355
0.01920 9.57665 0.82657 13.25187 1891.17668
0.01920 9.61821 0.84813 13.25187 1891.17668
0.01920 9.67558 0.83995 13.75218 2527.80221
0.01553 9.70708 0.83536 13.75218 5892.52345
0.00816 9.57890 0.83536 13.75218 2733.87447
0.01396 9.57890 0.84685 13.57694 2495.18494
0.02520 9.66085 0.83116 13.68834 2733.87447
0.02037 9.66085 0.85281 13.94720 2733.87447
0.02037 9.66085 0.84882 13.37330 1991.21941
0.01770 9.66085 0.83315 13.48965 4737.82872
0.02129 9.66085 0.83315 13.47585 5082.58662
0.02129 9.57914 0.84911 13.47585 1807.64783
0.02129 9.57914 0.84304 13.60882 1807.64783
0.01318 9.57914 0.83116 13.64537 1807.64783
0.01318 9.57914 0.84631 13.46160 1185.58558
0.01318 9.61821 0.82386 13.61032 1991.21941
0.01318 9.57923 0.84717 13.61032 1099.52484
0.01632 9.64850 0.84631 13.61032 3202.90734
0.01341 9.57665 0.84631 13.61032 2439.60098
0.01341 9.64661 0.84266 13.89337 2439.60098
0.02223 9.64661 0.82458 13.89337 2439.60098
0.02223 9.57890 0.82458 13.89337 2805.17388
0.02223 9.57890 0.82458 13.35906 3340.01274
0.02223 9.54536 0.83916 13.75185 926.71773
0.00959 9.54536 0.83916 13.35333 926.71773
0.01978 9.54536 0.84578 12.63897 1568.66940
0.01978 9.70564 0.85590 13.71258 5426.30916
0.01978 9.68833 0.83648 13.08153 5903.32626
0.01978 9.68833 0.82710 12.88066 5637.36379
0.02758 9.67558 0.85226 13.08153 5637.36379
0.01978 9.67558 0.85535 13.30492 5637.36379
0.02758 9.67558 0.85535 13.75185 5637.36379
0.02263 9.67558 0.82606 13.75185 1099.52484
0.01651 9.67558 0.83103 13.51180 1099.52484
0.01179 9.73670 0.83264 13.51180 2472.54085
0.02187 9.57923 0.83264 13.80611 4329.35170
0.02187 9.63990 0.84832 13.80611 4329.35170
0.00740 9.59500 0.84832 13.56283 4329.35170
0.01578 9.75181 0.84832 13.56283 4329.35170
0.01578 9.54280 0.83338 13.56283 4329.35170
0.01578 9.54280 0.83338 13.47585 4329.35170
0.01235 9.57923 0.85535 13.93891 1533.41876
0.01235 9.68636 0.82386 13.76361 2234.27594
0.01235 9.59214 0.82386 13.40678 2234.27594
0.01235 9.57923 0.82386 13.64365 2375.19093
0.01781 9.68636 0.83739 13.61106 1275.19743
0.02520 9.54457 0.83739 13.88625 5657.65565
0.01554 9.63683 0.83739 13.88625 5657.65565
0.02049 9.63683 0.83739 13.88625 2147.21958
0.01657 9.64825 0.83611 13.88625 2805.44293
0.01734 9.73772 0.83611 13.88625 2805.44293
0.02140 9.68833 0.82136 13.99033 1763.84263
0.01920 9.55282 0.82136 13.89337 1763.84263
0.01920 9.70326 0.82136 13.60882 4329.35170
0.01680 9.67231 0.85828 13.65767 2448.53232
0.01680 9.56071 0.85828 13.29934 2881.09195
0.01157 9.56071 0.83924 13.68718 2521.46891
0.01157 9.55935 0.83924 13.68718 2521.46891
0.02049 9.55935 0.83924 13.55575 2521.46891
0.02049 9.68932 0.83924 13.47585 2521.46891
0.02054 9.63683 0.83924 13.56283 5937.99767
0.02054 9.52349 0.83924 13.60402 2527.80221
0.01235 9.80311 0.83924 13.94575 2527.80221
0.02126 9.80311 0.83924 13.81392 1213.58036
0.01920 9.80311 0.83924 13.99036 4620.48466
0.01920 9.55206 0.83924 13.81392 4620.48466
0.02037 9.63990 0.83924 13.63220 4620.48466
0.01781 9.63990 0.83953 13.58805 2734.45119
0.01781 9.63990 0.83953 13.58805 2734.45119
0.01781 9.63990 0.83953 13.61512 3418.66863
0.01774 9.69601 0.83953 13.58805 3418.66863
0.01774 9.68833 0.85828 13.58805 3418.66863
