metal log(age) E_BV dm mass
0.01700 9.53500 0.35500 13.52086 3800.00000
0.01700 9.54200 0.38621 13.62225 3800.00000
0.01700 9.54200 0.34627 13.47771 3800.00000
0.01700 9.53500 0.34580 13.05534 3800.00000
0.01700 9.52700 0.35368 13.07703 3800.00000
0.01700 9.53500 0.35391 13.69829 3800.00000
0.01700 9.53500 0.35383 13.03667 3800.00000
0.01900 9.52000 0.35157 13.12502 3800.00000
0.04500 9.53500 0.34570 13.41259 3800.00000
0.01700 9.53500 0.34570 13.41259 3800.00000
0.01700 9.53500 0.36345 13.41259 4700.00000
0.01700 9.53500 0.39680 13.41259 3800.00000
0.01700 9.68500 0.33630 13.41259 3800.00000
0.01700 9.51200 0.35157 13.41259 3800.00000
0.01700 9.53500 0.34687 13.41259 3800.00000
0.01700 9.54200 0.34687 13.41259 3800.00000
0.01700 9.54200 0.35230 13.41259 3800.00000
0.01700 9.54200 0.35230 13.41259 3800.00000
0.01700 9.53500 0.35559 13.41259 3800.00000
0.02100 9.53500 0.35559 13.41259 3800.00000
0.02100 9.53500 0.35559 13.41259 3800.00000
0.02100 9.53500 0.35385 13.41259 3800.00000
0.02100 9.54200 0.35165 13.41259 3800.00000
0.01700 9.54200 0.35165 13.41259 3800.00000
0.01700 9.53500 0.35165 13.41259 3800.00000
0.01700 9.53500 0.35529 13.41259 3800.00000
0.01700 9.53500 0.35164 13.41259 4600.00000
0.01700 9.20500 0.35164 13.41259 3800.00000
0.01700 9.53500 0.35164 13.41259 3800.00000
0.01700 9.53500 0.35886 13.41300 3800.00000
0.01900 9.53500 0.35793 13.41300 3800.00000
0.01900 9.53500 0.34539 13.69382 4600.00000
0.01700 9.53500 0.34539 13.26510 4600.00000
0.01700 9.53500 0.35453 13.56303 4600.00000
0.01700 9.53500 0.35453 13.56303 4600.00000
0.01700 9.53500 0.35453 13.56303 4600.00000
0.01700 9.53500 0.35793 13.56303 3800.00000
0.01700 9.54200 0.35168 13.56303 3800.00000
0.01700 9.54200 0.35168 13.52037 7500.00000
0.01700 9.54200 0.35168 13.52037 3800.00000
0.01700 9.54200 0.35169 13.09011 3800.00000
0.01700 9.54200 0.35185 13.51899 3800.00000
0.01700 9.54200 0.36177 13.51899 2200.00000
0.01700 9.54200 0.35552 13.52365 2200.00000
0.04500 9.54200 0.35552 13.82333 2200.00000
0.01700 9.53500 0.35531 13.52166 3800.00000
0.01700 9.53500 0.35840 13.51957 3800.00000
0.01700 9.53500 0.35445 13.52367 3800.00000
0.01700 9.19700 0.35445 13.51899 3800.00000
0.01900 9.19700 0.34665 13.51941 3800.00000
0.02100 9.19700 0.34665 13.51941 3800.00000
0.02100 9.54200 0.34268 13.53773 4600.00000
0.01700 9.54200 0.35561 13.51892 4700.00000
0.01700 9.54200 0.33815 13.51892 3800.00000
0.01700 9.54200 0.33815 13.05429 4200.00000
0.01700 9.54200 0.33815 13.52089 4300.00000
0.01700 9.54200 0.35467 13.52359 3200.00000
0.03300 9.53500 0.35485 13.51243 3200.00000
0.03300 9.53500 0.35485 13.51243 4300.00000
0.03300 9.53500 0.35485 13.52092 4300.00000
0.03300 9.53500 0.34781 13.52092 3800.00000
0.03300 9.16700 0.35444 13.52092 3800.00000
0.03300 9.16700 0.35444 13.05349 3800.00000
0.01700 9.53500 0.35444 13.52070 3800.00000
0.01700 9.53500 0.35192 13.40909 3800.00000
0.01700 9.53500 0.35164 13.40909 3800.00000
0.01700 9.61000 0.35538 13.40909 3800.00000
0.01700 9.53500 0.33648 13.52255 3200.00000
0.01700 9.53500 0.33648 13.51873 3800.00000
0.02100 9.54200 0.33648 13.65384 3800.00000
0.02100 9.54200 0.33648 13.52070 3800.00000
0.01700 9.54200 0.33648 13.51999 3800.00000
0.02100 9.54200 0.35201 13.51999 3800.00000
0.01700 9.53500 0.35537 13.45685 3800.00000
0.01700 9.53500 0.35537 13.55955 3800.00000
0.01700 9.53500 0.35833 13.55955 3800.00000
0.01700 9.53500 0.35833 13.55955 3800.00000
0.02100 9.53500 0.35833 13.55955 3800.00000
0.02100 9.53500 0.36446 13.52744 3800.00000
0.02100 9.53500 0.35220 13.56520 3800.00000
0.02100 9.53500 0.35220 13.56520 3800.00000
0.02100 9.53500 0.35220 13.51991 3800.00000
0.02100 9.53500 0.35220 13.51991 3700.00000
0.02100 9.53500 0.34575 13.52010 3700.00000
0.02100 9.53500 0.34592 13.51728 3700.00000
0.02100 9.53500 0.34471 13.52769 3800.00000
0.02100 9.53500 0.34462 13.52769 4700.00000
0.02100 9.53500 0.34462 13.52476 3800.00000
0.02100 9.53500 0.34462 13.47656 3800.00000
0.02100 9.53500 0.34462 13.52226 3800.00000
0.02100 9.53500 0.34462 13.52226 3800.00000
0.02100 9.52000 0.34462 13.52752 3800.00000
0.02100 9.52000 0.34462 13.52752 3800.00000
0.02100 9.53500 0.34462 13.52763 3800.00000
0.02100 9.53500 0.34463 13.52763 2200.00000
0.02100 9.53500 0.34463 13.52090 2200.00000
0.02100 9.53500 0.34463 13.52090 6900.00000
0.02100 9.53500 0.34463 13.52261 6900.00000
0.02100 9.53500 0.34463 13.56093 3800.00000
0.02100 9.53500 0.34463 13.56093 3800.00000
0.02100 9.53500 0.34463 13.52261 3800.00000
0.02100 9.53500 0.34463 13.52261 3800.00000
0.02100 9.53500 0.34463 13.52261 3500.00000
0.02100 9.53500 0.34463 13.52261 3800.00000
0.02100 9.52700 0.34463 13.52261 3800.00000
0.02100 9.54200 0.34463 13.52431 3800.00000
0.02100 9.54200 0.34463 13.52881 3800.00000
0.02100 9.52700 0.34463 13.52945 3800.00000
0.02100 9.52700 0.34463 13.51999 3800.00000
0.02100 9.19000 0.34463 13.05828 3800.00000
0.02100 9.52000 0.34463 13.82333 4300.00000
0.02100 9.53500 0.34463 13.49731 4300.00000
0.02100 9.53500 0.34463 13.49731 4300.00000
0.02100 9.53500 0.34463 13.49731 3900.00000
0.02100 9.53500 0.35444 13.49731 3800.00000
0.02100 9.53500 0.35416 13.49731 4300.00000
0.02100 9.53500 0.35833 13.49731 3600.00000
0.02100 9.12200 0.35833 13.49731 4600.00000
0.02100 9.53500 0.35833 13.56335 3800.00000
0.02100 9.53500 0.35833 13.52888 3800.00000
0.02100 9.53500 0.34032 13.55898 4100.00000
0.02100 9.53500 0.35527 13.04058 4100.00000
0.02100 9.58700 0.35527 13.04058 4100.00000
0.02100 9.58700 0.34612 13.62261 4100.00000
0.02100 9.53500 0.33631 13.75937 4100.00000
0.02100 9.53500 0.36177 13.49923 2200.00000
0.01700 9.53500 0.34702 13.49923 2200.00000
0.01700 9.53500 0.34702 13.49923 2200.00000
0.01700 9.53500 0.34702 13.49923 3800.00000
0.01700 9.10700 0.35189 13.49923 2500.00000
