#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.6051 0.1825  0.0100  0.0522  0.8840   0.8840   -0.4867  3.6966   4.6091   5.9870  
11      20.7677 0.1622  0.0121  0.0566  0.8579   0.8579   -0.5449  3.6884   4.6217   6.1327  
12      20.6057 0.1859  0.0100  0.0522  0.8840   0.8840   -0.4867  3.6966   4.6091   5.9870  
13      20.4312 0.1440  0.0083  0.0482  0.9101   0.9101   -0.4285  3.7049   4.5966   5.8414  
14      20.5865 0.0850  0.0100  0.0522  0.8840   0.8840   -0.4867  3.6966   4.6091   5.9870  
15      19.9874 0.0989  0.0053  0.0390  0.9814   0.9814   -0.2730  3.7264   4.5605   5.4525  
16      20.4492 0.2491  0.0083  0.0482  0.9101   0.9101   -0.4285  3.7049   4.5966   5.8414  
17      19.8335 0.1252  0.0047  0.0361  1.0091   1.0091   -0.2151  3.7341   4.5453   5.3079  
18      20.1532 0.1248  0.0062  0.0422  0.9538   0.9538   -0.3318  3.7184   4.5751   5.5996  
19      20.2534 0.0748  0.0069  0.0444  0.9361   0.9361   -0.3703  3.7131   4.5840   5.6957  
110     19.9927 0.1373  0.0053  0.0390  0.9814   0.9814   -0.2730  3.7264   4.5605   5.4525  
111     19.5292 0.0945  0.0038  0.0313  1.0643   1.0643   -0.1028  3.7484   4.5134   5.0271  
112     19.5329 0.1255  0.0038  0.0313  1.0643   1.0643   -0.1028  3.7484   4.5134   5.0271  
113     19.6749 0.0815  0.0042  0.0336  1.0367   1.0367   -0.1581  3.7415   4.5297   5.1653  
114     19.5298 0.0997  0.0038  0.0313  1.0643   1.0643   -0.1028  3.7484   4.5134   5.0271  
115     19.7518 0.0849  0.0044  0.0348  1.0229   1.0229   -0.1866  3.7378   4.5375   5.2366  
116     18.8349 0.1102  0.0027  0.0224  1.2054   1.2054   0.1656   3.7800   4.4254   4.3559  
117     18.8959 0.1075  0.0027  0.0231  1.1915   1.1915   0.1411   3.7773   4.4340   4.4170  
118     18.8905 0.0616  0.0027  0.0231  1.1915   1.1915   0.1411   3.7773   4.4340   4.4170  
119     18.8872 0.0337  0.0027  0.0231  1.1915   1.1915   0.1411   3.7773   4.4340   4.4170  
120     18.7710 0.0884  0.0026  0.0218  1.2192   1.2192   0.1901   3.7828   4.4168   4.2949  
121     18.7648 0.0367  0.0026  0.0218  1.2192   1.2192   0.1901   3.7828   4.4168   4.2949  
122     18.5317 0.0502  0.0025  0.0195  1.2744   1.2744   0.2845   3.7933   4.3842   4.0592  
123     18.7087 0.0801  0.0026  0.0212  1.2330   1.2330   0.2146   3.7855   4.4083   4.2338  
124     18.3653 0.0741  0.0024  0.0180  1.3159   1.3159   0.3525   3.8008   4.3599   3.8891  
125     18.1422 0.0507  0.0023  0.0162  1.3740   1.3740   0.4405   3.8108   4.3307   3.6691  
126     18.3019 0.0193  0.0023  0.0175  1.3297   1.3297   0.3749   3.8032   4.3518   3.8330  
127     17.9516 0.0360  0.0022  0.0148  1.4261   1.4261   0.5160   3.8197   4.3073   3.4806  
128     17.9527 0.0431  0.0022  0.0148  1.4261   1.4261   0.5160   3.8197   4.3073   3.4806  
129     17.7473 0.0309  0.0022  0.0135  1.4846   1.4846   0.5981   3.8298   4.2826   3.2746  
130     17.4720 0.0104  0.0021  0.0119  1.5721   1.5721   0.7093   3.8457   4.2601   2.9970  
131     17.3930 0.0011  0.0021  0.0114  1.5981   1.5981   0.7411   3.8508   4.2557   2.9171  
132     17.1944 0.0099  0.0021  0.0104  1.6677   1.6677   0.8249   3.8648   4.2466   2.7077  
133     17.1470 -0.0137 0.0021  0.0102  1.6831   1.6831   0.8430   3.8680   4.2455   2.6624  
134     17.0576 -0.0166 0.0021  0.0098  1.7164   1.7165   0.8806   3.8750   4.2437   2.5685  
135     16.9277 -0.0216 0.0021  0.0092  1.7669   1.7669   0.9357   3.8852   4.2423   2.4306  
136     16.7439 -0.0219 0.0021  0.0085  1.8438   1.8438   1.0167   3.9002   4.2398   2.2282  
137     16.5580 -0.0371 0.0021  0.0078  1.9268   1.9269   1.0993   3.9150   4.2356   2.0217  
138     16.3551 -0.0475 0.0021  0.0071  2.0255   2.0255   1.1923   3.9310   4.2280   1.7893  
139     16.1231 -0.0569 0.0021  0.0064  2.1499   2.1499   1.3034   3.9491   4.2154   1.5113  
140     15.9598 -0.0584 0.0021  0.0060  2.2466   2.2466   1.3856   3.9619   4.2032   1.3061  
141     16.0042 -0.0632 0.0021  0.0061  2.2190   2.2190   1.3624   3.9583   4.2068   1.3642  
142     15.5484 -0.0700 0.0021  0.0050  2.5171   2.5172   1.6014   3.9935   4.1632   0.7663  
143     15.3232 -0.0777 0.0021  0.0045  2.6768   2.6768   1.7215   4.0100   4.1364   0.4663  
144     15.0571 -0.0755 0.0021  0.0041  2.8741   2.8741   1.8632   4.0279   4.0969   0.1123  
145     14.5635 -0.0805 0.0021  0.0033  3.2299   3.2299   2.1093   4.0532   4.0026   -0.5033 
146     13.1477 -0.0651 0.0021  0.0019  4.0045   4.0045   2.6392   4.0360   3.4970   -1.8285 
147     11.8863 0.3661  0.0021  0.0013  4.1311   4.1311   3.1954   3.5977   1.2014   -3.2183 
