#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.6898 0.1670  0.0110  0.0545  0.8645   0.8645   -0.5231  3.6925   4.6196   6.0776  
11      20.4887 0.1318  0.0088  0.0496  0.8944   0.8944   -0.4559  3.7023   4.6068   5.9095  
12      20.3981 0.1535  0.0080  0.0474  0.9093   0.9093   -0.4226  3.7070   4.5994   5.8264  
13      20.5051 0.2241  0.0088  0.0496  0.8944   0.8944   -0.4559  3.7023   4.6068   5.9095  
14      20.5812 0.1077  0.0099  0.0520  0.8794   0.8794   -0.4895  3.6974   4.6132   5.9936  
15      20.3223 0.2589  0.0072  0.0453  0.9243   0.9243   -0.3896  3.7115   4.5913   5.7439  
16      19.9504 0.1659  0.0051  0.0381  0.9841   0.9841   -0.2607  3.7290   4.5595   5.4219  
17      19.8610 0.1440  0.0048  0.0366  0.9991   0.9991   -0.2291  3.7332   4.5517   5.3429  
18      19.7794 0.1472  0.0045  0.0352  1.0140   1.0140   -0.1985  3.7372   4.5433   5.2665  
19      19.8569 0.1128  0.0048  0.0366  0.9991   0.9991   -0.2291  3.7332   4.5517   5.3429  
110     19.9513 0.1725  0.0051  0.0381  0.9841   0.9841   -0.2607  3.7290   4.5595   5.4219  
111     19.2945 0.0901  0.0033  0.0280  1.1037   1.1037   -0.0184  3.7597   4.4901   4.8161  
112     19.6138 0.1295  0.0040  0.0325  1.0439   1.0439   -0.1375  3.7451   4.5263   5.1140  
113     19.2962 0.1045  0.0033  0.0280  1.1037   1.1037   -0.0184  3.7597   4.4901   4.8161  
114     19.2971 0.1122  0.0033  0.0280  1.1037   1.1037   -0.0184  3.7597   4.4901   4.8161  
115     19.6182 0.1661  0.0040  0.0325  1.0439   1.0439   -0.1375  3.7451   4.5263   5.1140  
116     18.7916 0.0991  0.0026  0.0220  1.2084   1.2084   0.1780   3.7824   4.4237   4.3252  
117     19.0751 0.1287  0.0029  0.0251  1.1486   1.1486   0.0676   3.7699   4.4619   4.6007  
118     19.0728 0.1093  0.0029  0.0251  1.1486   1.1486   0.0676   3.7699   4.4619   4.6007  
119     19.0767 0.1426  0.0029  0.0251  1.1486   1.1486   0.0676   3.7699   4.4619   4.6007  
120     18.7902 0.0875  0.0026  0.0220  1.2084   1.2084   0.1780   3.7824   4.4237   4.3252  
121     18.6572 0.0562  0.0025  0.0207  1.2383   1.2383   0.2304   3.7883   4.4054   4.1942  
122     18.5353 0.0830  0.0025  0.0195  1.2682   1.2682   0.2810   3.7940   4.3881   4.0676  
123     18.6595 0.0746  0.0025  0.0207  1.2383   1.2383   0.2304   3.7883   4.4054   4.1942  
124     18.1727 0.0650  0.0023  0.0164  1.3579   1.3579   0.4253   3.8100   4.3376   3.7068  
125     18.2839 0.0193  0.0023  0.0174  1.3280   1.3280   0.3784   3.8048   4.3540   3.8239  
126     18.2293 0.0596  0.0023  0.0169  1.3430   1.3430   0.4024   3.8074   4.3453   3.7640  
127     17.9001 0.0402  0.0022  0.0145  1.4327   1.4327   0.5332   3.8230   4.3046   3.4369  
128     17.9019 0.0521  0.0022  0.0145  1.4327   1.4327   0.5332   3.8230   4.3046   3.4369  
129     17.9544 0.0537  0.0022  0.0148  1.4178   1.4178   0.5121   3.8204   4.3110   3.4895  
130     17.4595 0.0153  0.0021  0.0118  1.5673   1.5673   0.7111   3.8467   4.2607   2.9924  
131     17.4152 0.0172  0.0021  0.0116  1.5822   1.5822   0.7296   3.8495   4.2577   2.9460  
132     17.1988 -0.0064 0.0021  0.0105  1.6564   1.6564   0.8180   3.8650   4.2509   2.7246  
133     17.1151 0.0043  0.0021  0.0101  1.6883   1.6883   0.8545   3.8720   4.2509   2.6337  
134     16.8138 -0.0198 0.0021  0.0088  1.8079   1.8079   0.9837   3.8974   4.2528   2.3107  
135     16.9992 0.0042  0.0021  0.0095  1.7332   1.7332   0.9043   3.8818   4.2518   2.5091  
136     16.7604 -0.0270 0.0021  0.0086  1.8304   1.8304   1.0069   3.9017   4.2526   2.2532  
137     16.5791 -0.0308 0.0021  0.0079  1.9126   1.9126   1.0887   3.9169   4.2503   2.0482  
138     16.1946 -0.0587 0.0021  0.0066  2.1093   2.1093   1.2696   3.9482   4.2376   1.5958  
139     16.1197 -0.0537 0.0021  0.0064  2.1542   2.1542   1.3084   3.9547   4.2335   1.4991  
140     15.8391 -0.0641 0.0021  0.0057  2.3316   2.3316   1.4544   3.9778   4.2143   1.1340  
141     16.0244 -0.0490 0.0021  0.0062  2.2133   2.2133   1.3582   3.9627   4.2277   1.3745  
142     15.5465 -0.0677 0.0021  0.0050  2.5400   2.5401   1.6142   4.0019   4.1880   0.7345  
143     15.2198 -0.0698 0.0021  0.0043  2.7887   2.7887   1.7939   4.0274   4.1510   0.2855  
144     15.1192 -0.0725 0.0021  0.0042  2.8665   2.8665   1.8473   4.0344   4.1375   0.1515  
145     14.6072 -0.0815 0.0021  0.0034  3.2717   3.2717   2.1151   4.0662   4.0544   -0.5176 
146     13.6499 -0.0833 0.0021  0.0023  3.9467   3.9467   2.5433   4.0887   3.7977   -1.5878 
147     12.9796 -0.0709 0.0021  0.0018  4.2672   4.2672   2.7535   4.0617   3.5137   -2.1138 
