#ID           G   (G_BP-G_RP)   (iP1-zP1)   e_G   e_(G_BP-G_RP)   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      19.9039 1.5099  0.2044  0.0069  0.1020  0.0201  0.9045   0.9044   -0.3488  3.7115   4.5408   5.6420  
11      19.8896 1.2980  0.1626  0.0069  0.1020  0.0201  0.9045   0.9044   -0.3488  3.7115   4.5408   5.6420  
12      19.8892 1.2917  0.1613  0.0069  0.1020  0.0201  0.9045   0.9044   -0.3488  3.7115   4.5408   5.6420  
13      19.6841 1.2417  0.1495  0.0060  0.0916  0.0179  0.9330   0.9328   -0.2759  3.7212   4.5204   5.4601  
14      19.6680 1.4780  0.1954  0.0059  0.0900  0.0176  0.9377   0.9375   -0.2642  3.7227   4.5170   5.4308  
15      19.6637 1.4120  0.1825  0.0059  0.0900  0.0176  0.9377   0.9375   -0.2642  3.7227   4.5170   5.4308  
16      19.8042 1.3299  0.1679  0.0065  0.0973  0.0191  0.9168   0.9166   -0.3173  3.7157   4.5321   5.5635  
17      19.2886 1.1643  0.1328  0.0048  0.0742  0.0143  0.9905   0.9903   -0.1306  3.7387   4.4710   5.0962  
18      19.6290 1.3658  0.1733  0.0058  0.0885  0.0172  0.9423   0.9421   -0.2525  3.7242   4.5136   5.4015  
19      19.6860 1.2708  0.1552  0.0060  0.0916  0.0179  0.9330   0.9328   -0.2759  3.7212   4.5204   5.4601  
110     19.4570 1.2793  0.1557  0.0053  0.0809  0.0157  0.9666   0.9664   -0.1908  3.7317   4.4927   5.2471  
111     19.2933 1.2358  0.1466  0.0048  0.0742  0.0143  0.9905   0.9903   -0.1306  3.7387   4.4710   5.0962  
112     19.1791 1.2350  0.1450  0.0045  0.0697  0.0135  1.0078   1.0076   -0.0868  3.7434   4.4537   4.9876  
113     19.2388 1.2504  0.1488  0.0047  0.0720  0.0139  0.9989   0.9987   -0.1093  3.7410   4.4629   5.0436  
114     19.4550 1.2485  0.1497  0.0053  0.0809  0.0157  0.9666   0.9664   -0.1908  3.7317   4.4927   5.2471  
115     19.2378 1.2349  0.1458  0.0047  0.0720  0.0139  0.9989   0.9987   -0.1093  3.7410   4.4629   5.0436  
116     19.3468 1.2476  0.1491  0.0050  0.0763  0.0148  0.9826   0.9824   -0.1504  3.7364   4.4783   5.1456  
117     19.4549 1.2479  0.1496  0.0053  0.0809  0.0157  0.9666   0.9664   -0.1908  3.7317   4.4927   5.2471  
118     19.7173 1.2658  0.1544  0.0062  0.0931  0.0182  0.9284   0.9282   -0.2876  3.7196   4.5238   5.4894  
119     19.4138 1.2018  0.1405  0.0052  0.0793  0.0154  0.9722   0.9720   -0.1765  3.7334   4.4876   5.2113  
120     19.6573 1.3145  0.1635  0.0059  0.0900  0.0176  0.9377   0.9375   -0.2642  3.7227   4.5170   5.4308  
121     19.8042 1.3312  0.1681  0.0065  0.0973  0.0191  0.9168   0.9166   -0.3173  3.7157   4.5321   5.5635  
122     19.4642 1.3896  0.1770  0.0053  0.0809  0.0157  0.9666   0.9664   -0.1908  3.7317   4.4927   5.2471  
123     19.7194 1.2973  0.1606  0.0062  0.0931  0.0182  0.9284   0.9282   -0.2876  3.7196   4.5238   5.4894  
124     19.4551 1.2500  0.1500  0.0053  0.0809  0.0157  0.9666   0.9664   -0.1908  3.7317   4.4927   5.2471  
125     19.5988 1.3915  0.1781  0.0057  0.0870  0.0169  0.9470   0.9468   -0.2407  3.7257   4.5098   5.3721  
126     19.8065 1.3647  0.1747  0.0065  0.0973  0.0191  0.9168   0.9166   -0.3173  3.7157   4.5321   5.5635  
127     19.6555 1.2872  0.1582  0.0059  0.0900  0.0176  0.9377   0.9375   -0.2642  3.7227   4.5170   5.4308  
128     19.4912 1.2187  0.1441  0.0054  0.0826  0.0160  0.9609   0.9607   -0.2051  3.7300   4.4977   5.2830  
129     19.5855 1.1876  0.1385  0.0057  0.0870  0.0169  0.9470   0.9468   -0.2407  3.7257   4.5098   5.3721  
130     19.6871 1.2880  0.1586  0.0060  0.0916  0.0179  0.9330   0.9328   -0.2759  3.7212   4.5204   5.4601  
131     19.8165 1.5156  0.2044  0.0065  0.0973  0.0191  0.9168   0.9166   -0.3173  3.7157   4.5321   5.5635  
132     19.2168 1.2655  0.1514  0.0046  0.0711  0.0137  1.0024   1.0022   -0.1005  3.7419   4.4593   5.0217  
133     19.6256 1.3135  0.1631  0.0058  0.0885  0.0172  0.9423   0.9421   -0.2525  3.7242   4.5136   5.4015  
134     19.4886 1.1795  0.1365  0.0054  0.0826  0.0160  0.9609   0.9607   -0.2051  3.7300   4.4977   5.2830  
135     19.6203 1.2341  0.1477  0.0058  0.0885  0.0172  0.9423   0.9421   -0.2525  3.7242   4.5136   5.4015  
136     19.3795 1.2614  0.1519  0.0050  0.0777  0.0150  0.9779   0.9777   -0.1623  3.7350   4.4825   5.1755  
137     19.1770 1.2032  0.1388  0.0045  0.0697  0.0135  1.0078   1.0076   -0.0868  3.7434   4.4537   4.9876  
138     19.1745 1.1639  0.1312  0.0045  0.0697  0.0135  1.0078   1.0076   -0.0868  3.7434   4.4537   4.9876  
139     19.4955 1.2847  0.1569  0.0054  0.0826  0.0160  0.9609   0.9607   -0.2051  3.7300   4.4977   5.2830  
140     19.4526 1.2114  0.1425  0.0053  0.0809  0.0157  0.9666   0.9664   -0.1908  3.7317   4.4927   5.2471  
141     19.3283 1.3693  0.1725  0.0049  0.0752  0.0146  0.9865   0.9863   -0.1405  3.7376   4.4746   5.1209  
142     19.5180 1.1337  0.1277  0.0055  0.0841  0.0163  0.9562   0.9560   -0.2171  3.7286   4.5018   5.3129  
