#ID           G   (G_BP-G_RP)   (iP1-zP1)   e_G   e_(G_BP-G_RP)   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
143     18.4085 1.5799  0.3681  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
144     18.3722 1.6199  0.3744  0.0030  0.0499  0.0076  1.2855   1.2849   0.7251   3.7853   3.9150   2.9573  
145     18.3404 1.6881  0.3851  0.0029  0.0493  0.0075  1.2914   1.2907   0.7389   3.7823   3.8913   2.9231  
146     18.5938 1.5493  0.3630  0.0033  0.0538  0.0082  1.2497   1.2491   0.6375   3.7957   4.0320   3.1768  
147     18.5384 1.5961  0.3701  0.0032  0.0528  0.0080  1.2589   1.2583   0.6600   3.7937   4.0043   3.1198  
148     18.3691 1.5679  0.3665  0.0030  0.0499  0.0076  1.2855   1.2849   0.7251   3.7853   3.9150   2.9573  
149     18.4087 1.5844  0.3688  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
150     18.6339 1.4774  0.3515  0.0033  0.0546  0.0084  1.2431   1.2425   0.6198   3.7964   4.0500   3.2207  
151     18.4170 1.7235  0.3899  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
152     18.3253 1.6870  0.3859  0.0029  0.0491  0.0075  1.2954   1.2947   0.7451   3.7787   3.8717   2.9073  
153     18.6841 1.5709  0.3654  0.0034  0.0554  0.0085  1.2365   1.2360   0.6021   3.7970   4.0679   3.2646  
154     18.5349 1.5372  0.3611  0.0032  0.0528  0.0080  1.2589   1.2583   0.6600   3.7937   4.0043   3.1198  
155     18.3478 1.7335  0.3972  0.0029  0.0495  0.0075  1.3053   1.3045   0.7403   3.7627   3.8161   2.9192  
156     18.4117 1.6341  0.3763  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
157     18.3761 1.6867  0.3846  0.0030  0.0499  0.0076  1.2855   1.2849   0.7251   3.7853   3.9150   2.9573  
158     18.4175 1.7323  0.3913  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
159     18.4665 1.5808  0.3680  0.0031  0.0516  0.0078  1.2702   1.2696   0.6877   3.7910   3.9697   3.0505  
160     18.4642 1.5423  0.3621  0.0031  0.0516  0.0078  1.2702   1.2696   0.6877   3.7910   3.9697   3.0505  
161     18.8546 1.5090  0.3555  0.0037  0.0586  0.0091  1.2124   1.2118   0.5328   3.7973   4.1298   3.4382  
162     18.5395 1.6144  0.3728  0.0032  0.0528  0.0080  1.2589   1.2583   0.6600   3.7937   4.0043   3.1198  
163     18.3369 1.6284  0.3760  0.0029  0.0493  0.0075  1.2914   1.2907   0.7389   3.7823   3.8913   2.9231  
164     18.4675 1.5981  0.3706  0.0031  0.0516  0.0078  1.2702   1.2696   0.6877   3.7910   3.9697   3.0505  
165     18.5846 1.5428  0.3618  0.0032  0.0537  0.0082  1.2511   1.2504   0.6408   3.7955   4.0284   3.1681  
166     18.3403 1.6859  0.3848  0.0029  0.0493  0.0075  1.2914   1.2907   0.7389   3.7823   3.8913   2.9231  
167     18.3735 1.6433  0.3780  0.0030  0.0499  0.0076  1.2855   1.2849   0.7251   3.7853   3.9150   2.9573  
168     18.6408 1.5910  0.3689  0.0033  0.0546  0.0084  1.2431   1.2425   0.6198   3.7964   4.0500   3.2207  
169     18.3405 1.6886  0.3852  0.0029  0.0493  0.0075  1.2914   1.2907   0.7389   3.7823   3.8913   2.9231  
170     18.5977 1.6141  0.3729  0.0033  0.0538  0.0082  1.2497   1.2491   0.6375   3.7957   4.0320   3.1768  
171     18.4100 1.6063  0.3721  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
172     18.5879 1.5979  0.3702  0.0032  0.0537  0.0082  1.2511   1.2504   0.6408   3.7955   4.0284   3.1681  
173     18.4141 1.6752  0.3826  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
174     18.7656 1.5725  0.3654  0.0035  0.0569  0.0088  1.2252   1.2246   0.5697   3.7972   4.0971   3.3456  
175     18.8550 1.5165  0.3566  0.0037  0.0586  0.0091  1.2124   1.2118   0.5328   3.7973   4.1298   3.4382  
176     18.3257 1.6925  0.3867  0.0029  0.0491  0.0075  1.2954   1.2947   0.7451   3.7787   3.8717   2.9073  
177     18.6420 1.6105  0.3719  0.0033  0.0546  0.0084  1.2431   1.2425   0.6198   3.7964   4.0500   3.2207  
178     18.5795 1.4581  0.3489  0.0032  0.0537  0.0082  1.2511   1.2504   0.6408   3.7955   4.0284   3.1681  
179     18.3533 1.8261  0.4113  0.0029  0.0495  0.0075  1.3053   1.3045   0.7403   3.7627   3.8161   2.9192  
180     18.5344 1.5299  0.3600  0.0032  0.0528  0.0080  1.2589   1.2583   0.6600   3.7937   4.0043   3.1198  
181     18.4150 1.6904  0.3849  0.0030  0.0506  0.0077  1.2794   1.2788   0.7103   3.7882   3.9392   2.9942  
182     16.1290 2.2825  0.5426  0.0021  0.0164  0.0049  1.3531   1.3514   1.7343   3.6546   2.4049   0.4338  
183     18.0218 2.0898  0.4857  0.0026  0.0439  0.0068  1.3342   1.3334   0.9231   3.6928   3.3634   2.4619  
184     17.7550 2.0627  0.4839  0.0024  0.0396  0.0063  1.3383   1.3374   1.0335   3.6890   3.2389   2.1866  
185     16.0365 2.1560  0.5102  0.0021  0.0153  0.0048  1.3661   1.3360   1.7417   3.6733   2.4675   0.4155  
186     18.1832 2.1050  0.4871  0.0027  0.0466  0.0071  1.3313   1.3305   0.8568   3.6950   3.4372   2.6281  
187     18.5402 2.0452  0.4729  0.0032  0.0528  0.0080  1.3233   1.3225   0.7059   3.7019   3.6133   3.0052  
188     16.0090 2.1530  0.5085  0.0020  0.0149  0.0048  1.3670   1.3368   1.7533   3.6725   2.4527   0.3867  
189     18.6103 1.9052  0.4500  0.0033  0.0542  0.0083  1.3209   1.3201   0.6716   3.7054   3.6605   3.0910  
190     17.3023 2.0755  0.4897  0.0023  0.0327  0.0057  1.3435   1.3425   1.2234   3.6812   3.0194   1.7119  
191     18.6209 2.0803  0.4767  0.0033  0.0542  0.0083  1.3209   1.3201   0.6716   3.7054   3.6605   3.0910  
192     15.8309 2.2124  0.5239  0.0020  0.0127  0.0047  1.3689   1.3385   1.8361   3.6651   2.3412   0.1795  
193     18.6477 2.0183  0.4586  0.0033  0.0546  0.0084  1.3152   1.3145   0.6464   3.7218   3.7494   3.1537  
194     17.3048 2.1122  0.4962  0.0023  0.0327  0.0057  1.3435   1.3425   1.2234   3.6812   3.0194   1.7119  
195     18.5413 2.0634  0.4757  0.0032  0.0528  0.0080  1.3233   1.3225   0.7059   3.7019   3.6133   3.0052  
196     16.0500 2.1954  0.5213  0.0021  0.0154  0.0048  1.3590   1.3292   1.7424   3.6696   2.4497   0.4142  
197     16.0529 2.1564  0.5093  0.0021  0.0155  0.0048  1.3652   1.3351   1.7348   3.6737   2.4755   0.4331  
198     17.9115 1.9993  0.4722  0.0025  0.0422  0.0066  1.3359   1.3351   0.9665   3.6914   3.3147   2.3540  
199     18.0241 2.1289  0.4917  0.0026  0.0439  0.0068  1.3342   1.3334   0.9231   3.6928   3.3634   2.4619  
1100    18.4973 2.0701  0.4775  0.0031  0.0520  0.0079  1.3245   1.3237   0.7249   3.7005   3.5892   2.9578  
1101    18.6605 1.9426  0.4531  0.0034  0.0550  0.0084  1.3185   1.3178   0.6478   3.7106   3.7042   3.1507  
1102    18.5361 1.9760  0.4624  0.0032  0.0528  0.0080  1.3233   1.3225   0.7059   3.7019   3.6133   3.0052  
1103    16.3930 2.2166  0.5248  0.0021  0.0199  0.0050  1.3518   1.3504   1.6165   3.6616   2.5505   0.7286  
1104    18.5402 1.9170  0.4363  0.0032  0.0528  0.0080  1.3121   1.3113   0.6782   3.7363   3.7748   3.0745  
1105    15.0642 2.4085  0.5729  0.0020  0.0038  0.0045  1.3697   1.3389   2.1972   3.6345   1.8575   -0.7231 
1106    16.0560 2.1452  0.5068  0.0021  0.0155  0.0048  1.3647   1.3346   1.7328   3.6737   2.4775   0.4385  
1107    17.6048 2.1133  0.4933  0.0024  0.0372  0.0061  1.3403   1.3394   1.0976   3.6866   3.1655   2.0261  
1108    16.0013 2.1809  0.5173  0.0020  0.0148  0.0048  1.3673   1.3371   1.7583   3.6721   2.4461   0.3745  
1109    18.5919 1.8574  0.4310  0.0032  0.0538  0.0082  1.3135   1.3128   0.6602   3.7292   3.7648   3.1197  
1110    16.9329 2.1617  0.5089  0.0022  0.0272  0.0054  1.3466   1.3455   1.3829   3.6736   2.8306   1.3129  
1111    17.9702 2.1039  0.4882  0.0026  0.0431  0.0067  1.3351   1.3342   0.9448   3.6921   3.3390   2.4079  
