metal log(age) E_BV dm
0.00300 9.45250 0.36085 13.00253
0.00300 9.45250 0.36085 13.00253
0.00300 9.45250 0.36085 13.00253
0.00300 9.45250 0.36085 13.00253
0.00300 9.45250 0.36085 13.00253
0.00300 9.45250 0.36085 13.00253
0.00300 9.45250 0.36097 13.00227
0.00300 9.45250 0.36097 13.00227
0.00300 9.45250 0.36097 13.00227
0.00300 9.45250 0.36167 13.00007
0.00300 9.45250 0.36158 13.00017
0.00300 9.45250 0.36158 13.00017
0.00700 9.48250 0.30363 13.24145
0.00700 9.48250 0.29418 13.26573
0.00700 9.48250 0.30125 13.24830
0.00700 9.48250 0.29840 13.25539
0.00700 9.48250 0.30140 13.24722
0.00700 9.48250 0.29719 13.25808
0.00700 9.48250 0.30195 13.24605
0.00700 9.48250 0.30095 13.24912
0.00700 9.48250 0.30457 13.23988
0.00700 9.48250 0.29840 13.25546
0.00700 9.48250 0.30203 13.24574
0.00700 9.48250 0.30138 13.24755
0.00700 9.48250 0.30363 13.24165
0.00700 9.48250 0.30217 13.24594
0.00300 9.45250 0.36119 13.00010
0.00300 9.45250 0.36119 13.00010
0.00300 9.45250 0.36119 13.00010
0.00300 9.45250 0.36119 13.00010
0.00300 9.45250 0.36107 13.00012
0.00300 9.45250 0.36107 13.00012
0.00300 9.45250 0.36107 13.00012
0.00300 9.45250 0.36107 13.00012
0.00300 9.45250 0.36107 13.00012
0.00300 9.45250 0.36165 13.00010
0.00300 9.45250 0.36165 13.00010
0.00300 9.45250 0.36056 13.00209
0.00300 9.45250 0.36056 13.00209
0.00300 9.45250 0.36056 13.00209
0.00300 9.45250 0.36056 13.00209
0.00300 9.45250 0.36072 13.00183
0.00300 9.45250 0.36083 13.00191
0.00300 9.45250 0.36083 13.00191
0.00300 9.45250 0.36083 13.00191
0.00700 9.48250 0.30674 13.23361
0.00700 9.48250 0.29766 13.25737
0.00700 9.48250 0.29782 13.25708
0.00700 9.48250 0.30438 13.23960
0.00700 9.48250 0.29796 13.25612
0.00300 9.45250 0.36126 13.00087
0.00300 9.45250 0.36126 13.00087
0.00300 9.45250 0.36126 13.00087
0.00300 9.45250 0.36126 13.00087
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36168 13.00029
0.00300 9.45250 0.36165 13.00032
0.00300 9.45250 0.36165 13.00034
0.00300 9.45250 0.36165 13.00034
0.00700 9.48250 0.29430 13.26625
0.00700 9.48250 0.29722 13.25847
0.00700 9.48250 0.29797 13.25626
0.00300 9.45250 0.36153 13.00000
0.00300 9.45250 0.36153 13.00000
0.00300 9.45250 0.36072 13.00213
0.00300 9.45250 0.36125 13.00088
0.00300 9.45250 0.36125 13.00088
0.00300 9.45250 0.36152 13.00088
0.00300 9.45250 0.36152 13.00088
0.00300 9.45250 0.36152 13.00088
0.00300 9.45250 0.36169 13.00047
0.00700 9.48250 0.29825 13.25578
0.00700 9.48250 0.29791 13.25597
0.00700 9.48250 0.29702 13.25832
0.00700 9.48250 0.30242 13.24469
0.00700 9.48250 0.30580 13.15168
0.00700 9.48250 0.30319 13.16321
0.00300 9.45250 0.36154 13.00024
0.00300 9.45250 0.36067 13.00148
0.00300 9.45250 0.36067 13.00148
0.00300 9.45250 0.36067 13.00148
0.00300 9.45250 0.36067 13.00148
0.00300 9.45250 0.36067 13.00148
0.00300 9.45250 0.36067 13.00148
0.00700 9.48250 0.30287 13.24374
0.00700 9.48250 0.29920 13.25350
0.00700 9.48250 0.30567 13.23617
0.00700 9.48250 0.29600 13.26090
0.00700 9.48250 0.29551 13.26219
0.00700 9.48250 0.29848 13.25493
0.00700 9.48250 0.30100 13.24865
0.00700 9.48250 0.29504 13.26404
0.00700 9.48250 0.30777 13.23058
0.00700 9.48250 0.30043 13.25016
0.00700 9.48250 0.29811 13.25544
0.00700 9.48250 0.29937 13.25265
0.00300 9.45250 0.36102 13.00088
0.00700 9.48250 0.29390 13.26668
0.00700 9.48250 0.29923 13.25318
0.00700 9.48250 0.30433 13.23949
0.00300 9.45250 0.36174 13.00004
0.00300 9.45250 0.36106 13.00030
0.00300 9.45250 0.36106 13.00030
0.00300 9.45250 0.36106 13.00030
0.00300 9.45250 0.36106 13.00030
0.00300 9.45250 0.36106 13.00030
0.00300 9.45250 0.36106 13.00030
0.00700 9.48250 0.30153 13.24682
0.00700 9.48250 0.29972 13.25193
0.00700 9.48250 0.30049 13.24977
0.00700 9.48250 0.31317 13.06293
0.00700 9.48250 0.29818 13.25532
