#ID           G   (G_BP-G_RP)   (iP1-zP1)   e_G   e_(G_BP-G_RP)   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      18.3427 1.0548  0.1571  0.0028  0.0566  0.0121  0.9732   0.9729   0.1356   3.8000   4.4427   4.4309  
11      18.1974 0.9573  0.1364  0.0027  0.0544  0.0113  0.9952   0.9950   0.1923   3.8051   4.4158   4.2893  
12      18.3967 0.9543  0.1356  0.0029  0.0575  0.0124  0.9639   0.9636   0.1116   3.7979   4.4537   4.4912  
13      18.2300 0.9626  0.1374  0.0027  0.0549  0.0115  0.9902   0.9899   0.1793   3.8039   4.4220   4.3219  
14      18.4780 1.0597  0.1588  0.0029  0.0587  0.0129  0.9519   0.9517   0.0806   3.7950   4.4680   4.5689  
15      18.1645 0.9433  0.1336  0.0027  0.0539  0.0112  1.0003   1.0000   0.2053   3.8062   4.4096   4.2569  
16      18.2808 0.9035  0.1249  0.0028  0.0558  0.0118  0.9818   0.9815   0.1576   3.8020   4.4323   4.3760  
17      18.4012 1.0440  0.1550  0.0029  0.0575  0.0124  0.9639   0.9636   0.1116   3.7979   4.4537   4.4912  
18      18.4012 1.0453  0.1553  0.0029  0.0575  0.0124  0.9639   0.9636   0.1116   3.7979   4.4537   4.4912  
19      18.3359 0.9168  0.1276  0.0028  0.0566  0.0121  0.9732   0.9729   0.1356   3.8000   4.4427   4.4309  
110     17.9564 0.9430  0.1324  0.0026  0.0507  0.0102  1.0333   1.0329   0.2894   3.8135   4.3687   4.0466  
111     17.7693 0.8926  0.1215  0.0025  0.0479  0.0094  1.0627   1.0623   0.3639   3.8198   4.3314   3.8599  
112     17.7290 0.8975  0.1223  0.0025  0.0473  0.0092  1.0692   1.0688   0.3803   3.8212   4.3231   3.8190  
113     17.4900 0.9498  0.1305  0.0025  0.0436  0.0084  1.1082   1.1078   0.4780   3.8288   4.2715   3.5752  
114     17.5078 0.8990  0.1210  0.0025  0.0440  0.0084  1.1048   1.1044   0.4698   3.8282   4.2760   3.5959  
115     17.5306 0.9967  0.1402  0.0025  0.0442  0.0085  1.1020   1.1016   0.4628   3.8276   4.2797   3.6130  
116     17.5446 0.9373  0.1291  0.0025  0.0445  0.0085  1.0992   1.0988   0.4558   3.8270   4.2834   3.6303  
117     17.7709 0.9242  0.1276  0.0025  0.0479  0.0094  1.0627   1.0623   0.3639   3.8198   4.3314   3.8599  
118     17.7782 1.0606  0.1544  0.0025  0.0479  0.0094  1.0627   1.0623   0.3639   3.8198   4.3314   3.8599  
119     17.6127 0.8784  0.1184  0.0025  0.0456  0.0088  1.0877   1.0873   0.4269   3.8249   4.2989   3.7029  
120     17.8523 1.0076  0.1454  0.0026  0.0491  0.0097  1.0504   1.0501   0.3329   3.8171   4.3467   3.9381  
121     17.9594 1.0011  0.1441  0.0026  0.0507  0.0102  1.0333   1.0329   0.2894   3.8135   4.3687   4.0466  
122     17.6157 0.9335  0.1291  0.0025  0.0456  0.0088  1.0877   1.0873   0.4269   3.8249   4.2989   3.7029  
123     17.7704 0.9140  0.1256  0.0025  0.0479  0.0094  1.0627   1.0623   0.3639   3.8198   4.3314   3.8599  
124     17.6455 0.8117  0.1060  0.0025  0.0461  0.0089  1.0818   1.0815   0.4123   3.8237   4.3067   3.7396  
125     17.5299 0.9837  0.1377  0.0025  0.0442  0.0085  1.1020   1.1016   0.4628   3.8276   4.2797   3.6130  
126     16.9803 0.9146  0.1234  0.0024  0.0361  0.0069  1.2025   1.2019   0.6802   3.8325   4.1198   3.0698  
127     17.4655 0.9605  0.1327  0.0025  0.0433  0.0083  1.1124   1.1119   0.4882   3.8295   4.2658   3.5495  
128     17.1080 0.8881  0.1180  0.0024  0.0380  0.0072  1.1776   1.1770   0.6290   3.8331   4.1639   3.1975  
129     17.2552 0.8754  0.1151  0.0024  0.0402  0.0076  1.1489   1.1484   0.5704   3.8335   4.2135   3.3438  
130     17.3925 0.8994  0.1205  0.0024  0.0422  0.0081  1.1243   1.1238   0.5162   3.8312   4.2493   3.4792  
131     16.9946 0.8787  0.1166  0.0024  0.0364  0.0070  1.1994   1.1988   0.6737   3.8327   4.1260   3.0861  
132     17.1055 0.8496  0.1107  0.0024  0.0380  0.0072  1.1776   1.1770   0.6290   3.8331   4.1639   3.1975  
133     17.1022 0.7970  0.1007  0.0024  0.0380  0.0072  1.1776   1.1770   0.6290   3.8331   4.1639   3.1975  
134     17.1085 0.8956  0.1194  0.0024  0.0380  0.0072  1.1776   1.1770   0.6290   3.8331   4.1639   3.1975  
135     17.2561 0.8909  0.1180  0.0024  0.0402  0.0076  1.1489   1.1484   0.5704   3.8335   4.2135   3.3438  
136     16.9640 0.8804  0.1167  0.0024  0.0359  0.0069  1.2051   1.2044   0.6856   3.8323   4.1144   3.0563  
137     17.1100 0.9204  0.1242  0.0024  0.0380  0.0072  1.1776   1.1770   0.6290   3.8331   4.1639   3.1975  
