metal log(age) E_BV dm mass
0.04729 8.92071 0.25885 13.34881 1246.09395
0.04729 9.04796 0.24080 13.34881 622.43113
0.04068 8.80754 0.24080 13.57292 622.43113
0.01564 9.03524 0.23633 13.26474 1053.07848
0.04763 8.68518 0.24857 13.34034 611.80243
0.01371 9.14570 0.24247 13.01955 586.78509
0.04084 8.80759 0.26135 13.82209 586.78509
0.04068 8.98923 0.29755 13.57292 1103.80843
0.03936 8.65516 0.29755 13.52918 606.83201
0.03475 8.80715 0.24358 13.63742 807.67376
0.05264 8.96010 0.24343 13.31839 945.00905
0.01456 8.96010 0.24885 13.22425 968.93439
0.04592 8.81786 0.30496 13.77205 906.25013
0.02895 8.59648 0.30086 13.67562 1072.00698
0.05598 8.68518 0.30086 13.63718 1231.63415
0.02253 8.70977 0.27691 13.42461 1000.74790
0.04982 8.88592 0.27691 13.59321 1114.39753
0.04754 9.03118 0.26080 13.35437 1014.58351
0.02235 8.65443 0.26080 13.43008 737.54255
0.01818 9.17426 0.26080 13.29941 1156.34479
0.04264 8.75184 0.24019 13.57772 1000.02310
0.02118 8.78615 0.29761 13.46254 1079.01354
0.02118 9.08913 0.26137 13.46254 1193.26112
0.03246 9.01826 0.26188 13.38567 1106.12259
0.04832 8.95325 0.23470 13.76337 1194.71660
0.01169 8.97473 0.26825 13.39620 1145.69234
0.03514 8.83907 0.26809 13.78258 607.42591
0.05867 8.80854 0.22063 13.54805 1185.42965
0.02534 8.75125 0.24561 13.26556 1236.26160
0.02534 7.86495 0.29855 13.26556 699.08258
0.05389 9.03083 0.26205 13.62465 1000.71821
0.05096 8.71372 0.26096 13.34172 1042.43629
0.04001 9.01064 0.27691 13.58159 1133.08606
0.02534 8.81190 0.30201 13.26556 813.28173
0.03414 8.78388 0.30201 13.33313 1016.09746
0.01734 8.56535 0.26415 13.25747 1097.39862
0.03181 9.05860 0.24342 13.37901 1097.39862
0.03181 8.85696 0.24342 13.37901 1043.77793
0.03181 8.78543 0.25517 13.37901 1068.16751
0.01350 8.74214 0.23470 13.33254 1068.45652
0.01350 8.97982 0.26111 13.33254 1068.45652
0.04617 8.72533 0.26205 13.77271 1225.37074
0.04339 8.99574 0.26205 13.30542 976.20670
0.04756 8.80720 0.26305 13.76552 1119.12308
0.04210 8.80720 0.26305 13.57941 1046.40072
0.05656 8.76025 0.29803 13.58377 1160.86728
0.04229 8.73582 0.30007 13.60046 617.95969
0.01377 8.88217 0.26127 13.02565 1208.66522
0.01717 8.88217 0.24358 12.94659 841.06455
0.03491 8.78553 0.25672 13.64758 974.13901
0.05438 8.72583 0.24195 13.52538 1161.13697
0.04308 8.76906 0.21788 13.56330 954.79858
0.03870 8.61645 0.26272 13.35319 988.75491
0.05404 9.02974 0.29776 13.60807 1148.03103
0.03698 8.82239 0.29809 13.94923 716.26370
0.04958 8.89142 0.26817 13.33783 554.21625
0.01300 8.53690 0.26343 13.01203 1110.58902
0.05863 8.78888 0.26529 13.54789 957.78528
0.05687 8.78105 0.25004 13.77793 957.78528
0.04001 9.09950 0.25977 13.58583 1193.26112
0.04005 8.68625 0.25977 13.58158 1193.26112
0.04475 8.80907 0.30496 13.43104 1107.94669
0.04419 8.78543 0.29673 13.84234 1212.64439
0.04097 9.15477 0.29590 13.57584 952.02655
0.04097 8.78730 0.22871 13.57584 952.02655
0.03755 8.59695 0.26261 13.74632 1028.60967
0.04762 9.00808 0.26261 13.34205 982.51091
0.04725 8.61387 0.29840 13.35380 653.64995
0.04725 8.70944 0.26864 13.35380 1050.54206
0.03414 8.65032 0.26864 13.33313 963.61883
0.01748 8.97466 0.25889 13.55472 963.61883
0.01371 8.65324 0.29802 13.01955 1245.79903
0.01450 8.65324 0.29802 13.26875 1155.68036
0.04541 9.13382 0.25453 13.58293 1059.38746
0.01187 8.83017 0.25963 13.14477 1193.26112
0.05498 8.70820 0.29561 13.56239 1193.26112
0.04861 9.00808 0.17438 13.35680 1053.06174
0.04738 8.98586 0.28230 13.61479 1053.06174
0.01919 8.81083 0.29421 13.25423 1053.06174
0.01919 8.79310 0.24350 13.25423 1029.86919
0.03395 8.80913 0.21555 13.77119 1124.32590
0.03887 9.00281 0.26588 13.74708 976.79518
0.04877 8.76365 0.26326 13.35855 985.90025
0.02987 8.86266 0.29761 13.69520 1231.63415
0.01792 9.15289 0.24344 13.15478 619.72898
0.01763 8.83142 0.25672 13.55184 1155.50241
0.04542 8.83142 0.24364 13.57817 975.91794
0.03822 8.82520 0.25222 13.30306 999.35882
0.04167 9.04386 0.26578 13.58286 1008.79181
0.05420 8.72914 0.26135 13.73499 1104.42023
0.03716 8.78672 0.29518 13.76274 1005.69823
0.03716 8.78672 0.24040 13.76274 1209.51544
0.03716 8.78672 0.26300 13.76274 953.66879
0.03716 9.11359 0.19462 13.76274 1044.20178
0.03716 8.75394 0.26809 13.76274 1044.20178
0.03870 8.88264 0.26809 13.35319 1032.09303
0.03870 8.59655 0.24882 13.35319 1116.74178
0.04608 8.92103 0.24274 13.77350 1092.68364
0.04608 9.02871 0.24784 13.77350 642.39939
0.01792 8.92279 0.25768 13.15478 1037.45429
0.01792 8.92279 0.29718 13.15478 978.74429
0.01734 8.80819 0.25394 13.25747 627.61606
0.04253 8.97808 0.21886 13.75392 720.84030
0.03699 8.98961 0.25146 13.12768 649.19286
0.04309 8.90828 0.25771 13.30674 1178.68991
0.04608 9.03544 0.25771 13.77350 1065.04826
0.03716 9.12003 0.24355 13.76274 1140.70387
0.02246 8.72630 0.26472 13.41929 1140.70387
0.04399 8.85307 0.21532 13.61928 1120.38393
0.01876 8.98308 0.26557 12.93455 1079.72645
0.04473 8.98308 0.24817 13.60491 1079.72645
0.00819 8.83986 0.26083 12.95596 988.92699
0.05616 8.75384 0.26800 13.58701 1114.39753
0.05616 8.75384 0.26800 13.58701 973.85790
0.01612 8.89057 0.26800 12.99627 996.71200
0.02536 9.00538 0.22665 13.26496 964.91379
0.02536 8.95548 0.26831 13.26496 959.14990
0.01301 8.83804 0.25423 13.26770 634.79327
0.01107 9.03041 0.26130 13.13998 1289.97912
0.04541 9.17817 0.24355 13.63073 1101.65561
0.02437 8.93652 0.24355 13.61947 1101.65561
0.03890 8.93652 0.26803 13.33413 1233.48691
0.03717 8.90082 0.29421 13.33097 987.06133
0.01160 8.60876 0.29059 13.14905 1049.37284
0.01748 9.02642 0.26801 13.55472 1212.64439
0.04754 9.03055 0.24519 13.35437 1236.26487
0.05089 8.83580 0.29558 13.75262 985.63946
0.02164 9.05062 0.24320 13.46523 1293.45756
0.00759 9.05062 0.24320 13.02712 1001.17538
0.02267 9.00281 0.24320 13.71118 1239.69761
0.04192 8.59655 0.26401 13.57976 984.07636
0.01351 9.03120 0.26943 13.28746 997.68506
0.01815 8.80890 0.26943 13.17103 952.02655
0.02246 8.78553 0.23975 13.41929 1045.40631
0.01413 8.62033 0.23975 13.27304 1143.60499
0.04501 8.77157 0.26526 13.61920 1089.01348
0.04501 8.78357 0.26723 13.61920 1155.35881
0.04501 9.03274 0.22485 13.61920 1155.35881
0.04221 8.59695 0.29610 13.74418 1046.12225
0.05498 8.77371 0.29610 13.56239 1203.89980
0.02875 9.13167 0.28310 13.61492 1050.54206
0.05417 9.03041 0.29371 13.59612 1313.23022
0.03591 9.03041 0.23958 13.64855 1184.61976
0.03591 9.03041 0.22498 13.64855 1184.61976
0.04539 9.03041 0.30486 13.58266 986.32270
0.03212 8.72222 0.24757 13.81494 1008.57459
0.05103 8.72812 0.28012 13.34779 957.80515
0.03403 9.13707 0.26322 13.64149 1209.81770
0.02235 9.09597 0.25612 13.43008 591.95947
0.00219 9.19139 0.25814 12.85897 1195.43525
0.03689 8.92443 0.29196 13.34897 1195.43525
0.04316 8.83009 0.26406 13.57682 1025.22717
0.01751 8.75339 0.29512 13.22598 1025.22717
0.04471 8.59695 0.29833 13.65268 740.63428
0.05269 8.59695 0.26735 13.31669 886.75485
0.05233 9.14570 0.26401 13.54026 1203.19546
0.05602 9.17228 0.27084 13.59077 983.67524
0.03930 9.17812 0.29065 13.55482 968.03722
0.02987 8.71128 0.24388 13.67274 1069.56011
0.05420 8.72812 0.29518 13.73481 648.77952
0.03856 8.65322 0.29571 13.78816 1155.35881
0.05770 8.65322 0.22319 13.58431 553.56694
0.03906 8.65322 0.22319 13.33882 913.71692
0.01506 9.52854 0.29754 13.28545 913.71692
0.01521 9.09680 0.29754 13.29075 1024.87969
0.02123 8.78960 0.29432 13.49891 1014.29160
0.02939 9.12854 0.25653 13.67510 1034.87229
0.03874 8.80766 0.26526 13.54263 1161.61656
0.02981 8.94567 0.25976 13.78902 1164.42746
0.01300 8.79310 0.27517 13.01203 642.78314
0.02244 8.27812 0.26227 13.43107 882.37460
0.02244 8.98310 0.29756 13.43107 1040.37481
0.04768 8.86798 0.24695 13.35381 1044.17207
0.01548 8.84008 0.26809 13.28211 724.12190
0.03291 8.84008 0.26252 13.38248 1225.37074
0.03291 8.76161 0.29756 13.38248 1209.42181
0.03585 8.76161 0.25308 13.64764 1048.55854
0.05770 9.17817 0.24115 13.58431 1129.39754
0.04501 8.83023 0.24510 13.61920 1040.86377
0.03458 8.80315 0.29584 13.65569 987.88409
0.03456 8.76025 0.23297 13.36361 1230.41498
0.01379 8.58291 0.22381 13.02458 1196.50781
0.04256 8.76467 0.26515 13.75273 1008.51944
0.03029 8.72801 0.22978 13.80087 1106.94316
0.04129 8.91837 0.29508 13.77389 1201.68606
0.01555 8.76213 0.29933 13.26358 970.78551
0.05457 8.59058 0.26802 13.61880 987.03621
0.02982 8.80531 0.26597 13.69581 1016.05874
0.05483 9.13154 0.29962 13.60223 1018.90378
0.05075 9.04988 0.29599 13.75243 963.51303
0.01189 8.96333 0.24646 13.39594 977.30959
0.03703 8.36156 0.23470 13.32756 1018.86993
0.03770 8.63586 0.29512 13.55240 1134.31745
0.03813 8.63586 0.26406 13.55139 1226.96709
0.04505 8.80517 0.28577 13.77061 1151.99160
0.03844 8.72914 0.26695 13.78618 1098.11080
0.02164 9.06004 0.24757 13.46523 1115.44428
0.04192 8.94759 0.29756 13.57976 813.28173
0.04192 8.99091 0.26322 13.57976 1048.55854
0.05061 8.97584 0.25611 13.75313 951.88318
0.03870 8.59420 0.26253 13.35319 951.88318
