ID,x,y,mag1,e_mag,col1,e_col1,MP,sel
Gaia DR2 5605737369953346688,0.014171,0.042477,18.493762696474597,0.006692914295010319,1.052376689979404,0.021650330470454643,0.122,0
Gaia DR2 5605642988055142912,-0.008153,-0.036227,15.966084813548267,0.0018958553805602707,0.855746888833508,0.0057201612980454,0.12,0
Gaia DR2 5605736893209668736,0.031724,-0.014452,17.94786353663399,0.002342030589981497,1.070597598538221,0.01938361755987698,0.12,0
Gaia DR2 5605643194213573376,-0.01861,-0.016787,18.099525443627112,0.00239833785114614,1.3038290641074148,0.02063391449798457,0.12,0
Gaia DR2 5605737095075390976,0.035801,0.017063,18.575034618625633,0.0027657529412723463,1.1844163037094297,0.03269553007281031,0.12,0
Gaia DR2 5605737266874127616,0.01065,0.039245,18.650452134083302,0.0027666359336428,1.5667928632292387,0.037327535032100144,0.12,0
Gaia DR2 5605643189911074432,-0.019859,-0.020164,19.095000957677733,0.0034168966626860783,1.0074599444482608,0.038495993187877914,0.12,0
Gaia DR2 5605737301233852288,0.020938,0.032399,17.059432792599377,0.0019879183510560423,1.0372126734998233,0.00952889479387676,0.119,0
Gaia DR2 5605643091134348288,0.008072,-0.022344,18.084523521617164,0.0024465724556621527,1.0077152662250555,0.02750491622557783,0.119,0
Gaia DR2 5605639960095533440,0.009707,-0.045492,18.96417355060693,0.003563946611971049,1.001189853678472,0.04281316004613681,0.119,0
Gaia DR2 5605644018847296896,-0.038008,0.002503,17.779155098902507,0.0024263176785811785,0.8827896910306521,0.02869968143150008,0.118,0
Gaia DR2 5605643121191627648,0.010022,-0.014467,18.041196697918856,0.002418848297520932,1.107884939285885,0.02302632407259827,0.118,0
Gaia DR2 5605644220703489792,-0.033376,0.032832,18.174054906451097,0.002627349406889318,1.216469981737724,0.019830084381128148,0.118,0
Gaia DR2 5605642953695408512,-0.020056,-0.040625,16.380849113708148,0.0019082869132073794,1.5062589120079881,0.007009756449356605,0.117,0
Gaia DR2 5605644156286239104,-0.017601,0.023567,17.483091425288542,0.0020758624665229227,0.5014934238733169,0.014667222279637359,0.117,0
Gaia DR2 5605737202458754432,0.012145,0.021969,17.779304119113228,0.0045449679400376515,1.2676475612853082,0.020481320613787272,0.117,0
Gaia DR2 5605737030660053376,0.045639,0.011167,18.08176441513569,0.002446790350943474,1.2279031628941794,0.019267179379922807,0.117,0
Gaia DR2 5605738057148107648,-0.020931,0.038742,19.101300360572207,0.004154262450665096,1.231003701216256,0.048751978944252185,0.117,0
Gaia DR2 5605738057148117120,-0.01339,0.043667,17.144222666951144,0.002010433342160919,0.9700111946882437,0.00991736961333032,0.116,0
Gaia DR2 5605644225005719168,-0.026594,0.023975,17.470968358977306,0.0021170117331578034,0.902859029887626,0.01627723484553826,0.116,0
Gaia DR2 5605733968339141120,0.047237,-0.01575,17.652814159807235,0.0021699163306531867,0.9248678035041635,0.017452160142833278,0.116,0
Gaia DR2 5605643258630595072,-0.024221,-0.011858,18.191193941763594,0.0024657171651076442,1.3553657690058358,0.02451994982247003,0.116,0
Gaia DR2 5605642983752570368,-0.012444,-0.035254,18.643974405334724,0.002845487327752377,0.9767896166717343,0.028252920769956683,0.115,0
Gaia DR2 5605737369953347712,0.024482,0.043331,18.772739796072337,0.0030702561003393193,1.1990452449453706,0.03948828516206082,0.115,0
Gaia DR2 5605736888916894464,0.029648,-0.0195,17.601980286801396,0.002174336583331649,0.9386059764441228,0.020182953138476463,0.114,0
Gaia DR2 5605737301235750912,0.026148,0.036328,17.942309865517693,0.002434513979852204,0.9163013154163941,0.012669168137624478,0.114,0
Gaia DR2 5605643262924254336,-0.029014,-0.021109,18.68703687352012,0.0028185285204544,0.9671148591861574,0.03076639630603853,0.114,0
Gaia DR2 5605643224270819968,-0.037471,-0.018637,18.94998042472129,0.003456158949705709,0.9375735733843698,0.03537309550992096,0.114,0
Gaia DR2 5605642988046340224,-0.016414,-0.030115,17.718893403203953,0.0023837190985545116,0.7902546111398117,0.03430764643945968,0.113,0
Gaia DR2 5605643056765771904,0.015706,-0.021234,18.40924111686422,0.002714012938544457,1.4985759586202256,0.036471306149661376,0.113,0
Gaia DR2 5605643155551262336,-0.025802,-0.035018,18.141856717911534,0.004231074046393566,1.2412920488065105,0.02590484275432835,0.112,0
Gaia DR2 5605736957636391424,0.016857,-0.008899,18.15388513029285,0.0025095463378207155,1.0391778455182923,0.022364244177640023,0.112,0
Gaia DR2 5605737026355894400,0.044251,0.006457,18.83088062206484,0.00302408192286696,1.8196166354593473,0.048586477489444585,0.111,0
Gaia DR2 5605640101837108736,0.02209,-0.035834,17.59995767857785,0.002332422163401107,1.0856130407569147,0.01604225791075125,0.11,0
Gaia DR2 5605644018847299200,-0.043869,-0.000863,17.810128592126503,0.002365607402680818,1.2371941376016906,0.02535437345857232,0.109,0
Gaia DR2 5605736991996172800,0.027771,0.015079,18.737012667430918,0.002979381338948659,1.3994366251680717,0.030751434420518066,0.108,0
Gaia DR2 5605643086831871616,-0.000952,-0.017307,18.784990146026967,0.002970439705599356,1.0182266222801708,0.03291160822423303,0.107,0
Gaia DR2 5605737374246000256,0.010655,0.043606,18.367333554243558,0.002500582770848448,1.0378274149789526,0.030800821944215736,0.106,0
Gaia DR2 5605737198154596096,0.019429,0.012085,18.793809532067268,0.0033713241667982724,1.550088149038615,0.04741759891318289,0.105,0
Gaia DR2 5605643327350115584,0.005069,-0.002864,18.155042790547093,0.0025729124292417295,0.8829032405151409,0.020777980568674016,0.103,0
Gaia DR2 5605640063174773248,0.024092,-0.040608,18.30821175241351,0.00255352848167286,1.063388173571667,0.024578028832046656,0.103,0
Gaia DR2 5605640063174774656,0.012436,-0.040313,18.76695275944203,0.003029120305158238,0.973041892327636,0.044280786037940244,0.103,0
Gaia DR2 5605643331652516736,-0.003337,0.001361,18.203564566903115,0.0025108973266139345,0.579991491801497,0.031231279985363115,0.102,0
Gaia DR2 5605643400371993344,-0.011233,0.01774,17.882696471980076,0.009610052360460515,1.4044325729643319,0.02228029837090224,0.1,0
Gaia DR2 5605643327350105600,-0.000703,-0.004595,18.000627964363815,0.0024707017686711767,0.5043422837975235,0.028350082408852464,0.1,0
Gaia DR2 5605737335593595520,0.037968,0.032448,18.675259684439066,0.002920106073397237,0.9197641400985113,0.02536954354699021,0.1,0
