ID,x,y,mag1,e_mag,col1,e_col1,MP,sel
Gaia DR2 2946299908101148032,0.069605,-0.086481,18.122884307202266,0.0031720857767132734,0.7660318951298954,0.0873230605134763,0.958,1
Gaia DR2 2947055100791760384,0.001146,0.069112,18.116158837569472,0.003301090511223649,0.7650774537262564,0.0717357499690797,0.957,1
Gaia DR2 2946303314008388608,0.070931,0.014763,19.75556808607945,0.008606491645119129,0.5512435783687089,0.06962661524389277,0.957,1
Gaia DR2 2946302145777253888,0.131413,-0.008659,19.7632744214455,0.00831257675970268,0.4322058463562968,0.07674012548377056,0.957,1
Gaia DR2 2946302283216247040,0.092233,-0.011595,19.765592390342377,0.007056025592290314,0.4615354146247803,0.07122690297713064,0.956,1
Gaia DR2 2947052665549270912,-0.01777,0.028744,17.593786963504343,0.0030814353375471955,0.8902588382354786,0.04300136972612678,0.954,1
Gaia DR2 2947052459396594432,0.006202,0.013697,17.688052848636964,0.0027367376264104152,0.9977002623967195,0.04055126400084548,0.953,1
Gaia DR2 2946300015477721088,0.023666,-0.105908,16.73748478528348,0.0024215195779504497,1.5086136413224125,0.038263086102903604,0.952,1
Gaia DR2 2947052425036867200,-0.012472,0.005586,17.27866525556475,0.0024366874671655167,0.9679457102869264,0.04791727996072699,0.951,1
Gaia DR2 2946303073490205312,0.093846,0.007176,19.73945644433251,0.007923523728533017,0.43006795013929633,0.08665213714074155,0.951,1
Gaia DR2 2947052390671382144,0.003235,0.003721,17.57838791465806,0.0026092788309335685,0.9827685384278411,0.047818622858182544,0.95,1
Gaia DR2 2947051974055523712,-0.008165,-0.012931,17.802492211178013,0.003212490677369824,0.9697116004269546,0.05685923376648792,0.948,1
Gaia DR2 2946302042698050560,0.1335,-0.020992,19.7632744214455,0.008026640980481246,0.4414127991695622,0.08930381869546776,0.948,1
Gaia DR2 2946301763528138752,0.019356,-0.008656,17.582978525065837,0.0028545366463225636,1.0172603890717404,0.054996324598944143,0.947,1
Gaia DR2 2946293865080547328,0.035584,-0.128272,18.11809068733281,0.004158396051949801,0.6175736053455907,0.09183308216207514,0.946,1
Gaia DR2 2947052356317389312,-0.002157,0.002386,17.18055574152704,0.002308575112632438,1.0704430856048468,0.05152672073609072,0.945,1
Gaia DR2 2947052493756317696,0.028343,0.017823,18.50620370319122,0.0034688775621775497,0.7004606214503681,0.07092308898365246,0.945,1
Gaia DR2 2946301561661769984,0.072707,-0.017837,19.784552600651544,0.006667529234566544,0.3299557379590823,0.07798871697588797,0.945,1
Gaia DR2 2946301458586710784,0.03213,-0.033366,17.604323549588845,0.0028024440774330707,1.0301976804418906,0.03881176027167832,0.944,1
Gaia DR2 2947055135151294592,0.012802,0.090843,17.795438312953763,0.003281519821530305,1.0376330282334614,0.08036838487499086,0.944,1
Gaia DR2 2947055169511234560,-0.012619,0.090696,17.849693791064304,0.004010705467002707,0.7373100798063525,0.08852114530852809,0.944,1
Gaia DR2 2947054074298274688,0.032474,0.046749,18.508038494266085,0.00385272412300215,0.7340867282077319,0.06630684696340729,0.944,1
Gaia DR2 2947052218875063936,-0.047926,0.001419,18.75644090987722,0.0071714446456194745,0.22929122161320947,0.07674995345302109,0.944,1
Gaia DR2 2946300633952991616,0.051635,-0.055909,17.8007434704884,0.0032283430886557943,0.834869122328854,0.07461449907139082,0.942,1
Gaia DR2 2947051909640821632,-0.035402,-0.024749,16.40801787820084,0.002333119102730722,0.6864038834795885,0.03926159285067499,0.941,1
Gaia DR2 2946296953163611776,0.078442,-0.097255,17.05369057367497,0.002429556847151742,1.0129195166620235,0.04081184849974846,0.941,1
Gaia DR2 2946301389868334208,0.045012,-0.043107,16.828229889124312,0.0021773092342066837,1.186077421141178,0.029639587571039957,0.94,1
Gaia DR2 2947058502405851392,-0.040129,0.127645,17.840040571155406,0.004482345869853648,0.6714180016205376,0.09970900384563029,0.939,1
Gaia DR2 2947053833786130048,-0.072846,0.074457,17.133526832212254,0.00429597682842632,0.6008330238140118,0.08609419318233648,0.938,1
Gaia DR2 2946301900967109248,0.0356,0.016915,17.78940684838702,0.002603081355117029,0.9853189526828601,0.03531347590617492,0.938,1
Gaia DR2 2947046240284049920,-0.097056,-0.030288,15.28948201691595,0.0025998639636450223,1.3853394018784808,0.0547672394002145,0.937,1
Gaia DR2 2946293658926143488,-0.044643,-0.141311,17.804320068885062,0.005646366187625006,0.37769598476405974,0.06915577971494098,0.937,1
Gaia DR2 2947052042774995456,-0.022839,-0.008698,18.037505461446283,0.00403439315955895,0.6188355238866912,0.0817240477308135,0.937,1
Gaia DR2 2947054173076281600,0.071799,0.0715,18.11504200642681,0.003928831343470414,1.0201436754206021,0.055830095518494535,0.937,1
Gaia DR2 2946301527304756608,0.064634,-0.019463,19.748783881336507,0.00729960282545213,0.4366815042611307,0.07977222439340458,0.937,1
Gaia DR2 2947053936859548160,-0.05599,0.083143,16.40127680701857,0.002813845520658387,0.7796926484282416,0.05022051954922751,0.936,1
Gaia DR2 2947058433686377088,-0.024847,0.122329,17.27575697095793,0.0031421765216603317,1.0152701501964891,0.04150465190874847,0.936,1
Gaia DR2 2946300664018323712,0.061158,-0.05005,17.687299808908925,0.002659518983049525,0.904936735550713,0.05981479814277811,0.936,1
Gaia DR2 2947055105096420608,0.001357,0.073126,16.41040095315399,0.002174006939641335,1.452009880185976,0.029356852043441763,0.935,1
Gaia DR2 2946301905263291648,0.042014,0.023656,16.72401517172826,0.0028248327010126375,1.3253030290265304,0.046230985615306745,0.935,1
Gaia DR2 2947052665555026432,-0.00717,0.020989,17.451463106008,0.002734540151613977,1.181056022309729,0.03859054466646405,0.935,1
Gaia DR2 2947054314816230912,0.028395,0.064772,17.741748836087325,0.0027147192720216313,1.0075002583024073,0.03921133397478337,0.934,1
Gaia DR2 2946303107854132096,0.071579,0.012258,19.81166572837594,0.007812707646881809,0.4440190753700506,0.08232842932874805,0.934,1
Gaia DR2 2946302214496765824,0.102156,-0.016226,20.22107980506206,0.014245900662745819,0.3468009737270208,0.08961488531713724,0.934,1
Gaia DR2 2946301802184086272,0.039017,-0.008362,15.29490920169193,0.00210546364586045,1.5157945438265035,0.008179575031346593,0.933,1
Gaia DR2 2947052528110093312,0.031037,0.017741,19.764664623006304,0.009868317959733069,0.5197848770940325,0.09437890184491209,0.933,1
