metal log(age) E_BV dm mass
0.04279 7.77880 0.09154 14.60688 677.90596
0.04824 8.77718 0.09154 14.85193 127.88470
0.05187 7.62236 0.07657 14.32533 121.72575
0.02028 9.12679 0.21269 14.03606 121.72575
0.02843 7.92147 0.33358 14.99255 339.04061
0.04631 8.46335 0.02447 14.06801 138.93491
0.00628 9.35675 0.10391 14.06801 138.93491
0.04292 8.36738 0.27400 14.56457 186.91301
0.04292 7.30391 0.16994 13.71511 1228.83763
0.04397 7.66213 0.03687 14.22036 218.80105
0.02670 7.66213 0.21046 14.22036 235.73332
0.01581 9.12914 0.16596 14.22036 130.29462
0.01581 9.12914 0.16596 14.80528 212.27274
0.01581 9.12914 0.46787 13.91185 156.52213
0.03909 8.15601 0.27342 14.06648 235.28700
0.04866 9.27798 0.00296 13.58006 217.09415
0.04265 7.25379 0.43885 14.55142 239.00477
0.02768 9.21714 0.24468 14.33196 150.67568
0.04109 7.91575 0.12539 13.88051 150.67568
0.00200 7.91575 0.13267 13.27801 150.67568
0.03612 8.62045 0.11985 14.03001 341.97203
0.03774 7.53986 0.32907 13.11033 188.90381
0.03774 8.03263 0.10946 13.72703 347.43098
0.02556 7.25379 0.03315 13.29000 300.15340
0.02865 7.33673 0.24653 13.26503 401.27340
0.00334 7.33673 1.36254 13.26503 180.59112
0.02109 7.33673 0.01263 14.96730 354.37975
0.02648 7.40785 0.08046 14.01119 275.73469
0.03142 7.89547 0.23625 13.06300 275.73469
0.03142 9.06883 0.06904 14.97969 221.59907
0.02686 9.14775 0.06904 14.99421 143.64842
0.02686 7.89422 0.06904 14.97969 233.55217
0.04082 8.42220 0.14755 14.97969 105.15684
0.04586 9.11130 0.22422 14.97969 148.40267
0.05558 9.11130 0.23826 13.18179 148.40267
0.02975 8.43307 0.02872 14.16247 154.13610
0.02052 7.07965 0.08464 14.16247 143.44709
0.03656 8.52703 0.07527 14.16247 116.19691
0.02194 9.65718 0.13883 14.61885 160.13972
0.02267 7.40785 0.00269 14.96730 115.21863
0.01549 8.52839 0.07303 14.94113 161.68613
0.03659 8.55315 0.07303 14.31157 121.57131
0.03683 8.85971 0.07303 14.31157 186.46159
0.05639 8.85918 0.22674 14.97969 389.05228
0.01106 9.51115 0.10731 14.30995 105.81334
0.03835 7.50210 0.10731 14.91491 638.68548
0.03835 7.99031 0.31780 14.91304 132.96553
0.02159 8.55429 0.15221 13.43746 218.56745
0.01957 7.48745 0.08240 13.21839 168.38996
0.01957 8.62072 0.40380 13.13212 178.94138
0.01154 7.74959 0.08319 14.96516 240.27392
0.02816 9.44533 0.08319 14.42577 122.08514
0.03859 9.05421 0.10473 13.47001 170.65310
0.02816 8.90758 0.22275 13.47001 105.97210
0.01931 8.27725 0.06806 13.73114 112.24090
0.04348 9.42563 0.26079 14.99666 112.24090
0.02509 7.98708 0.13061 14.63101 112.24090
0.04881 7.19761 0.13061 13.47198 129.47221
0.03696 8.74888 0.13061 13.67716 208.28339
0.01800 7.12145 0.21876 14.10344 208.28339
0.01800 8.52964 0.11017 13.08041 208.28339
0.00317 7.81206 0.01908 14.52441 279.21548
0.03458 7.75759 0.10181 14.69542 279.21548
0.01899 7.84594 0.10181 14.69542 109.33116
0.03370 7.75307 0.10181 13.83661 169.22378
0.03376 8.07628 0.17220 13.40755 176.17070
0.03272 8.59874 0.17160 13.20804 445.94568
0.02241 8.68376 0.06886 13.13853 151.78357
0.00986 8.86597 0.05264 14.74333 122.15358
0.02241 7.65143 0.05264 13.38055 219.60119
0.02241 8.43532 0.07428 13.38055 608.01178
0.02049 8.21881 0.02364 13.58155 239.14083
0.03977 7.24400 0.39003 14.93428 115.12978
0.00482 7.77305 0.39003 13.96392 226.34684
0.04620 8.22718 0.05264 14.33051 205.25002
0.01213 8.27265 0.02163 13.42201 212.52906
0.00188 7.89920 0.23216 13.42201 212.52906
0.03646 8.13117 0.15278 14.19747 275.77092
0.04172 7.16106 0.05755 14.93268 153.66909
0.01494 8.61044 0.02822 14.19661 153.66909
0.05825 8.24183 0.29809 13.82333 177.92763
0.05617 7.42465 0.16595 14.68671 109.34955
0.04623 7.36161 0.16198 14.68671 109.34955
0.02172 7.36161 0.16198 14.68671 400.95899
0.03559 7.70134 0.30756 13.64291 315.06733
0.02389 7.16766 0.09756 14.33749 265.29567
0.02389 8.77906 0.26430 14.51511 258.01551
0.01542 8.43842 0.09124 14.81829 261.26989
0.00216 7.38985 0.31997 14.02077 261.26989
0.00216 7.93225 0.15259 13.32152 261.26989
0.01637 7.33748 0.15259 14.28345 231.26635
0.01258 7.33748 0.15259 14.82649 220.01660
0.01258 8.08415 0.04917 14.70363 341.52894
0.05437 8.08415 0.08224 13.22171 161.49404
0.02597 7.62481 0.20909 14.24294 188.99093
0.04325 7.81909 0.31037 13.82333 314.83797
0.03234 7.47322 0.20730 14.51239 314.83797
0.04370 7.47322 0.02338 13.04150 130.17514
0.04544 8.31653 0.08144 13.04150 331.58511
0.03695 8.31653 0.49324 13.04150 331.58511
