#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.4580 0.1355  0.0085  0.0488  0.8980   0.8980   -0.4553  3.7011   4.6023   5.9084  
11      20.6371 0.1937  0.0103  0.0530  0.8717   0.8717   -0.5141  3.6927   4.6150   6.0552  
12      20.8708 0.0994  0.0140  0.0600  0.8336   0.8336   -0.6014  3.6802   4.6327   6.2732  
13      20.4679 0.1919  0.0085  0.0488  0.8980   0.8980   -0.4553  3.7011   4.6023   5.9084  
14      20.7876 0.1669  0.0124  0.0572  0.8475   0.8475   -0.5683  3.6850   4.6265   6.1906  
15      19.9763 0.1223  0.0053  0.0387  0.9755   0.9755   -0.2853  3.7248   4.5635   5.4838  
16      19.8878 0.0732  0.0049  0.0372  0.9895   0.9895   -0.2556  3.7288   4.5561   5.4096  
17      19.8177 0.1421  0.0046  0.0358  1.0034   1.0034   -0.2265  3.7327   4.5484   5.3366  
18      19.8141 0.1135  0.0046  0.0358  1.0034   1.0034   -0.2265  3.7327   4.5484   5.3366  
19      20.0459 0.0352  0.0057  0.0403  0.9616   0.9616   -0.3150  3.7207   4.5708   5.5580  
110     19.9026 0.1855  0.0049  0.0372  0.9895   0.9895   -0.2556  3.7288   4.5561   5.4096  
111     19.5064 0.0950  0.0037  0.0309  1.0593   1.0593   -0.1125  3.7472   4.5162   5.0511  
112     19.5854 0.1454  0.0039  0.0320  1.0453   1.0453   -0.1401  3.7438   4.5246   5.1201  
113     19.5773 0.0779  0.0039  0.0320  1.0453   1.0453   -0.1401  3.7438   4.5246   5.1201  
114     19.2601 0.0988  0.0032  0.0275  1.1071   1.1071   -0.0188  3.7586   4.4871   4.8169  
115     19.3544 0.0441  0.0034  0.0288  1.0872   1.0872   -0.0573  3.7540   4.4995   4.9133  
116     19.1286 0.0850  0.0030  0.0258  1.1335   1.1335   0.0313   3.7644   4.4705   4.6916  
117     18.8657 0.0577  0.0027  0.0228  1.1861   1.1861   0.1315   3.7761   4.4372   4.4410  
118     18.8018 0.0939  0.0026  0.0221  1.2012   1.2012   0.1587   3.7792   4.4278   4.3732  
119     18.9957 0.0593  0.0028  0.0243  1.1598   1.1598   0.0814   3.7703   4.4538   4.5663  
120     18.3771 0.0167  0.0024  0.0181  1.2989   1.2989   0.3252   3.7978   4.3697   3.9573  
121     18.4427 0.0821  0.0024  0.0186  1.2849   1.2849   0.3024   3.7953   4.3778   4.0143  
122     18.4371 0.0392  0.0024  0.0186  1.2849   1.2849   0.3024   3.7953   4.3778   4.0143  
123     18.6160 0.0768  0.0025  0.0202  1.2431   1.2431   0.2324   3.7874   4.4020   4.1893  
124     18.2054 0.0474  0.0023  0.0167  1.3426   1.3426   0.3954   3.8055   4.3445   3.7814  
125     18.2091 0.0748  0.0023  0.0167  1.3426   1.3426   0.3954   3.8055   4.3445   3.7814  
126     18.2692 0.0573  0.0023  0.0172  1.3268   1.3268   0.3704   3.8027   4.3532   3.8440  
127     17.7360 0.0385  0.0022  0.0134  1.4738   1.4738   0.5836   3.8280   4.2866   3.3109  
128     17.6421 0.0421  0.0022  0.0128  1.5025   1.5025   0.6219   3.8329   4.2763   3.2152  
129     17.7811 0.0160  0.0022  0.0137  1.4597   1.4597   0.5639   3.8256   4.2926   3.3604  
130     17.4874 0.0113  0.0021  0.0120  1.5502   1.5502   0.6830   3.8415   4.2633   3.0628  
131     17.3098 0.0099  0.0021  0.0110  1.6098   1.6097   0.7563   3.8532   4.2532   2.8793  
132     17.1760 0.0028  0.0021  0.0103  1.6556   1.6555   0.8113   3.8623   4.2469   2.7415  
133     17.0242 -0.0146 0.0021  0.0097  1.7100   1.7100   0.8741   3.8735   4.2430   2.5842  
134     16.8683 -0.0201 0.0021  0.0090  1.7710   1.7710   0.9409   3.8859   4.2411   2.4175  
135     16.8878 -0.0199 0.0021  0.0091  1.7632   1.7632   0.9325   3.8844   4.2414   2.4384  
136     16.6733 -0.0290 0.0021  0.0082  1.8522   1.8522   1.0259   3.9016   4.2381   2.2053  
137     16.3498 -0.0410 0.0021  0.0071  2.0032   2.0032   1.1727   3.9272   4.2279   1.8386  
138     16.2082 -0.0656 0.0021  0.0067  2.0730   2.0730   1.2364   3.9378   4.2213   1.6786  
139     16.0332 -0.0648 0.0021  0.0062  2.1706   2.1706   1.3224   3.9515   4.2101   1.4639  
140     15.8008 -0.0718 0.0021  0.0056  2.3098   2.3098   1.4392   3.9692   4.1912   1.1723  
141     15.7234 -0.0641 0.0021  0.0054  2.3622   2.3622   1.4817   3.9754   4.1831   1.0658  
142     15.3038 -0.0743 0.0021  0.0045  2.6507   2.6507   1.7047   4.0068   4.1357   0.5081  
143     15.0085 -0.0807 0.0021  0.0040  2.8642   2.8642   1.8598   4.0262   4.0920   0.1207  
144     14.5124 -0.0877 0.0021  0.0032  3.2144   3.2144   2.1044   4.0506   3.9951   -0.4906 
145     14.2097 -0.0861 0.0021  0.0029  3.4175   3.4175   2.2430   4.0593   3.9179   -0.8371 
146     13.7831 -0.0859 0.0021  0.0024  3.6684   3.6684   2.4148   4.0604   3.7811   -1.2667 
