metal log(age) E_BV dm mass
0.03300 9.62500 0.22431 13.95747 2200.00000
0.03300 9.62500 0.22431 13.95747 2200.00000
0.04300 9.41500 0.24579 13.69685 2200.00000
0.05900 9.31000 0.26481 13.92040 2200.00000
0.03100 9.69200 0.22269 13.72321 2200.00000
0.05500 9.34700 0.26466 13.98121 2200.00000
0.05500 9.34700 0.26466 13.98121 2200.00000
0.05700 9.31000 0.26280 13.95532 2200.00000
0.05700 9.31000 0.26280 13.95532 2200.00000
0.05700 9.31000 0.26280 13.95532 2100.00000
0.05700 9.31000 0.25995 13.96548 2100.00000
0.05300 9.28700 0.26282 13.90644 1800.00000
0.05500 9.34000 0.26822 13.97254 1900.00000
0.05500 9.34000 0.26822 13.97254 1900.00000
0.05500 9.34000 0.26822 13.97254 2400.00000
0.03300 9.62500 0.22412 13.95786 1400.00000
0.02900 9.67700 0.21756 13.71777 2400.00000
0.05100 9.33200 0.26102 13.78538 2100.00000
0.04900 9.40700 0.26117 13.95092 1900.00000
0.02900 9.67700 0.21793 13.71108 1900.00000
0.02900 9.67700 0.21793 13.71108 2200.00000
0.02900 9.67700 0.21793 13.71108 2200.00000
0.05500 9.26500 0.26703 13.93639 2200.00000
0.05500 9.26500 0.26703 13.93639 2200.00000
0.05500 9.26500 0.26703 13.93639 2100.00000
0.05500 9.26500 0.26703 13.93639 2100.00000
0.04500 9.42200 0.25609 13.87119 2100.00000
0.04500 9.42200 0.25609 13.87119 2200.00000
0.04500 9.42200 0.25609 13.87119 2200.00000
0.04500 9.42200 0.25674 13.86308 2200.00000
0.04500 9.42200 0.25674 13.86308 1900.00000
0.04500 9.42200 0.25674 13.86308 1900.00000
0.04500 9.42200 0.25674 13.86308 1900.00000
0.02900 9.67700 0.21752 13.71099 2300.00000
0.02900 9.67700 0.21752 13.71099 2600.00000
0.02900 9.67700 0.21736 13.70938 2300.00000
0.03500 9.58000 0.22371 13.98981 2300.00000
0.05100 9.33200 0.26002 13.78349 2100.00000
0.05500 9.28700 0.26120 13.91449 1900.00000
0.03100 9.69200 0.22250 13.72394 2100.00000
0.03100 9.69200 0.22250 13.72394 2100.00000
0.05300 9.28700 0.26282 13.90644 1900.00000
0.03300 9.65500 0.21422 13.82689 1800.00000
0.03300 9.65500 0.21422 13.82689 2300.00000
0.03300 9.65500 0.21422 13.82689 2300.00000
0.05900 9.26500 0.26294 13.97613 2300.00000
0.03500 9.65500 0.21942 13.76440 2100.00000
0.03500 9.65500 0.21942 13.76440 1400.00000
0.03100 9.69200 0.22198 13.72510 1400.00000
0.02900 9.67700 0.21720 13.71701 2300.00000
0.02900 9.67700 0.21695 13.71242 2100.00000
0.02900 9.67700 0.21695 13.71242 2100.00000
0.02900 9.67700 0.21690 13.72463 2100.00000
0.02900 9.67700 0.21675 13.72796 2100.00000
0.02900 9.67700 0.21675 13.72796 2100.00000
0.05500 9.34000 0.26834 13.96915 2100.00000
0.05500 9.34000 0.26834 13.96915 2100.00000
0.02900 9.67700 0.21695 13.71242 2100.00000
0.02900 9.65500 0.22362 13.82840 2100.00000
0.03100 9.69200 0.22250 13.72394 2100.00000
0.03100 9.69200 0.22268 13.72034 2100.00000
0.02900 9.67700 0.21710 13.72127 2100.00000
0.02900 9.67700 0.21710 13.72127 2100.00000
0.05100 9.33200 0.26093 13.78691 2600.00000
0.05100 9.31000 0.26149 13.89773 2600.00000
0.02900 9.67700 0.21774 13.71024 1400.00000
0.02900 9.67700 0.21774 13.71024 2200.00000
0.02900 9.67700 0.21774 13.71024 1600.00000
0.02900 9.67700 0.21774 13.71024 2300.00000
0.02900 9.67700 0.21774 13.71024 2300.00000
0.05100 9.37700 0.25470 13.88441 2000.00000
0.05100 9.31000 0.26238 13.92475 2100.00000
0.03300 9.64000 0.22385 13.80835 2100.00000
