#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.4619 0.1559  0.0085  0.0488  0.9001   0.9001   -0.4508  3.7017   4.6014   5.8970  
11      20.6353 0.1911  0.0103  0.0530  0.8740   0.8740   -0.5090  3.6935   4.6140   6.0426  
12      20.7888 0.1540  0.0125  0.0573  0.8489   0.8489   -0.5652  3.6855   4.6261   6.1833  
13      20.6292 0.1599  0.0103  0.0530  0.8740   0.8740   -0.5090  3.6935   4.6140   6.0426  
14      20.6335 0.1820  0.0103  0.0530  0.8740   0.8740   -0.5090  3.6935   4.6140   6.0426  
15      20.7922 0.1694  0.0125  0.0573  0.8489   0.8489   -0.5652  3.6855   4.6261   6.1833  
16      20.0821 0.2221  0.0057  0.0405  0.9623   0.9623   -0.3138  3.7209   4.5706   5.5541  
17      19.8226 0.0842  0.0047  0.0360  1.0038   1.0038   -0.2262  3.7326   4.5484   5.3353  
18      20.2912 0.1322  0.0071  0.0450  0.9262   0.9262   -0.3926  3.7100   4.5888   5.7513  
19      20.0727 0.1554  0.0057  0.0405  0.9623   0.9623   -0.3138  3.7209   4.5706   5.5541  
110     20.1585 0.1863  0.0062  0.0421  0.9485   0.9485   -0.3432  3.7169   4.5779   5.6276  
111     19.8236 0.0925  0.0047  0.0360  1.0038   1.0038   -0.2262  3.7326   4.5484   5.3353  
112     19.9045 0.1134  0.0050  0.0374  0.9900   0.9900   -0.2550  3.7289   4.5561   5.4071  
113     19.3787 0.1086  0.0034  0.0291  1.0867   1.0867   -0.0587  3.7538   4.5001   4.9167  
114     19.4560 0.1513  0.0036  0.0301  1.0729   1.0729   -0.0860  3.7505   4.5084   4.9853  
115     19.3732 0.0619  0.0034  0.0291  1.0867   1.0867   -0.0587  3.7538   4.5001   4.9167  
116     19.6748 0.1308  0.0041  0.0335  1.0314   1.0314   -0.1692  3.7400   4.5328   5.1932  
117     19.2819 0.1162  0.0032  0.0277  1.1060   1.1060   -0.0213  3.7583   4.4881   4.8234  
118     19.2851 0.1432  0.0032  0.0277  1.1060   1.1060   -0.0213  3.7583   4.4881   4.8234  
119     18.8146 0.0413  0.0027  0.0223  1.2001   1.2001   0.1561   3.7790   4.4288   4.3800  
120     18.8170 0.0614  0.0027  0.0223  1.2001   1.2001   0.1561   3.7790   4.4288   4.3800  
121     18.8943 0.1015  0.0027  0.0231  1.1842   1.1842   0.1274   3.7757   4.4387   4.4519  
122     18.6954 0.0647  0.0026  0.0210  1.2277   1.2277   0.2051   3.7844   4.4117   4.2573  
123     18.4019 0.0321  0.0024  0.0183  1.2968   1.2968   0.3213   3.7974   4.3714   3.9667  
124     18.4653 0.0858  0.0024  0.0188  1.2830   1.2830   0.2986   3.7949   4.3794   4.0234  
125     18.4605 0.0483  0.0024  0.0188  1.2830   1.2830   0.2986   3.7949   4.3794   4.0234  
126     17.9521 0.0295  0.0022  0.0148  1.4162   1.4162   0.5014   3.8180   4.3119   3.5166  
127     18.0494 0.0502  0.0023  0.0155  1.3901   1.3901   0.4636   3.8136   4.3236   3.6108  
128     18.2331 0.0233  0.0023  0.0169  1.3383   1.3383   0.3886   3.8047   4.3469   3.7984  
129     17.8779 0.0518  0.0022  0.0143  1.4378   1.4378   0.5325   3.8217   4.3023   3.4387  
130     17.7293 0.0230  0.0022  0.0134  1.4793   1.4793   0.5906   3.8289   4.2849   3.2936  
131     17.8732 0.0216  0.0022  0.0143  1.4378   1.4378   0.5325   3.8217   4.3023   3.4387  
132     17.5929 0.0099  0.0022  0.0126  1.5208   1.5208   0.6453   3.8360   4.2708   3.1569  
133     17.4668 0.0087  0.0021  0.0118  1.5621   1.5621   0.6969   3.8438   4.2619   3.0278  
134     17.1403 -0.0170 0.0021  0.0102  1.6725   1.6725   0.8302   3.8659   4.2467   2.6943  
135     17.2662 0.0084  0.0021  0.0108  1.6298   1.6298   0.7796   3.8570   4.2508   2.8212  
136     16.8611 -0.0274 0.0021  0.0090  1.7793   1.7793   0.9488   3.8878   4.2424   2.3980  
137     16.9315 -0.0115 0.0021  0.0092  1.7526   1.7527   0.9200   3.8824   4.2432   2.4703  
138     16.6635 -0.0116 0.0021  0.0082  1.8658   1.8658   1.0384   3.9043   4.2396   2.1738  
139     16.5175 -0.0468 0.0021  0.0077  1.9285   1.9285   1.1005   3.9154   4.2362   2.0187  
140     16.2761 -0.0537 0.0021  0.0069  2.0479   2.0479   1.2124   3.9346   4.2272   1.7389  
141     16.0178 -0.0615 0.0021  0.0061  2.1913   2.1913   1.3384   3.9548   4.2117   1.4237  
142     15.8365 -0.0647 0.0021  0.0057  2.3018   2.3018   1.4306   3.9690   4.1973   1.1934  
143     15.9721 -0.0606 0.0021  0.0060  2.2190   2.2190   1.3618   3.9585   4.2082   1.3652  
144     15.5840 -0.0707 0.0021  0.0051  2.4695   2.4695   1.5639   3.9885   4.1728   0.8606  
145     15.1906 -0.0763 0.0021  0.0043  2.7529   2.7529   1.7753   4.0176   4.1248   0.3319  
146     14.6752 -0.0807 0.0021  0.0035  3.1322   3.1322   2.0403   4.0479   4.0373   -0.3305 
147     14.2613 -0.0901 0.0021  0.0029  3.4211   3.4211   2.2345   4.0634   3.9432   -0.8160 
148     13.5300 -0.0851 0.0021  0.0022  3.8457   3.8457   2.5218   4.0617   3.6996   -1.5348 
149     12.6300 0.2320  0.0021  0.0016  4.2692   4.2692   2.7430   3.6562   1.9021   -2.0872 
