metal log(age) E_BV dm
0.05500 8.89000 0.25292 13.24803
0.05500 8.89000 0.25292 13.27654
0.05500 8.89000 0.24560 13.27695
0.05500 8.89000 0.26064 13.27695
0.05500 8.89000 0.26210 13.27997
0.05500 8.89000 0.25970 13.27569
0.05500 8.89000 0.25970 13.28275
0.05500 8.89000 0.25310 13.26956
0.05500 8.89000 0.25061 13.26956
0.05500 8.89000 0.25549 13.26956
0.05500 8.89000 0.25549 13.26956
0.05500 8.89000 0.25510 13.26956
0.05500 8.89000 0.25400 13.26956
0.05500 8.89000 0.24926 13.26956
0.05500 8.89000 0.24795 13.26956
0.05500 8.89000 0.25319 13.26956
0.05500 8.89000 0.25319 13.26956
0.05500 8.89000 0.25869 13.28476
0.05500 8.89000 0.25324 13.27024
0.05500 8.89000 0.25312 13.29437
0.05500 8.89000 0.25312 13.21893
0.05500 8.89000 0.24792 13.27698
0.05500 8.89000 0.25040 13.27538
0.05500 8.89000 0.25167 13.27538
0.05500 8.89000 0.25431 13.27538
0.05500 8.89000 0.26161 13.25524
0.05500 8.89000 0.25402 13.26795
0.05500 8.89000 0.25402 13.25987
0.05500 8.89000 0.25349 13.24656
0.05500 8.89000 0.25349 13.24075
0.05500 8.89000 0.25349 13.26367
0.05500 8.89000 0.25380 13.26190
0.05500 8.89000 0.26142 13.24680
0.05500 8.89000 0.25948 13.25098
0.05500 8.89000 0.25730 13.25098
0.05500 8.89000 0.25123 13.25098
0.05500 8.89000 0.25205 13.24127
0.05500 8.89000 0.25583 13.24127
0.05500 8.89000 0.25292 13.25345
0.05500 8.89000 0.25342 13.25225
0.05500 8.89000 0.25342 13.25608
0.05500 8.89000 0.25503 13.21482
0.05500 8.89000 0.24511 13.22146
0.05500 8.89000 0.24900 13.24561
0.05500 8.89000 0.26185 13.26338
0.05500 8.89000 0.26185 13.22923
0.05500 8.89000 0.25181 13.22923
0.05500 8.89000 0.25979 13.23200
0.05500 8.89000 0.26022 13.23200
0.05500 8.89000 0.26022 13.26077
0.05500 8.89000 0.26193 13.27766
0.05500 8.89000 0.26484 13.27941
0.05500 8.89000 0.25485 13.27941
0.05500 8.89000 0.25485 13.27941
0.05500 8.89000 0.25485 13.26198
0.05500 8.89000 0.25007 13.27960
0.05500 8.89000 0.25613 13.26039
0.05500 8.89000 0.25007 13.25419
0.05500 8.89000 0.25007 13.24173
0.05500 8.89000 0.25376 13.24557
0.05500 8.89000 0.25376 13.25605
0.05500 8.89000 0.25376 13.28682
0.05500 8.89000 0.25420 13.28855
0.05500 8.89000 0.25152 13.24204
0.05500 8.89000 0.26432 13.21926
0.05500 8.89000 0.24628 13.26790
0.05500 8.89000 0.25733 13.26877
0.05500 8.89000 0.25851 13.26877
0.05500 8.89000 0.26012 13.26280
0.05500 8.89000 0.25527 13.24131
0.05500 8.89000 0.25527 13.22016
0.05500 8.89000 0.25492 13.25564
0.05500 8.89000 0.25511 13.25564
0.05500 8.89000 0.25511 13.25564
0.05500 8.89000 0.25909 13.25564
0.05500 8.89000 0.25053 13.26193
0.05500 8.89000 0.24752 13.25956
0.05500 8.89000 0.25722 13.24331
0.05500 8.89000 0.26281 13.24539
0.05500 8.89000 0.25193 13.29402
0.05500 8.89000 0.25193 13.23280
0.05500 8.89000 0.25214 13.28899
0.05500 8.89000 0.25246 13.27229
0.05500 8.89000 0.25586 13.24579
0.05500 8.89000 0.24760 13.24959
