#ID           G   (iP1-zP1)   (gP1-rP1)   e_G   e_(iP1-zP1)   e_(gP1-rP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.3843 0.4882  1.4026  0.0117  0.0211  0.0512  1.0706   1.0706   -0.0586  3.7441   4.4545   4.9167  
11      20.3484 0.4887  1.4004  0.0113  0.0206  0.0501  1.0848   1.0848   -0.0452  3.7469   4.4583   4.8829  
12      20.3444 0.4984  1.4237  0.0112  0.0205  0.0499  1.0928   1.0928   -0.0416  3.7479   4.4618   4.8738  
13      20.3816 0.4833  1.3907  0.0117  0.0211  0.0512  1.0706   1.0706   -0.0586  3.7441   4.4545   4.9167  
14      20.1156 0.4914  1.3918  0.0093  0.0178  0.0441  1.1923   1.1924   0.0452   3.7577   4.4520   4.6572  
15      20.1565 0.4785  1.3630  0.0097  0.0183  0.0453  1.1811   1.1812   0.0267   3.7558   4.4589   4.7036  
16      20.2406 0.4511  1.3004  0.0105  0.0195  0.0478  1.1423   1.1423   -0.0120  3.7522   4.4685   4.8001  
17      20.1935 0.4698  1.3441  0.0100  0.0188  0.0463  1.1698   1.1698   0.0105   3.7542   4.4645   4.7442  
18      20.2709 0.4826  1.3800  0.0106  0.0196  0.0481  1.1379   1.1378   -0.0170  3.7518   4.4698   4.8125  
19      20.2777 0.4951  1.4107  0.0106  0.0196  0.0481  1.1379   1.1378   -0.0170  3.7518   4.4698   4.8125  
110     20.1568 0.4790  1.3644  0.0097  0.0183  0.0453  1.1811   1.1812   0.0267   3.7558   4.4589   4.7036  
111     20.2796 0.4987  1.4196  0.0106  0.0196  0.0481  1.1379   1.1378   -0.0170  3.7518   4.4698   4.8125  
112     20.2876 0.4722  1.3556  0.0108  0.0199  0.0487  1.1243   1.1243   -0.0256  3.7507   4.4691   4.8341  
113     19.9201 0.4453  1.2685  0.0082  0.0160  0.0402  1.2333   1.2334   0.1126   3.7640   4.4241   4.4889  
114     19.6520 0.4783  1.3351  0.0066  0.0136  0.0344  1.3022   1.3022   0.2248   3.7748   4.3792   4.2084  
115     20.0506 0.5125  1.4412  0.0088  0.0169  0.0424  1.2104   1.2104   0.0749   3.7605   4.4399   4.5829  
116     19.9368 0.4779  1.3506  0.0082  0.0160  0.0402  1.2333   1.2334   0.1126   3.7640   4.4241   4.4889  
117     19.6427 0.4591  1.2864  0.0066  0.0136  0.0344  1.3022   1.3022   0.2248   3.7748   4.3792   4.2084  
118     19.7445 0.4734  1.3289  0.0071  0.0143  0.0363  1.2792   1.2793   0.1874   3.7712   4.3942   4.3020  
119     20.0301 0.4729  1.3422  0.0088  0.0169  0.0424  1.2104   1.2104   0.0749   3.7605   4.4399   4.5829  
120     19.6486 0.4712  1.3170  0.0066  0.0136  0.0344  1.3022   1.3022   0.2248   3.7748   4.3792   4.2084  
121     19.8375 0.4703  1.3266  0.0076  0.0151  0.0382  1.2563   1.2563   0.1501   3.7675   4.4089   4.3952  
122     19.5495 0.4640  1.2917  0.0062  0.0129  0.0327  1.3251   1.3252   0.2628   3.7783   4.3629   4.1134  
123     19.3532 0.4475  1.2273  0.0054  0.0116  0.0295  1.3710   1.3710   0.3386   3.7858   4.3316   3.9239  
124     19.5466 0.4579  1.2762  0.0062  0.0129  0.0327  1.3251   1.3252   0.2628   3.7783   4.3629   4.1134  
125     19.2536 0.4332  1.1764  0.0051  0.0111  0.0280  1.3939   1.3940   0.3764   3.7897   4.3165   3.8294  
126     19.3585 0.4587  1.2558  0.0054  0.0116  0.0295  1.3710   1.3710   0.3386   3.7858   4.3316   3.9239  
127     19.5496 0.4642  1.2922  0.0062  0.0129  0.0327  1.3251   1.3252   0.2628   3.7783   4.3629   4.1134  
128     19.3593 0.4605  1.2603  0.0054  0.0116  0.0295  1.3710   1.3710   0.3386   3.7858   4.3316   3.9239  
129     19.2603 0.4478  1.2132  0.0051  0.0111  0.0280  1.3939   1.3940   0.3764   3.7897   4.3165   3.8294  
130     18.7608 0.4406  1.1488  0.0038  0.0088  0.0213  1.4985   1.4985   0.5769   3.8153   4.2501   3.3276  
131     18.8355 0.4146  1.0918  0.0040  0.0091  0.0223  1.4833   1.4833   0.5421   3.8103   4.2601   3.4146  
132     18.7288 0.4308  1.1234  0.0038  0.0087  0.0209  1.5030   1.5031   0.5883   3.8171   4.2473   3.2991  
133     19.1720 0.4552  1.2209  0.0048  0.0106  0.0266  1.4169   1.4169   0.4134   3.7937   4.3024   3.7364  
134     18.8376 0.4192  1.1031  0.0040  0.0091  0.0223  1.4833   1.4833   0.5421   3.8103   4.2601   3.4146  
135     19.0318 0.4276  1.1371  0.0045  0.0100  0.0248  1.4487   1.4487   0.4651   3.7993   4.2831   3.6071  
136     19.0785 0.4510  1.1994  0.0046  0.0101  0.0253  1.4398   1.4399   0.4504   3.7977   4.2885   3.6437  
137     18.4779 0.4072  1.0490  0.0034  0.0079  0.0182  1.5693   1.5693   0.6879   3.8358   4.2410   3.0507  
138     18.5292 0.3965  1.0289  0.0035  0.0081  0.0188  1.5465   1.5465   0.6646   3.8317   4.2416   3.1090  
139     18.5350 0.4100  1.0604  0.0035  0.0081  0.0188  1.5465   1.5465   0.6646   3.8317   4.2416   3.1090  
140     18.6186 0.4301  1.1135  0.0036  0.0083  0.0197  1.5281   1.5281   0.6337   3.8257   4.2432   3.1861  
141     18.4764 0.4037  1.0408  0.0034  0.0079  0.0182  1.5693   1.5693   0.6879   3.8358   4.2410   3.0507  
142     18.4224 0.4068  1.0428  0.0033  0.0077  0.0177  1.5922   1.5923   0.7111   3.8399   4.2403   2.9929  
143     18.3144 0.3950  1.0050  0.0031  0.0074  0.0167  1.6336   1.6336   0.7545   3.8480   4.2404   2.8836  
144     18.2017 0.3798  0.9638  0.0030  0.0072  0.0157  1.6722   1.6722   0.7989   3.8552   4.2348   2.7726  
145     18.3059 0.3748  0.9598  0.0031  0.0074  0.0167  1.6336   1.6336   0.7545   3.8480   4.2404   2.8836  
146     18.3099 0.3843  0.9810  0.0031  0.0074  0.0167  1.6336   1.6336   0.7545   3.8480   4.2404   2.8836  
147     18.1183 0.3839  0.9660  0.0029  0.0070  0.0149  1.7039   1.7039   0.8349   3.8612   4.2314   2.6827  
148     17.8812 0.3584  0.8880  0.0027  0.0065  0.0131  1.7957   1.7957   0.9334   3.8801   4.2310   2.4364  
149     18.0021 0.3811  0.9489  0.0028  0.0067  0.0140  1.7498   1.7498   0.8848   3.8706   4.2307   2.5583  
150     18.0519 0.3632  0.9172  0.0029  0.0068  0.0144  1.7269   1.7269   0.8599   3.8659   4.2310   2.6203  
151     18.1164 0.3795  0.9564  0.0029  0.0070  0.0149  1.7039   1.7039   0.8349   3.8612   4.2314   2.6827  
152     18.0500 0.3588  0.9078  0.0029  0.0068  0.0144  1.7269   1.7269   0.8599   3.8659   4.2310   2.6203  
153     17.6705 0.3476  0.8390  0.0025  0.0061  0.0116  1.8875   1.8875   1.0253   3.8981   4.2327   2.2066  
154     17.7207 0.3484  0.8478  0.0026  0.0062  0.0119  1.8646   1.8645   1.0028   3.8937   4.2323   2.2626  
155     17.6210 0.3450  0.8264  0.0025  0.0061  0.0113  1.9104   1.9104   1.0475   3.9023   4.2328   2.1513  
