metal log(age) E_BV dm
0.04700 9.02500 0.85944 12.40764
0.05700 9.02500 0.85944 12.40764
0.05300 9.02500 0.85944 12.40764
0.04100 9.04000 0.76557 12.29938
0.05300 9.06250 0.83477 12.13596
0.05300 9.11500 0.80327 12.09495
0.05300 9.10750 0.78005 12.16995
0.04700 8.89000 0.90450 12.80295
0.04900 9.02500 0.84347 12.24866
0.04300 8.95000 0.89833 12.57351
0.05700 9.03250 0.87045 12.24230
0.05300 9.07750 0.83104 12.33000
0.05300 9.07750 0.83104 12.33000
0.05300 9.07750 0.83104 12.33000
0.05300 9.07750 0.83104 12.33000
0.05300 9.10750 0.76320 12.22218
0.05300 9.00250 0.82674 12.34304
0.05300 9.02500 0.82797 12.49195
0.04500 9.01750 0.85935 12.38248
0.05300 9.02500 0.83563 12.46973
0.05300 9.02500 0.83563 12.46973
0.05300 9.02500 0.83563 12.46973
0.05300 9.02500 0.83563 12.46973
0.03900 9.01750 0.83650 12.47031
0.05900 9.11500 0.77551 12.15021
0.05900 9.02500 0.82747 12.49077
0.04900 9.02500 0.82747 12.49077
0.06000 8.89000 0.91046 12.79826
0.04700 9.08500 0.84948 12.19231
0.05900 8.96500 0.89649 12.55682
0.05300 8.96500 0.89649 12.55682
0.05300 9.09250 0.76824 12.08555
0.05300 9.06250 0.82204 12.39852
0.05300 9.06250 0.86819 12.03479
0.03700 9.12250 0.80693 12.05821
0.03700 8.95000 0.88709 12.60146
0.04700 8.95000 0.88785 12.60405
0.05300 9.13000 0.86566 12.05493
0.05300 8.95000 0.88933 12.60286
0.02900 9.16000 0.76801 12.03789
0.05700 8.89000 0.91435 12.79096
0.05300 8.89000 0.91435 12.79096
0.04900 9.11500 0.79012 12.13502
0.04900 9.05500 0.78502 12.09780
0.04900 9.09250 0.78213 12.21781
0.04900 9.06250 0.80014 12.40243
0.05300 9.06250 0.80014 12.40243
0.02900 9.06250 0.80014 12.40243
0.04900 9.06250 0.80014 12.40243
0.05700 9.09250 0.78501 12.20211
0.05100 9.10000 0.78174 12.14764
0.05100 9.13750 0.82463 12.13465
0.05100 9.06250 0.86829 12.03478
0.05300 9.06250 0.83330 12.39180
0.05300 9.14500 0.83815 12.11723
0.06000 9.09250 0.81731 12.11039
0.06000 9.09250 0.81731 12.11039
0.06000 9.10000 0.81852 12.02614
0.02900 9.09250 0.80235 12.21154
0.03700 9.14500 0.83815 12.11723
0.04700 8.89000 0.90014 12.81469
0.04100 8.89000 0.90014 12.81469
0.04900 8.89000 0.90014 12.81469
0.06000 8.89000 0.90014 12.81469
0.06000 8.89000 0.90014 12.81469
0.05900 8.89000 0.90014 12.81469
0.04300 9.10000 0.78444 12.16810
0.05300 9.01750 0.81657 12.50552
0.05100 9.11500 0.82767 12.05572
0.04900 9.04000 0.83714 12.33155
0.04900 9.04000 0.83714 12.33155
0.04900 9.01750 0.84934 12.43623
0.04900 9.01750 0.84934 12.43623
0.04900 9.01750 0.84934 12.43623
0.04900 9.07750 0.82201 12.39712
0.04900 9.08500 0.78675 12.15618
0.05300 9.02500 0.87056 12.37684
0.05300 9.01750 0.81657 12.50552
0.05700 9.01750 0.81657 12.50552
0.05700 9.01750 0.80163 12.53712
0.04300 8.89000 0.90943 12.79907
0.05300 9.04750 0.86782 12.48416
0.04300 9.08500 0.85059 12.14403
0.04300 9.03250 0.84163 12.32399
0.05700 9.13000 0.76980 12.31629
0.04900 9.00250 0.84726 12.27429
0.04900 9.11500 0.74956 12.17236
0.04900 9.12250 0.80570 12.13691
0.04900 9.12250 0.80570 12.13691
0.05300 9.12250 0.80570 12.13691
0.05300 9.06250 0.82272 12.37770
0.05300 9.06250 0.85072 12.32710
0.05300 9.09250 0.78052 12.21623
0.05300 9.09250 0.78052 12.21623
0.05300 9.09250 0.78052 12.21623
0.05300 9.09250 0.78052 12.21623
0.05300 9.01750 0.84472 12.44764
0.05300 9.09250 0.76881 12.17921
0.06000 9.13000 0.76445 12.27828
0.06000 9.12250 0.78332 12.13865
0.06000 9.12250 0.78332 12.13865
0.06000 9.02500 0.85987 12.36398
0.05700 9.11500 0.77414 12.20752
0.04700 8.95000 0.88687 12.60380
0.03100 8.95000 0.88687 12.60380
0.05700 8.95000 0.88687 12.60380
0.05700 9.06250 0.80700 12.40677
0.05700 9.09250 0.80321 12.08634
0.05700 9.09250 0.80321 12.08634
0.05300 9.10000 0.77596 12.16782
0.05300 9.10000 0.77596 12.16782
0.05900 9.10000 0.79511 12.11901
0.04300 9.02500 0.83979 12.46158
0.03700 9.15250 0.77717 12.04475
0.06000 9.03250 0.87938 12.19337
0.04500 9.04000 0.83488 12.29803
0.04500 9.10000 0.80834 12.07543
0.05300 9.10000 0.80834 12.07543
0.04900 9.10000 0.80834 12.07543
0.04700 9.10000 0.80834 12.07543
0.05300 9.04750 0.85838 12.46003
0.04900 9.09250 0.75614 12.21512
0.05700 9.10750 0.77865 12.21494
0.05300 9.10750 0.83907 12.12272
0.06000 9.07750 0.82264 12.37293
0.04900 9.14500 0.84249 12.09717
0.04900 9.14500 0.84249 12.09717
0.05300 9.14500 0.84249 12.09717
0.05300 9.06250 0.84054 12.11592
0.05300 9.09250 0.77925 12.19838
0.05300 9.07750 0.83997 12.36372
0.03900 9.11500 0.79246 12.16493
0.04700 9.06250 0.84296 12.05740
0.04700 8.89000 0.90446 12.80328
0.04700 9.11500 0.74831 12.16728
0.04900 9.07750 0.82439 12.38291
0.04900 9.07750 0.82425 12.38329
0.05300 9.07750 0.82425 12.38329
0.04700 8.90500 0.87501 12.58210
0.04700 9.12250 0.81296 12.14811
0.04700 9.09250 0.80855 12.14032
0.04700 9.09250 0.80855 12.14032
0.04700 9.11500 0.79960 12.15838
0.04700 9.03250 0.85965 12.23477
0.04700 8.99500 0.86439 12.63367
0.04700 9.07750 0.82330 12.38029
0.02700 8.89000 0.88391 12.87240
0.03900 9.10000 0.80436 12.08889
0.06000 9.00250 0.83823 12.32191
0.06000 9.00250 0.83823 12.32191
0.06000 8.95000 0.88632 12.60581
0.06000 8.96500 0.89464 12.55879
0.06000 8.96500 0.89464 12.55879
0.02300 8.96500 0.89464 12.55879
0.03700 9.01000 0.82526 12.42984
0.04900 9.01000 0.82526 12.42984
0.02900 9.06250 0.77973 12.51525
0.05300 9.10000 0.78511 12.15983
0.04700 9.10000 0.78511 12.15983
0.05300 9.01750 0.86895 12.38454
0.05300 9.02500 0.83943 12.45405
0.04700 9.10000 0.76702 12.21904
0.06000 9.10000 0.76702 12.21904
0.05300 9.10000 0.76702 12.21904
0.03100 9.10000 0.76702 12.21904
0.04900 9.01000 0.82213 12.46286
0.04900 9.11500 0.75227 12.26654
0.04900 9.12250 0.79311 12.13966
0.04900 8.95000 0.88252 12.62327
0.04900 8.89000 0.93029 12.76110
0.05900 9.09250 0.78752 12.10462
0.04300 9.06250 0.80648 12.43154
0.04300 9.06250 0.80648 12.43154
0.04700 9.06250 0.80648 12.43154
0.05300 9.09250 0.78429 12.13934
0.05300 9.09250 0.78429 12.13934
0.03300 9.09250 0.78429 12.13934
0.05900 8.96500 0.89395 12.55631
0.03900 8.96500 0.89395 12.55631
0.03900 8.96500 0.89395 12.55631
0.03900 8.96500 0.89395 12.55631
0.06000 9.03250 0.83052 12.31886
0.06000 9.02500 0.84967 12.43411
0.06000 9.02500 0.84967 12.43411
0.04900 9.02500 0.85298 12.41629
0.04900 9.02500 0.85298 12.41629
0.04900 9.02500 0.85298 12.41629
0.05700 9.02500 0.85298 12.41629
0.06000 9.02500 0.85298 12.41629
0.06000 9.02500 0.85298 12.41629
0.06000 9.02500 0.85298 12.41629
0.06000 9.13000 0.79809 12.15345
0.05300 9.06250 0.84296 12.05740
0.05300 9.11500 0.79243 12.13864
0.05300 9.12250 0.83892 12.07894
0.05300 9.04750 0.82662 12.53358
0.05900 8.96500 0.89430 12.55428
0.05900 9.10000 0.78543 12.16009
0.05300 9.16000 0.75246 12.09207
0.05300 9.06250 0.85473 12.03108
0.04900 9.04750 0.85855 12.48622
0.06000 9.04750 0.85855 12.48622
0.05500 9.10000 0.76454 12.22783
0.05300 9.04000 0.85280 12.24390
0.05300 9.04000 0.85280 12.24390
0.02700 9.13000 0.79728 12.20390
0.02700 9.13000 0.82997 12.07315
0.04900 9.06250 0.83167 12.09116
