metal log(age) E_BV dm
0.05700 9.05500 1.16406 12.00457
0.05700 9.05500 1.16454 12.01639
0.05700 9.05500 1.16397 12.01363
0.05700 9.05500 1.15948 12.00705
0.05700 9.05500 1.15852 12.00136
0.05700 8.86750 1.15812 12.00136
0.05700 9.05500 1.15862 12.00929
0.05700 9.05500 1.16124 12.00953
0.05700 9.05500 1.15852 12.00953
0.05700 9.05500 1.16106 12.00953
0.05700 9.05500 1.16106 12.00048
0.05700 9.05500 1.16151 12.00048
0.05700 9.05500 1.16151 12.00048
0.05700 9.05500 1.15851 12.00101
0.05700 9.05500 1.15919 12.00766
0.05700 9.05500 1.15694 12.00705
0.05700 9.05500 1.16144 12.00504
0.05700 9.05500 1.15976 12.00444
0.05700 9.05500 1.15165 12.00753
0.05700 9.05500 1.15946 12.00564
0.05700 9.05500 1.16151 12.00564
0.05700 9.05500 1.16261 12.00104
0.05700 9.05500 1.16042 12.00316
0.05700 9.05500 1.16008 12.00316
0.05700 9.05500 1.16101 12.00316
0.05700 9.05500 1.16110 12.02018
0.05700 9.05500 1.16266 12.01517
0.05700 8.89000 1.16031 12.00363
0.05700 9.05500 1.15932 12.00347
0.05700 9.05500 1.15916 12.00356
0.05700 9.05500 1.24106 12.00274
0.05700 9.05500 1.15610 12.00929
0.05700 9.05500 1.15868 12.00929
0.05700 9.05500 1.16044 12.00086
0.05700 9.05500 1.16044 12.00031
0.05900 9.05500 1.16044 12.00031
0.05700 9.05500 1.16043 12.00031
0.05700 9.05500 1.16043 12.00264
0.05700 9.05500 1.16043 12.00146
0.05700 9.05500 1.16040 12.00146
0.05700 9.05500 1.15625 12.02251
0.05700 9.05500 1.15625 12.02251
0.05700 9.05500 1.15740 12.00144
0.05700 9.05500 1.15740 12.00211
0.05700 9.05500 1.15854 12.00211
0.05700 9.05500 1.15919 12.00203
0.05700 9.05500 1.15599 12.00203
0.05700 9.05500 1.15599 12.00203
0.05700 9.05500 1.15227 12.01197
0.05700 9.05500 1.16357 12.00091
0.05700 9.05500 1.15916 12.00008
0.05700 8.86750 1.15921 12.00008
0.05700 9.05500 1.15927 12.00008
0.05700 9.05500 1.15898 12.00008
0.05700 9.05500 1.16048 12.00008
0.05700 9.05500 1.15989 12.00066
0.05700 9.05500 1.15977 12.00066
0.05700 9.05500 1.15984 12.00833
0.05700 9.05500 1.16076 12.01209
0.05700 9.05500 1.15954 12.00621
0.05700 9.05500 1.15954 12.01009
0.05700 8.86750 1.15793 12.01009
0.05700 9.05500 1.16503 12.00814
0.05700 9.05500 1.15711 12.00867
0.05700 9.05500 1.15986 12.01213
0.05700 9.05500 1.15938 12.00353
0.05700 9.05500 1.15938 12.00353
0.05700 9.05500 1.15632 12.00106
0.05700 9.05500 1.15960 12.02034
0.05700 9.05500 1.15960 12.00954
0.05700 9.05500 1.16039 12.00095
0.05700 9.05500 1.16010 12.00047
0.05700 9.05500 1.15907 12.00954
0.05700 9.05500 1.15880 12.00047
0.05700 9.05500 1.15880 12.00540
0.05700 9.05500 1.15765 12.00528
0.05700 9.05500 1.15765 12.00411
