#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.6745 0.0782  0.0111  0.0546  0.8720   0.8720   -0.5136  3.6929   4.6151   6.0541  
11      20.5194 0.1446  0.0091  0.0503  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
12      20.8429 0.1376  0.0134  0.0589  0.8477   0.8477   -0.5683  3.6851   4.6267   6.1908  
13      20.7027 0.2171  0.0111  0.0546  0.8720   0.8720   -0.5136  3.6929   4.6151   6.0541  
14      20.1957 0.0883  0.0065  0.0431  0.9480   0.9480   -0.3444  3.7168   4.5782   5.6311  
15      20.2067 0.1606  0.0065  0.0431  0.9480   0.9480   -0.3444  3.7168   4.5782   5.6311  
16      19.9540 0.1220  0.0052  0.0383  0.9901   0.9901   -0.2549  3.7289   4.5561   5.4074  
17      20.5248 0.1745  0.0091  0.0503  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
18      20.0293 0.0717  0.0056  0.0398  0.9761   0.9761   -0.2847  3.7249   4.5635   5.4820  
19      19.8803 0.1631  0.0048  0.0369  1.0041   1.0041   -0.2258  3.7327   4.5483   5.3344  
110     19.4167 0.0748  0.0035  0.0297  1.0882   1.0882   -0.0559  3.7541   4.4993   4.9100  
111     19.7981 0.1289  0.0045  0.0355  1.0181   1.0181   -0.1969  3.7365   4.5404   5.2620  
112     19.4880 0.0580  0.0037  0.0307  1.0742   1.0742   -0.0837  3.7507   4.5077   4.9793  
113     19.5674 0.1092  0.0038  0.0318  1.0602   1.0602   -0.1114  3.7473   4.5161   5.0485  
114     19.7869 0.0414  0.0045  0.0355  1.0181   1.0181   -0.1969  3.7365   4.5404   5.2620  
115     19.0447 0.0294  0.0029  0.0249  1.1622   1.1622   0.0852   3.7707   4.4528   4.5569  
116     19.0538 0.1073  0.0029  0.0249  1.1622   1.1622   0.0852   3.7707   4.4528   4.5569  
117     19.1807 0.0769  0.0031  0.0265  1.1357   1.1357   0.0349   3.7648   4.4695   4.6828  
118     19.3140 0.1005  0.0033  0.0282  1.1093   1.1093   -0.0154  3.7589   4.4862   4.8087  
119     18.5497 0.0195  0.0025  0.0197  1.2727   1.2727   0.2811   3.7930   4.3856   4.0674  
120     18.4404 0.0679  0.0024  0.0186  1.3008   1.3007   0.3274   3.7981   4.3693   3.9517  
121     18.4985 0.0754  0.0024  0.0191  1.2867   1.2867   0.3046   3.7956   4.3776   4.0088  
122     18.5599 0.1003  0.0025  0.0197  1.2727   1.2727   0.2811   3.7930   4.3856   4.0674  
123     18.3247 0.0532  0.0024  0.0177  1.3288   1.3288   0.3729   3.8031   4.3527   3.8378  
124     18.0639 0.0444  0.0023  0.0156  1.3994   1.3994   0.4768   3.8152   4.3197   3.5781  
125     18.3816 0.0535  0.0024  0.0181  1.3148   1.3148   0.3501   3.8006   4.3610   3.8948  
126     17.8122 0.0551  0.0022  0.0139  1.4712   1.4712   0.5789   3.8275   4.2887   3.3229  
127     17.9065 0.0386  0.0022  0.0145  1.4432   1.4432   0.5397   3.8227   4.3004   3.4210  
128     17.9701 0.0562  0.0022  0.0149  1.4259   1.4258   0.5151   3.8198   4.3079   3.4825  
129     17.5560 0.0059  0.0022  0.0123  1.5488   1.5488   0.6802   3.8412   4.2646   3.0696  
130     17.6273 0.0419  0.0022  0.0127  1.5273   1.5273   0.6535   3.8371   4.2691   3.1364  
131     17.1053 0.0016  0.0021  0.0100  1.7055   1.7056   0.8676   3.8728   4.2454   2.6008  
132     17.4029 0.0274  0.0021  0.0115  1.6016   1.6016   0.7449   3.8516   4.2558   2.9081  
133     16.9230 -0.0313 0.0021  0.0092  1.7745   1.7746   0.9431   3.8869   4.2436   2.4123  
134     17.0766 -0.0119 0.0021  0.0099  1.7154   1.7155   0.8786   3.8749   4.2450   2.5732  
135     16.7587 -0.0231 0.0021  0.0085  1.8445   1.8445   1.0164   3.9005   4.2417   2.2294  
136     16.4152 -0.0488 0.0021  0.0073  2.0033   2.0033   1.1705   3.9278   4.2326   1.8435  
137     16.3351 -0.0462 0.0021  0.0071  2.0453   2.0453   1.2092   3.9345   4.2294   1.7467  
138     16.1159 -0.0649 0.0021  0.0064  2.1640   2.1640   1.3140   3.9515   4.2176   1.4852  
139     15.7785 -0.0608 0.0021  0.0055  2.3768   2.3769   1.4896   3.9785   4.1902   1.0462  
140     15.8994 -0.0670 0.0021  0.0058  2.2958   2.2958   1.4243   3.9687   4.2012   1.2087  
141     15.5125 -0.0634 0.0021  0.0049  2.5635   2.5635   1.6338   3.9994   4.1628   0.6860  
142     15.2666 -0.0688 0.0021  0.0044  2.7434   2.7434   1.7658   4.0175   4.1324   0.3554  
143     14.8317 -0.0745 0.0021  0.0037  3.0684   3.0684   1.9922   4.0448   4.0637   -0.2106 
144     14.3489 -0.0881 0.0021  0.0030  3.4164   3.4164   2.2248   4.0655   3.9608   -0.7921 
145     13.3224 -0.0824 0.0021  0.0021  3.9947   3.9947   2.6128   4.0563   3.6040   -1.7623 
