metal log(age) mass
0.02700 8.40250 200.00000
0.03300 8.71750 200.00000
0.02100 8.71750 300.00000
0.05300 8.09500 100.00000
0.00700 8.14750 100.00000
0.03300 8.14750 100.00000
0.02500 8.56750 200.00000
0.00900 8.56000 300.00000
0.05500 8.56000 200.00000
0.05700 8.52250 200.00000
0.05700 8.56000 300.00000
0.05700 8.56000 200.00000
0.04100 7.32250 200.00000
0.05300 7.39000 200.00000
0.01700 7.39000 200.00000
0.04700 8.90500 200.00000
0.05300 8.94250 200.00000
0.04100 8.60500 200.00000
0.03900 8.60500 200.00000
0.03500 7.96000 300.00000
0.03500 8.69500 300.00000
0.03500 7.78000 200.00000
0.03500 7.11250 200.00000
0.04100 8.71000 200.00000
0.03500 7.95250 200.00000
0.00900 7.82500 300.00000
0.03500 8.80750 300.00000
0.05500 8.44750 200.00000
0.02900 8.57500 200.00000
0.05100 8.77750 200.00000
0.04300 8.77750 400.00000
0.00300 7.29250 200.00000
0.02700 7.83250 200.00000
0.05700 8.35000 200.00000
0.05700 7.31500 200.00000
0.01900 7.31500 200.00000
0.05500 7.66750 200.00000
0.02300 8.31250 200.00000
0.01900 9.12250 200.00000
0.01500 8.36500 200.00000
0.03300 7.97500 200.00000
0.03500 8.36500 200.00000
0.03500 8.36500 200.00000
0.03900 8.41750 200.00000
0.02500 7.68250 200.00000
0.05900 8.14000 200.00000
0.02900 8.24500 200.00000
0.00700 8.24500 200.00000
0.03300 8.54500 200.00000
0.03700 8.17000 200.00000
0.05100 8.17000 200.00000
0.05100 9.67750 200.00000
0.02100 8.74000 200.00000
0.01900 8.71750 200.00000
0.03300 8.61250 200.00000
0.03500 8.37250 200.00000
0.04100 7.27750 200.00000
0.04300 7.92250 200.00000
0.04100 8.03500 200.00000
0.05100 8.03500 200.00000
0.02300 7.41250 300.00000
0.02500 8.11750 200.00000
0.01300 7.80250 100.00000
0.04100 8.00500 200.00000
0.04500 8.44750 300.00000
0.03300 8.49250 200.00000
0.05500 7.72000 200.00000
0.05700 7.93750 200.00000
0.05300 8.74000 200.00000
0.03900 8.39500 200.00000
0.03500 7.36750 200.00000
0.04300 8.00500 200.00000
0.02900 8.67250 200.00000
