#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.7948 0.1316  0.0126  0.0575  0.8680   0.8680   -0.5320  3.6893   4.6176   6.1002  
11      20.7885 0.1027  0.0126  0.0575  0.8680   0.8680   -0.5320  3.6893   4.6176   6.1002  
12      20.6318 0.2945  0.0100  0.0523  0.8983   0.8983   -0.4646  3.6990   4.6035   5.9313  
13      20.0439 0.1303  0.0056  0.0399  0.9887   0.9887   -0.2668  3.7259   4.5556   5.4369  
14      20.0357 0.0721  0.0056  0.0399  0.9887   0.9887   -0.2668  3.7259   4.5556   5.4369  
15      20.1545 0.0725  0.0063  0.0423  0.9681   0.9681   -0.3102  3.7202   4.5668   5.5451  
16      20.2849 0.0958  0.0071  0.0450  0.9475   0.9474   -0.3556  3.7141   4.5783   5.6586  
17      19.5850 0.0797  0.0039  0.0321  1.0713   1.0713   -0.0990  3.7473   4.5084   5.0176  
18      19.4330 0.0718  0.0035  0.0299  1.1006   1.1006   -0.0416  3.7543   4.4902   4.8742  
19      19.8135 0.1360  0.0046  0.0357  1.0300   1.0300   -0.1819  3.7370   4.5328   5.2248  
110     19.6959 0.0816  0.0042  0.0339  1.0507   1.0507   -0.1405  3.7422   4.5206   5.1212  
111     19.2776 0.0697  0.0032  0.0277  1.1309   1.1309   0.0174   3.7614   4.4715   4.7268  
112     19.1520 0.0826  0.0030  0.0261  1.1564   1.1564   0.0661   3.7672   4.4555   4.6051  
113     19.1522 0.0840  0.0030  0.0261  1.1564   1.1564   0.0661   3.7672   4.4555   4.6051  
114     18.7727 0.0603  0.0026  0.0218  1.2390   1.2390   0.2141   3.7837   4.4041   4.2346  
115     18.6832 0.0500  0.0026  0.0209  1.2596   1.2596   0.2495   3.7877   4.3914   4.1462  
116     18.1902 0.0648  0.0023  0.0165  1.3861   1.3860   0.4474   3.8101   4.3246   3.6519  
117     18.2744 0.0626  0.0023  0.0172  1.3635   1.3634   0.4136   3.8061   4.3357   3.7364  
118     17.7965 0.0228  0.0022  0.0138  1.4984   1.4984   0.6035   3.8297   4.2810   3.2611  
119     18.0310 0.0089  0.0023  0.0154  1.4273   1.4273   0.5080   3.8172   4.3053   3.5002  
120     17.5769 0.0009  0.0022  0.0125  1.5671   1.5670   0.6915   3.8422   4.2625   3.0414  
121     17.4300 -0.0026 0.0021  0.0116  1.6146   1.6146   0.7514   3.8506   4.2492   2.8916  
122     16.9624 -0.0330 0.0021  0.0094  1.7847   1.7847   0.9458   3.8830   4.2276   2.4052  
123     16.6389 -0.0459 0.0021  0.0081  1.9231   1.9231   1.0872   3.9084   4.2202   2.0517  
124     16.8832 -0.0423 0.0021  0.0091  1.8164   1.8164   0.9793   3.8892   4.2264   2.3218  
125     16.1992 -0.0668 0.0021  0.0067  2.1421   2.1421   1.2898   3.9419   4.1986   1.5456  
126     16.0150 -0.0788 0.0021  0.0061  2.2453   2.2453   1.3786   3.9555   4.1848   1.3231  
127     15.6280 -0.0815 0.0021  0.0052  2.4929   2.4929   1.5786   3.9846   4.1462   0.8234  
128     15.2460 -0.0876 0.0021  0.0044  2.7604   2.7604   1.7806   4.0116   4.0967   0.3180  
129     14.6660 -0.0909 0.0021  0.0035  3.1666   3.1666   2.0701   4.0418   3.9877   -0.4049 
