#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.4093 0.5692  0.0086  0.0227  0.9608   0.9606   -0.1828  3.7296   4.4735   5.2267  
11      20.1819 0.5802  0.0067  0.0197  0.9936   0.9934   -0.0953  3.7389   4.4381   5.0086  
12      20.5838 0.5864  0.0105  0.0252  0.9371   0.9369   -0.2457  3.7224   4.4968   5.3841  
13      20.5459 0.5942  0.0099  0.0246  0.9429   0.9427   -0.2303  3.7242   4.4913   5.3456  
14      20.4621 0.5422  0.0092  0.0236  0.9518   0.9516   -0.2066  3.7269   4.4824   5.2861  
15      20.0904 0.5771  0.0061  0.0186  1.0067   1.0064   -0.0608  3.7423   4.4227   4.9223  
16      20.3463 0.5703  0.0080  0.0218  0.9697   0.9695   -0.1590  3.7322   4.4646   5.1673  
17      20.2427 0.5751  0.0071  0.0204  0.9847   0.9845   -0.1190  3.7365   4.4483   5.0680  
18      20.3286 0.6124  0.0077  0.0214  0.9744   0.9742   -0.1466  3.7336   4.4598   5.1364  
19      20.4156 0.5858  0.0086  0.0227  0.9608   0.9606   -0.1828  3.7296   4.4735   5.2267  
110     20.0809 0.5478  0.0061  0.0186  1.0067   1.0064   -0.0608  3.7423   4.4227   4.9223  
111     20.4726 0.5693  0.0092  0.0236  0.9518   0.9516   -0.2066  3.7269   4.4824   5.2861  
112     20.1251 0.5915  0.0063  0.0190  1.0023   1.0021   -0.0723  3.7412   4.4279   4.9509  
113     20.5390 0.5770  0.0099  0.0246  0.9429   0.9427   -0.2303  3.7242   4.4913   5.3456  
114     20.5705 0.5542  0.0105  0.0252  0.9371   0.9369   -0.2457  3.7224   4.4968   5.3841  
115     20.1279 0.5999  0.0063  0.0190  1.0023   1.0021   -0.0723  3.7412   4.4279   4.9509  
116     20.0872 0.5672  0.0061  0.0186  1.0067   1.0064   -0.0608  3.7423   4.4227   4.9223  
117     20.0916 0.5808  0.0061  0.0186  1.0067   1.0064   -0.0608  3.7423   4.4227   4.9223  
118     20.4335 0.6333  0.0086  0.0227  0.9608   0.9606   -0.1828  3.7296   4.4735   5.2267  
119     20.5460 0.5944  0.0099  0.0246  0.9429   0.9427   -0.2303  3.7242   4.4913   5.3456  
120     20.0852 0.5612  0.0061  0.0186  1.0067   1.0064   -0.0608  3.7423   4.4227   4.9223  
121     20.1826 0.5823  0.0067  0.0197  0.9936   0.9934   -0.0953  3.7389   4.4381   5.0086  
122     20.1705 0.5463  0.0067  0.0197  0.9936   0.9934   -0.0953  3.7389   4.4381   5.0086  
123     20.4684 0.5583  0.0092  0.0236  0.9518   0.9516   -0.2066  3.7269   4.4824   5.2861  
124     20.3561 0.5971  0.0080  0.0218  0.9697   0.9695   -0.1590  3.7322   4.4646   5.1673  
125     20.2099 0.5706  0.0069  0.0201  0.9891   0.9889   -0.1072  3.7377   4.4432   5.0383  
126     20.0896 0.5747  0.0061  0.0186  1.0067   1.0064   -0.0608  3.7423   4.4227   4.9223  
127     20.5574 0.6226  0.0099  0.0246  0.9429   0.9427   -0.2303  3.7242   4.4913   5.3456  
128     20.5775 0.5711  0.0105  0.0252  0.9371   0.9369   -0.2457  3.7224   4.4968   5.3841  
129     20.4833 0.5965  0.0092  0.0236  0.9518   0.9516   -0.2066  3.7269   4.4824   5.2861  
130     20.5355 0.5685  0.0099  0.0246  0.9429   0.9427   -0.2303  3.7242   4.4913   5.3456  
131     20.2157 0.5876  0.0069  0.0201  0.9891   0.9889   -0.1072  3.7377   4.4432   5.0383  
132     20.0542 0.5576  0.0059  0.0183  1.0110   1.0107   -0.0494  3.7434   4.4176   4.8938  
133     19.7060 0.5446  0.0044  0.0150  1.0624   1.0620   0.0838   3.7542   4.3492   4.5602  
134     19.5919 0.5436  0.0040  0.0141  1.0812   1.0808   0.1283   3.7567   4.3221   4.4491  
135     19.5127 0.5369  0.0038  0.0135  1.0949   1.0945   0.1588   3.7578   4.3015   4.3729  
136     19.5173 0.5530  0.0038  0.0135  1.0949   1.0945   0.1588   3.7578   4.3015   4.3729  
137     19.9044 0.5586  0.0051  0.0168  1.0329   1.0325   0.0082   3.7486   4.3898   4.7490  
138     19.9837 0.5610  0.0055  0.0176  1.0214   1.0211   -0.0221  3.7460   4.4048   4.8250  
139     19.4978 0.5609  0.0037  0.0133  1.0987   1.0983   0.1675   3.7580   4.2953   4.3511  
140     19.6535 0.5559  0.0042  0.0145  1.0713   1.0709   0.1055   3.7556   4.3366   4.5065  
141     19.4488 0.5412  0.0036  0.0130  1.1064   1.1059   0.1850   3.7585   4.2829   4.3076  
142     19.6628 0.5246  0.0042  0.0147  1.0684   1.0680   0.0984   3.7552   4.3407   4.5241  
143     19.7604 0.5499  0.0045  0.0155  1.0542   1.0538   0.0632   3.7527   4.3606   4.6117  
144     19.4958 0.5538  0.0037  0.0133  1.0987   1.0983   0.1675   3.7580   4.2953   4.3511  
145     19.8150 0.5503  0.0048  0.0159  1.0459   1.0455   0.0419   3.7512   4.3722   4.6647  
146     19.5188 0.5584  0.0038  0.0135  1.0949   1.0945   0.1588   3.7578   4.3015   4.3729  
147     19.9879 0.5746  0.0055  0.0176  1.0214   1.0211   -0.0221  3.7460   4.4048   4.8250  
148     19.4495 0.5436  0.0036  0.0130  1.1064   1.1059   0.1850   3.7585   4.2829   4.3076  
149     19.8520 0.5764  0.0049  0.0162  1.0415   1.0412   0.0306   3.7503   4.3781   4.6930  
150     19.4712 0.5436  0.0037  0.0132  1.1025   1.1021   0.1763   3.7583   4.2891   4.3293  
151     19.6715 0.5550  0.0042  0.0147  1.0684   1.0680   0.0984   3.7552   4.3407   4.5241  
152     19.8173 0.5580  0.0048  0.0159  1.0459   1.0455   0.0419   3.7512   4.3722   4.6647  
153     19.5712 0.5631  0.0039  0.0139  1.0858   1.0855   0.1386   3.7571   4.3151   4.4233  
154     19.7741 0.5069  0.0046  0.0157  1.0501   1.0498   0.0528   3.7520   4.3664   4.6374  
155     19.9441 0.5640  0.0053  0.0171  1.0273   1.0270   -0.0065  3.7473   4.3972   4.7858  
156     19.7282 0.5304  0.0045  0.0152  1.0583   1.0579   0.0735   3.7535   4.3549   4.5859  
157     19.5933 0.5486  0.0040  0.0141  1.0812   1.0808   0.1283   3.7567   4.3221   4.4491  
158     19.4493 0.5431  0.0036  0.0130  1.1064   1.1059   0.1850   3.7585   4.2829   4.3076  
159     19.9276 0.5723  0.0052  0.0170  1.0301   1.0298   0.0009   3.7479   4.3935   4.7674  
160     19.6153 0.5469  0.0041  0.0142  1.0772   1.0769   0.1194   3.7564   4.3280   4.4713  
161     19.4995 0.5670  0.0037  0.0133  1.0987   1.0983   0.1675   3.7580   4.2953   4.3511  
162     19.9770 0.6087  0.0054  0.0173  1.0245   1.0242   -0.0138  3.7467   4.4008   4.8042  
163     19.8713 0.5436  0.0050  0.0165  1.0372   1.0368   0.0193   3.7494   4.3840   4.7213  
164     19.4746 0.5557  0.0037  0.0132  1.1025   1.1021   0.1763   3.7583   4.2891   4.3293  
165     18.8391 0.5522  0.0027  0.0095  1.1842   1.1836   0.4299   3.7599   4.0730   3.6953  
166     19.4134 0.5579  0.0035  0.0127  1.1134   1.1130   0.2008   3.7588   4.2712   4.2679  
167     19.1568 0.5498  0.0031  0.0112  1.1533   1.1528   0.3020   3.7610   4.1938   4.0154  
168     18.7282 0.5662  0.0026  0.0091  1.2049   1.2042   0.4795   3.7510   3.9952   3.5716  
169     18.9774 0.5482  0.0029  0.0102  1.1704   1.1698   0.3726   3.7638   4.1408   3.8387  
170     18.8939 0.5495  0.0028  0.0098  1.1761   1.1754   0.4063   3.7635   4.1079   3.7545  
171     18.7218 0.5440  0.0026  0.0091  1.2049   1.2042   0.4795   3.7510   3.9952   3.5716  
172     19.2501 0.5469  0.0032  0.0117  1.1406   1.1401   0.2645   3.7601   4.2230   4.1089  
173     19.2546 0.5632  0.0032  0.0117  1.1406   1.1401   0.2645   3.7601   4.2230   4.1089  
174     19.1597 0.5602  0.0031  0.0112  1.1533   1.1528   0.3020   3.7610   4.1938   4.0154  
175     19.3899 0.5449  0.0035  0.0126  1.1169   1.1165   0.2086   3.7590   4.2654   4.2484  
176     19.0063 0.5560  0.0029  0.0103  1.1694   1.1688   0.3623   3.7630   4.1474   3.8644  
