#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.8397 0.2962  0.0128  0.0579  0.8475   0.8475   -0.5689  3.6850   4.6270   6.1926  
11      20.4875 0.1675  0.0088  0.0494  0.8980   0.8980   -0.4560  3.7011   4.6028   5.9104  
12      20.4943 0.2058  0.0088  0.0494  0.8980   0.8980   -0.4560  3.7011   4.6028   5.9104  
13      20.4979 0.2262  0.0088  0.0494  0.8980   0.8980   -0.4560  3.7011   4.6028   5.9104  
14      20.8285 0.2455  0.0128  0.0579  0.8475   0.8475   -0.5689  3.6850   4.6270   6.1926  
15      20.0890 0.1689  0.0058  0.0408  0.9616   0.9616   -0.3159  3.7206   4.5713   5.5600  
16      20.3267 0.2165  0.0073  0.0455  0.9243   0.9243   -0.3973  3.7094   4.5901   5.7637  
17      19.8387 0.1134  0.0047  0.0363  1.0034   1.0034   -0.2277  3.7325   4.5490   5.3390  
18      19.8378 0.1062  0.0047  0.0363  1.0034   1.0034   -0.2277  3.7325   4.5490   5.3390  
19      20.1644 0.1244  0.0063  0.0424  0.9476   0.9476   -0.3455  3.7167   4.5787   5.6342  
110     20.0040 0.1479  0.0054  0.0392  0.9755   0.9755   -0.2863  3.7246   4.5640   5.4858  
111     19.9162 0.1041  0.0050  0.0377  0.9895   0.9895   -0.2567  3.7286   4.5567   5.4116  
112     19.3904 0.1333  0.0034  0.0292  1.0872   1.0872   -0.0587  3.7539   4.5003   4.9164  
113     19.4611 0.1118  0.0036  0.0302  1.0732   1.0732   -0.0863  3.7505   4.5087   4.9856  
114     19.4628 0.1257  0.0036  0.0302  1.0732   1.0732   -0.0863  3.7505   4.5087   4.9856  
115     19.6902 0.1586  0.0042  0.0337  1.0314   1.0313   -0.1703  3.7399   4.5333   5.1956  
116     19.6088 0.1215  0.0040  0.0324  1.0453   1.0453   -0.1416  3.7436   4.5254   5.1240  
117     19.1541 0.0870  0.0030  0.0262  1.1335   1.1335   0.0300   3.7643   4.4713   4.6950  
118     19.2868 0.1102  0.0032  0.0278  1.1071   1.1071   -0.0201  3.7585   4.4879   4.8200  
119     19.0196 0.0474  0.0029  0.0246  1.1598   1.1598   0.0801   3.7702   4.4547   4.5700  
120     18.8281 0.1026  0.0027  0.0224  1.2012   1.2012   0.1572   3.7791   4.4287   4.3770  
121     18.6984 0.0494  0.0026  0.0211  1.2291   1.2291   0.2066   3.7846   4.4115   4.2531  
122     18.5846 0.0846  0.0025  0.0199  1.2570   1.2570   0.2542   3.7900   4.3951   4.1340  
123     18.7663 0.1012  0.0026  0.0217  1.2152   1.2152   0.1819   3.7819   4.4201   4.3150  
124     18.6988 0.0531  0.0026  0.0211  1.2291   1.2291   0.2066   3.7846   4.4115   4.2531  
125     18.2334 0.0609  0.0023  0.0169  1.3426   1.3426   0.3940   3.8054   4.3456   3.7844  
126     18.3506 0.0466  0.0024  0.0179  1.3128   1.3128   0.3464   3.8002   4.3627   3.9036  
127     18.1396 0.0705  0.0023  0.0162  1.3689   1.3689   0.4322   3.8099   4.3339   3.6893  
128     17.9459 0.0449  0.0022  0.0148  1.4216   1.4216   0.5084   3.8190   4.3104   3.4990  
129     17.7824 0.0574  0.0022  0.0137  1.4688   1.4687   0.5748   3.8271   4.2904   3.3325  
130     17.8786 0.0530  0.0022  0.0143  1.4408   1.4408   0.5359   3.8224   4.3020   3.4302  
131     17.5933 0.0205  0.0022  0.0126  1.5246   1.5246   0.6492   3.8367   4.2708   3.1472  
132     17.4568 0.0175  0.0021  0.0118  1.5698   1.5698   0.7052   3.8454   4.2620   3.0073  
133     17.2984 0.0028  0.0021  0.0110  1.6224   1.6224   0.7695   3.8557   4.2534   2.8466  
134     17.3004 0.0133  0.0021  0.0110  1.6224   1.6224   0.7695   3.8557   4.2534   2.8466  
135     17.0156 -0.0022 0.0021  0.0096  1.7256   1.7257   0.8887   3.8771   4.2464   2.5482  
136     16.9455 0.0011  0.0021  0.0093  1.7535   1.7536   0.9192   3.8828   4.2459   2.4718  
137     16.6216 -0.0365 0.0021  0.0080  1.8882   1.8882   1.0588   3.9088   4.2425   2.1232  
138     16.4949 -0.0536 0.0021  0.0076  1.9453   1.9453   1.1145   3.9188   4.2397   1.9843  
139     16.2984 -0.0553 0.0021  0.0070  2.0451   2.0451   1.2073   3.9349   4.2331   1.7514  
140     16.0958 -0.0602 0.0021  0.0064  2.1567   2.1567   1.3056   3.9512   4.2229   1.5058  
141     15.8699 -0.0584 0.0021  0.0057  2.2962   2.2962   1.4222   3.9695   4.2071   1.2148  
142     15.7488 -0.0651 0.0021  0.0055  2.3761   2.3761   1.4859   3.9792   4.1969   1.0556  
143     15.7039 -0.0641 0.0021  0.0054  2.4071   2.4071   1.5104   3.9829   4.1928   0.9943  
144     15.3023 -0.0790 0.0021  0.0045  2.6971   2.6970   1.7272   4.0142   4.1505   0.4518  
145     14.9951 -0.0808 0.0021  0.0040  2.9312   2.9312   1.8916   4.0359   4.1089   0.0406  
146     14.6013 -0.0843 0.0021  0.0034  3.2341   3.2341   2.0941   4.0588   4.0405   -0.4648 
147     14.0357 -0.0888 0.0021  0.0027  3.6451   3.6452   2.3593   4.0782   3.9054   -1.1282 
148     13.2688 -0.0825 0.0021  0.0020  4.0746   4.0746   2.6418   4.0677   3.6290   -1.8344 
