metal log(age) E_BV dm mass
0.01911 9.71796 0.83178 13.88807 2790.77242
0.01911 9.59851 0.83067 13.88807 2790.77242
0.01480 9.59851 0.85175 13.68765 2790.77242
0.01480 9.59801 0.82237 13.68765 2790.77242
0.01567 9.73933 0.84538 13.79633 2006.98318
0.01567 9.73933 0.84487 13.79633 3055.23996
0.01567 9.71981 0.84487 13.70583 2563.05796
0.01368 9.74057 0.83324 13.68500 3139.60002
0.01368 9.70733 0.83324 13.73471 3139.60002
0.01679 9.70733 0.82780 13.56998 2950.12433
0.01631 9.55661 0.82780 13.57274 1024.28683
0.01631 9.64876 0.82780 13.57274 2561.71882
0.01352 9.66886 0.82780 13.84846 2561.71882
0.01793 9.62280 0.82314 13.84846 2806.49047
0.01609 9.66633 0.82314 13.67974 2806.49047
0.01970 9.55279 0.85042 13.88000 2982.61428
0.01997 9.80446 0.82585 13.60609 2563.05796
0.01542 9.59052 0.82585 13.60609 3436.37045
0.01542 9.65406 0.84422 13.60609 3608.36321
0.01413 9.65406 0.84422 13.60609 3139.45620
0.02163 9.65406 0.84422 13.84938 5944.87203
0.02007 9.61145 0.84422 13.84938 2561.71882
0.01402 9.61145 0.85325 13.84938 2561.71882
0.01402 9.61145 0.83833 13.49808 2561.71882
0.01061 9.69604 0.85224 13.49808 2561.71882
0.01061 9.69604 0.83178 13.90111 2561.71882
0.01467 9.60728 0.84186 13.68850 4487.85083
0.01598 9.70456 0.84652 13.87127 4487.85083
0.01959 9.55273 0.84652 13.87127 4487.85083
0.01502 9.55273 0.81446 13.64863 966.89001
0.02163 9.66499 0.81446 13.82258 3055.23996
0.01471 9.55803 0.81446 13.82258 3608.36321
0.01609 9.55803 0.83833 13.82258 2806.49047
0.01631 9.61169 0.83833 13.68850 2577.46445
0.01631 9.62452 0.83833 13.68850 2577.46445
0.01631 9.73933 0.83833 13.60854 2577.46445
0.01357 9.73933 0.85012 13.69028 5940.84483
0.01631 9.75301 0.83573 13.69028 3098.83999
0.01502 9.56426 0.83404 13.84976 3092.15559
0.01681 9.56426 0.82456 13.84976 3092.15559
0.01681 9.67369 0.82933 13.64580 3285.55347
0.01670 9.63735 0.83425 13.88000 911.24048
0.01638 9.63735 0.83425 13.88000 3581.86678
0.01638 9.55273 0.83425 13.88000 1886.20257
0.01973 9.56096 0.83425 13.88000 1886.20257
0.01972 9.59435 0.83424 13.83393 1886.20257
0.01603 9.54113 0.83940 13.83393 3525.36655
0.01603 9.56552 0.83878 13.67286 2806.49047
0.00701 9.80446 0.83878 13.82092 3529.42246
0.00701 9.80446 0.83324 13.82092 3529.42246
0.01420 9.57452 0.83324 13.79464 3529.42246
0.01972 9.52253 0.83554 13.79464 3529.42246
0.01356 9.69260 0.82325 13.79464 3010.25654
0.01356 9.66758 0.83297 13.70138 1460.65373
0.01356 9.66758 0.84898 13.61246 3293.06655
0.01795 9.66758 0.83843 13.53788 3591.49310
0.02066 9.66758 0.84366 13.65342 2090.52556
0.02163 9.66758 0.84366 13.65342 2090.52556
0.02163 9.66758 0.84760 13.84876 2090.52556
0.01077 9.66758 0.85325 13.90174 5673.29732
0.01028 9.66758 0.83428 13.90174 2262.49411
0.01631 9.56636 0.85175 13.90174 2627.38470
0.02149 9.56636 0.85175 13.90174 1691.62317
0.02149 9.56636 0.83554 13.90174 5940.84483
0.02149 9.56636 0.83554 13.50155 3391.76197
0.02106 9.66633 0.83376 13.72468 3237.36011
0.01970 9.66633 0.82848 13.95627 3011.10605
0.01226 9.55958 0.84575 13.45810 2420.18924
0.01628 9.55958 0.84575 13.81348 4456.77713
0.01207 9.55958 0.84575 13.56877 4456.77713
0.01207 9.63002 0.83178 13.46423 4456.77713
0.01973 9.63002 0.82807 13.63298 4456.77713
0.01542 9.63002 0.84440 13.63298 4456.77713
0.01542 9.63002 0.84474 13.63298 4456.77713
0.01642 9.59863 0.84440 13.63298 4456.77713
0.02102 9.66368 0.82526 13.63298 2262.49411
0.02102 9.66368 0.83580 13.88807 2782.58488
0.01665 9.59171 0.82932 13.88807 2627.38470
0.01665 9.55796 0.83580 13.88807 3830.35065
0.01402 9.55796 0.83265 13.88807 1691.62317
0.01653 9.52234 0.85042 13.88807 2013.94172
0.01261 9.52234 0.85580 13.58787 2013.94172
0.01619 9.52234 0.83327 13.58787 3165.72367
0.01619 9.56534 0.83327 13.83650 3165.72367
0.01111 9.56534 0.84191 13.67046 3165.72367
0.01686 9.56534 0.84713 13.56998 3165.72367
0.01280 9.66368 0.84279 13.56998 3165.72367
0.01280 9.66368 0.82807 13.56998 3165.72367
0.01506 9.66368 0.82807 13.53731 3165.72367
0.01506 9.66368 0.83428 13.56998 2714.23329
0.01772 9.72728 0.83428 13.56998 2262.49411
0.01772 9.72728 0.83924 13.64109 3020.43217
0.01982 9.52253 0.83924 13.70582 1030.91683
0.01795 9.52253 0.83924 13.70582 1886.20257
0.01795 9.63447 0.83924 13.61246 1885.64179
0.01699 9.63447 0.83924 13.59714 1885.64179
0.01871 9.63447 0.82976 13.67882 1885.64179
0.01972 9.63447 0.82976 13.67882 1885.64179
0.01972 9.63447 0.82976 13.87118 1885.64179
0.02088 9.76776 0.82976 13.87118 1885.64179
0.02088 9.52558 0.82325 13.87118 1885.64179
0.02088 9.52558 0.82101 13.63299 1885.64179
