metal log(age) mass
0.00700 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.80490 2000.00000
0.01100 9.79740 2000.00000
0.01100 9.99240 1500.00000
0.00700 9.99240 2000.00000
0.00700 9.94740 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2800.00000
0.01100 9.99240 1500.00000
0.01100 9.99240 1500.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00500 9.99240 2000.00000
0.01100 9.80490 2700.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 2000.00000
0.00700 9.97740 2700.00000
0.00700 9.97740 2700.00000
0.00900 9.79740 1500.00000
0.00900 9.79740 3000.00000
0.00900 9.80490 3000.00000
0.01100 9.80490 2000.00000
0.01100 9.94740 2000.00000
0.00500 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00700 9.80490 2000.00000
0.00700 9.97740 2800.00000
0.00700 9.79740 2000.00000
0.00700 9.94740 2000.00000
0.00700 9.80490 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.78990 2000.00000
0.00700 9.78990 2000.00000
0.00700 9.79740 2000.00000
0.00900 9.99240 3000.00000
0.00700 9.99240 3000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2800.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 3000.00000
0.00900 9.99240 2000.00000
0.00700 9.99240 3000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 2600.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.94740 1300.00000
0.01100 9.94740 1300.00000
0.01100 9.79740 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 3100.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00900 9.99240 2800.00000
0.00900 9.94740 2000.00000
0.00900 9.99240 2000.00000
0.00700 9.99240 2700.00000
0.00700 9.99240 3000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00300 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00300 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00900 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00900 9.99240 2000.00000
0.00500 9.80490 2000.00000
0.00700 9.99240 2700.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 2100.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 3100.00000
0.00300 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.80490 2000.00000
0.00700 9.79740 2000.00000
0.00500 9.79740 2000.00000
0.00500 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00300 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.96990 1500.00000
0.00700 9.99240 3000.00000
0.00700 9.99240 2700.00000
0.00700 9.99240 2000.00000
0.00500 9.97740 2000.00000
0.01100 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00300 9.99240 2000.00000
0.00300 9.79740 3000.00000
0.00300 9.80490 2000.00000
0.01100 9.80490 3100.00000
0.00700 9.94740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.01100 9.94740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00900 9.99240 2000.00000
0.01100 9.99240 2800.00000
0.01100 9.99240 2700.00000
0.01100 9.99240 1500.00000
0.00500 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.01100 9.94740 3000.00000
0.01100 9.79740 3000.00000
0.01100 9.79740 2800.00000
0.01100 9.79740 3000.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.01100 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.94740 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.94740 2000.00000
0.00900 9.99240 2000.00000
0.00300 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00500 9.95490 2000.00000
0.00500 9.96990 2000.00000
0.00500 9.79740 2000.00000
0.00700 9.88740 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.88740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.78990 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 1500.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.79740 2000.00000
0.01100 9.79740 2800.00000
0.01100 9.99240 1300.00000
0.00500 9.99240 2800.00000
0.00900 9.99240 2800.00000
0.00700 9.99240 1500.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 3000.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 3000.00000
0.01100 9.99240 3000.00000
0.00300 9.99240 1300.00000
0.00300 9.99240 2800.00000
0.00700 9.99240 1500.00000
0.00500 9.99240 1500.00000
0.00300 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00500 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.80490 2000.00000
0.00700 9.80490 2000.00000
0.00700 9.94740 2800.00000
0.00700 9.99240 1700.00000
0.00700 9.80490 3000.00000
0.00700 9.79740 2000.00000
0.00900 9.79740 2000.00000
0.00700 9.99240 2800.00000
0.00700 9.99240 1700.00000
0.00700 9.80490 1500.00000
0.00700 9.80490 1300.00000
0.00700 9.94740 2800.00000
0.00300 9.79740 2700.00000
0.01100 9.79740 1500.00000
0.00700 9.79740 2000.00000
0.01100 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 3000.00000
0.00700 9.79740 3000.00000
0.00700 9.99240 2700.00000
0.01100 9.80490 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00300 9.79740 2800.00000
0.00700 9.99240 2800.00000
0.00700 9.99240 3000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.88740 2000.00000
0.00300 9.99240 2000.00000
0.00700 9.79740 2800.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 1300.00000
0.00700 9.94740 2700.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00500 9.94740 2000.00000
0.00500 9.80490 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.01100 9.94740 2700.00000
0.01100 9.94740 1500.00000
0.00700 9.79740 3000.00000
0.00700 9.94740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2600.00000
0.00700 9.79740 2800.00000
0.01100 9.99240 2000.00000
0.01100 9.99240 2600.00000
0.01100 9.99240 2000.00000
0.00900 9.79740 2000.00000
0.01100 9.79740 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.91740 2000.00000
0.00700 9.79740 2800.00000
0.00700 9.99240 2000.00000
0.00700 9.79740 1300.00000
0.00700 9.79740 3000.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.94740 3000.00000
0.00700 9.99240 2700.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00900 9.99240 2000.00000
0.00900 9.99240 2700.00000
0.00700 9.99240 2700.00000
0.00700 9.80490 2800.00000
0.00700 9.80490 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2800.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 2700.00000
0.00700 9.99240 2800.00000
0.00700 9.99240 2000.00000
0.01100 9.79740 2000.00000
0.00300 9.99240 2000.00000
0.00900 9.79740 2000.00000
0.01100 9.79740 3000.00000
0.00500 9.99240 2800.00000
0.01100 9.99240 2800.00000
0.01100 9.99240 2000.00000
0.00700 9.99240 3000.00000
0.01100 9.99240 1300.00000
0.00700 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00900 9.99240 2800.00000
0.00900 9.99240 1500.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 2000.00000
0.00700 9.91740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.80490 1300.00000
0.00700 9.99240 2700.00000
0.00700 9.99240 1300.00000
0.00700 9.99240 2800.00000
0.00700 9.79740 2800.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.97740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.80490 2000.00000
0.01100 9.78990 1500.00000
0.00500 9.97740 1500.00000
0.00700 9.78990 1300.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 1500.00000
0.00700 9.79740 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2800.00000
0.01100 9.99240 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.79740 2000.00000
0.00700 9.80490 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 3100.00000
0.00700 9.99240 1500.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2800.00000
0.01100 9.99240 1500.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00900 9.79740 2000.00000
0.00300 9.79740 2000.00000
0.00700 9.79740 2000.00000
0.01100 9.99240 2000.00000
0.00700 9.97740 2000.00000
0.01100 9.91740 2000.00000
0.00700 9.99240 2000.00000
0.01100 9.79740 2000.00000
0.00900 9.88740 2000.00000
0.00900 9.99240 2000.00000
0.00700 9.99240 2000.00000
0.00700 9.99240 1500.00000
0.00300 9.99240 2000.00000
0.00700 9.79740 2000.00000
