_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.489231 -0.008166 -0.489163 181.0 "Gaia DR2 2945894536201559296" 101.4614554886 1.0636 -17.23916879423 1.1682 1635721458409799680 2945894536201559296 973877662 2015.5 -3.3540 1.5680 -2.1390 -1.278 3.327 1.840 3.234 0.2159 0.1095 0.1011 -0.0047 0.3365 -0.1900 0.0712 -0.5505 0.1401 0.0381 77 0 77 0 -0.0165 71.14 0.0 0.0 31 0 0.0238 1.6353 0.3576 -0.095 9 8 3.0023 0 9 0 78 91.39 1.469 62.224 20.786177061645756 0.017541504866838 4 170.4 38.37 4.440 19.7727 0.2445 4 148.4 28.28 5.248 19.3332 0.2069 3.489 1 0.4395571175505637 -1.013450998832738 1.4530 "" "" 0 "" "" "" NOT_AVAILABLE 227.7804721859 -8.96749054165 104.36734167934 -40.10851512871 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.461461248 51.5817 -17.239176715 50.1466 0.3202972515869598 0.24513971956655267 5.2960
0.499634 -0.009944 -0.499535 181.1 "Gaia DR2 2945894501841846272" 101.45959362956 0.6765 -17.24954079352 0.7809 1635721458409799680 2945894501841846272 1302392295 2015.5 0.7239 0.8649 0.8369 1.547 1.478 2.531 1.785 0.0536 0.3365 -0.2341 -0.0924 0.1435 -0.1803 -0.1870 -0.1573 0.1760 -0.1811 139 0 139 0 1.4704 158.79 1.945 1.2 31 0 0.0326 1.4560 0.1964 -0.157 16 10 1.6183 0 16 0 138 145.0 1.159 125.088 20.28512979345536 0.008864279334491597 7 120.3 37.7 3.191 20.1505 0.3402 7 170.3 12.44 13.691 19.1842 0.0793 2.004 0 0.9664369822462682 -0.1345743488204505 1.1009 "" "" 0 "" "" "" NOT_AVAILABLE 227.7891484219 -8.97359737362 104.36643062766 -40.11901535717 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.459586657 22.925 -17.2495516893 27.6743 0.34934151014430165 0.3403313228952749 2.7166
0.510472 -0.103355 -0.4999 191.7 "Gaia DR2 2945896151112990976" 101.36178491483 0.0904 -17.24987748069 0.119 1635721458409799680 2945896151112990976 456328951 2015.5 0.4380 0.1207 3.6291 -0.265 0.200 1.556 0.265 -0.1557 0.1403 0.0376 0.2425 -0.1632 0.2031 0.0065 0.0823 0.2159 -0.2253 169 0 167 2 1.0432 180.79 0.0 0.0 31 0 1.3081 1.5088 0.0250 -0.229 19 11 0.24509 0 19 0 159 1636.0 2.878 568.36 17.654074457954007 0.002624732198028068 17 847.9 14.81 57.232 18.0305 0.0190 18 1293 15.85 81.608 16.9826 0.0133 1.309 0 1.0479449860388783 0.3764383660628994 0.6714 "" "" 0 "" "" "" NOT_AVAILABLE 227.74839303822 -9.05788984533 104.24496517492 -40.12896376289 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.361786112 3.1029 -17.2498841804 4.1056 0.023290396849869964 0.01920198828170669 9.9013
0.515216 -0.124622 -0.499917 194.0 "Gaia DR2 2945896799649300736" 101.33951618724 0.3303 -17.24988121371 0.432 1635721458409799680 2945896799649300736 217066068 2015.5 0.2639 0.4436 0.5950 -1.091 0.769 -0.507 1.023 -0.0305 0.1627 0.1126 0.2741 -0.0147 0.2522 0.0787 0.0344 0.2894 -0.1473 173 0 172 1 4.4853 262.21 1.286 1.7 31 0 0.0945 1.5939 0.0888 -0.208 20 11 0.91756 0 20 0 161 278.1 1.503 184.987 19.57797566550585 0.006138917864591551 17 185.1 16.61 11.141 19.6831 0.0975 14 272.6 12.37 22.033 18.6731 0.0493 1.646 0 1.009974547678734 0.10508422911660631 0.9048 "" "" 0 "" "" "" NOT_AVAILABLE 227.73905085341 -9.07705180028 104.21729660215 -40.13114507153 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.339521107 11.9227 -17.2498790311 15.8574 0.10922603214903799 0.0976537026766852 10.1291
0.492565 -0.073805 -0.487004 188.6 "Gaia DR2 2945897662941468928" 101.39273082112 0.7957 -17.23699592822 1.0168 1635721458409799680 2945897662941468928 720140093 2015.5 2.5064 1.3718 1.8271 -7.486 3.097 -6.092 3.599 0.202 0.2179 -0.0871 0.0291 0.2282 -0.0561 -0.0802 -0.6128 -0.4020 0.5875 95 0 95 0 1.5219 111.23 0.0 0.0 31 0 0.0294 1.8206 0.2687 -0.051 11 7 3.7591 0 12 0 90 101.5 1.683 60.301 20.672662864843716 0.018094397134751784 5 178.9 28.64 6.247 19.7199 0.1738 4 148.1 10.73 13.799 19.3354 0.0787 3.223 0 0.38450840827548305 -0.9527886792201805 1.3372 "" "" 0 "" "" "" NOT_AVAILABLE 227.7496322457 -9.02567284331 104.28168244253 -40.11311739597 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.392764566 48.0133 -17.2369697005 55.7954 0.19080868922973715 0.1747597953538241 2.8461
0.475911 0.005106 -0.475884 179.4 "Gaia DR2 2945897869096145024" 101.47535188309 2.3033 -17.22588973462 2.7413 1635721458409799680 2945897869096145024 201070012 2015.5 "" "" "" "" "" "" "" -0.6922 "" "" "" "" "" "" "" "" "" 60 0 60 0 4.697 119.31 3.957 2.7 3 0 0.0173 "" "" -0.251 7 6 8.2243 0 7 0 61 109.3 3.062 35.693 20.591948926000793 0.030470516000763764 0 "" "" "" "" "" 0 "" "" "" "" "" "" 1 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 227.77420084486 -8.94976713746 104.38280555551 -40.09393489731 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.475351883 2.3033 -17.2258897346 2.7413 "" "" 2.7209
0.452168 -0.090585 -0.443001 191.6 "Gaia DR2 2945898728091835136" 101.37518514111 0.4774 -17.19298521363 0.4887 1635721458409799680 2945898728091835136 852096119 2015.5 0.3667 0.5426 0.6758 0.722 0.891 3.039 1.215 0.2686 0.3333 0.3937 0.4320 0.1437 0.3558 0.2100 0.3055 0.3838 0.1306 117 0 117 0 2.5859 154.5 1.347 1.7 31 0 0.0977 1.7030 0.1257 -0.095 13 9 1.1277 0 13 0 116 314.9 2.207 142.641 19.443140734857288 0.007821640362095688 8 520.2 44.56 11.675 18.5609 0.0930 7 832.6 115 7.239 17.4608 0.1500 4.297 0 1.1001756447324524 -0.8822082855896198 1.9823 "" "" 0 "" "" "" NOT_AVAILABLE 227.70212137935 -9.02166353055 104.25398601332 -40.07105915934 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.375181886 13.813 -17.192998299 18.8442 0.17649159170459472 0.09333873794957531 3.6764
0.427088 -0.050647 -0.424074 186.8 "Gaia DR2 2945899037329477248" 101.41699607564 9.581 -17.17407300669 13.5518 1635721458409799680 2945899037329477248 717286880 2015.5 "" "" "" "" "" "" "" 0.9274 "" "" "" "" "" "" "" "" "" 44 0 44 0 0.5194 43.05 0.0 0.0 3 0 0.0234 "" "" 0.299 5 4 7687.8 0 5 0 44 92.9 2.375 39.113 20.768302295105787 0.027817290399442217 5 270.2 36.14 7.477 19.2721 0.1452 4 166.4 15.15 10.980 19.2091 0.0989 4.700 0 0.06291888454153849 -1.496236242331495 1.5591 "" "" 0 "" "" "" NOT_AVAILABLE 227.7024357902 -8.97746908668 104.30336224293 -40.04814498744 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.416996076 9.581 -17.1740730067 13.5518 0.17569193605460492 0.14785125146187503 13.6354
0.434187 -0.048917 -0.431423 186.5 "Gaia DR2 2945898968606911488" 101.41880480215 0.7656 -17.18142217999 1.387 1635721458409799680 2945898968606911488 603285329 2015.5 4.5350 1.4239 3.1849 8.104 1.793 4.130 2.354 -0.138 0.2420 0.1719 -0.1567 -0.5291 -0.2311 0.2607 -0.0512 0.1717 -0.2779 94 0 94 0 2.1085 119.39 2.168 1.4 31 0 0.0308 1.0409 0.2123 -0.185 11 8 2.2176 0 11 0 94 184.1 2.941 62.585 20.025942426006974 0.017441198115589477 8 515.7 111.8 4.612 18.5705 0.2354 8 349 43.8 7.968 18.4048 0.1363 4.698 0 0.16566507747435466 -1.4554720557846963 1.6211 "" "" 0 "" "" "" NOT_AVAILABLE 227.70989751036 -8.97910469875 104.30659545472 -40.0552774009 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.41876828 27.806 -17.1814399615 36.5114 0.2720322833770933 0.23608479772494823 9.2184
0.395879 -0.051607 -0.392501 187.5 "Gaia DR2 2945899380923737344" 101.41600049296 0.2835 -17.14250010891 0.3448 1635721458409799680 2945899380923737344 1392942926 2015.5 0.0904 0.3609 0.2505 -1.397 0.598 1.810 0.798 -0.0322 0.0217 0.1183 0.2137 -0.0948 0.1947 0.0939 0.0472 0.2708 -0.2361 150 0 147 3 0.1297 143.52 0.0 0.0 31 0 0.1566 1.5283 0.0884 -0.197 17 11 0.72719 0 18 0 146 374.4 1.819 205.785 19.25503139023806 0.005574604057364475 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 227.67322678808 -8.9646109221 104.29788617425 -40.0168372846 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 101.416006787 9.2802 -17.1425079025 12.3804 "" "" 2.1293
