#ID           G   (iP1-zP1)   (gP1-rP1)   e_G   e_(iP1-zP1)   e_(gP1-rP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.0122 0.0521  0.6486  0.0054  0.0398  0.0467  0.9873   0.9873   -0.2533  3.7300   4.5575   5.4032  
11      19.8974 0.1138  0.7026  0.0049  0.0374  0.0440  1.0090   1.0090   -0.2080  3.7360   4.5457   5.2900  
12      20.4011 0.0598  0.7232  0.0079  0.0486  0.0563  0.9220   0.9220   -0.3941  3.7109   4.5922   5.7549  
13      19.8915 0.0687  0.6495  0.0049  0.0374  0.0440  1.0090   1.0090   -0.2080  3.7360   4.5457   5.2900  
14      19.8986 0.1233  0.7137  0.0049  0.0374  0.0440  1.0090   1.0090   -0.2080  3.7360   4.5457   5.2900  
15      20.0251 0.1468  0.7597  0.0054  0.0398  0.0467  0.9873   0.9873   -0.2533  3.7300   4.5575   5.4032  
16      19.8998 0.1321  0.7241  0.0049  0.0374  0.0440  1.0090   1.0090   -0.2080  3.7360   4.5457   5.2900  
17      19.4344 0.1358  0.6643  0.0035  0.0296  0.0351  1.0960   1.0960   -0.0328  3.7579   4.4944   4.8520  
18      19.6571 0.0940  0.6460  0.0041  0.0332  0.0392  1.0525   1.0525   -0.1193  3.7473   4.5209   5.0685  
19      19.4306 0.1038  0.6264  0.0035  0.0296  0.0351  1.0960   1.0960   -0.0328  3.7579   4.4944   4.8520  
110     19.3210 0.1029  0.6118  0.0033  0.0280  0.0333  1.1177   1.1177   0.0092   3.7629   4.4808   4.7469  
111     19.4266 0.0701  0.5865  0.0035  0.0296  0.0351  1.0960   1.0960   -0.0328  3.7579   4.4944   4.8520  
112     19.5436 0.0968  0.6337  0.0038  0.0314  0.0371  1.0742   1.0742   -0.0760  3.7526   4.5077   4.9602  
113     19.3229 0.1193  0.6313  0.0033  0.0280  0.0333  1.1177   1.1177   0.0092   3.7629   4.4808   4.7469  
114     19.1083 0.1156  0.6006  0.0030  0.0252  0.0299  1.1612   1.1612   0.0920   3.7726   4.4533   4.5399  
115     19.2124 0.1026  0.5986  0.0031  0.0266  0.0315  1.1395   1.1395   0.0509   3.7678   4.4671   4.6425  
116     18.8997 0.0752  0.5239  0.0028  0.0228  0.0270  1.2047   1.2047   0.1725   3.7817   4.4254   4.3394  
117     19.2120 0.0989  0.5942  0.0031  0.0266  0.0315  1.1395   1.1395   0.0509   3.7678   4.4671   4.6425  
118     19.1019 0.0614  0.5363  0.0030  0.0252  0.0299  1.1612   1.1612   0.0920   3.7726   4.4533   4.5399  
119     18.9978 0.0518  0.5110  0.0029  0.0239  0.0284  1.1830   1.1830   0.1325   3.7772   4.4393   4.4390  
120     18.6225 0.0764  0.4730  0.0025  0.0199  0.0235  1.2699   1.2699   0.2847   3.7943   4.3864   4.0584  
121     18.8078 0.0920  0.5254  0.0027  0.0217  0.0258  1.2265   1.2265   0.2105   3.7860   4.4121   4.2441  
122     18.6221 0.0733  0.4693  0.0025  0.0199  0.0235  1.2699   1.2699   0.2847   3.7943   4.3864   4.0584  
123     18.4549 0.0220  0.3844  0.0024  0.0184  0.0217  1.3092   1.3092   0.3493   3.8016   4.3642   3.8967  
124     18.8069 0.0846  0.5166  0.0027  0.0217  0.0258  1.2265   1.2265   0.2105   3.7860   4.4121   4.2441  
125     18.1300 0.0230  0.3536  0.0023  0.0157  0.0184  1.3939   1.3939   0.4790   3.8163   4.3206   3.5725  
126     18.3513 0.0721  0.4333  0.0024  0.0174  0.0205  1.3366   1.3366   0.3933   3.8064   4.3483   3.7866  
127     18.2947 0.0578  0.4113  0.0023  0.0169  0.0200  1.3504   1.3504   0.4150   3.8088   4.3404   3.7325  
128     18.1323 0.0385  0.3717  0.0023  0.0157  0.0184  1.3939   1.3939   0.4790   3.8163   4.3206   3.5725  
129     17.9776 0.0272  0.3421  0.0022  0.0146  0.0170  1.4374   1.4374   0.5408   3.8237   4.3016   3.4177  
130     17.9745 0.0073  0.3189  0.0022  0.0146  0.0170  1.4374   1.4374   0.5408   3.8237   4.3016   3.4177  
131     18.0511 0.0107  0.3309  0.0023  0.0151  0.0177  1.4156   1.4156   0.5101   3.8200   4.3110   3.4947  
